,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Type III secretory pathway, EscT/YscT component",10,1
1,"Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport",17,0
2,Archaellum component ArlD/FlaD/FlaE,12,2
3,"Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion",10,2
4,"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family",13,2
5,"Uncharacterized conserved protein MJ1244, distantly related to nitrogen regulatory protein PII",14,0
6,5-bromo-4-chloroindolyl phosphatase XpaC,11,1
7,Cytochrome c peroxidase,10,4
8,"Sulfur transfer protein SufE, Fe-S cluster assembly",12,2
9,4-hydroxyphenylpyruvate dioxygenase and related hemolysins,13,1
10,"Uncharacterized conserved protein, FlaG/YvyC family",18,0
11,"ABC-type lipoprotein export system, ATPase component",13,2
12,Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases,13,3
13,"Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family",11,1
14,TPR repeat,11,1
15,"Uncharacterized conserved protein YjiS, DUF1127 family",13,1
16,Mu-like prophage I protein,15,2
17,"Uncharacterized conserved protein, DUF505 domain",13,1
18,"Uncharacterized conserved protein, DUF2251 domain",15,1
19,Protein tyrosine phosphatase,7,0
20,"Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain",12,1
21,"Predicted transcriptional regulator, contains an HTH and PUA-like domains",18,0
22,"DNA-directed RNA polymerase, subunit RPC12/RpoP, contains C4-type Zn-finger",10,1
23,Flp pilus assembly protein CpaB,16,0
24,Archaellin (archaeal flagellin),14,2
25,GTPase-interacting Yip1 domain,14,0
26,5-keto 4-deoxyuronate isomerase,12,1
27,Extracellular substrate-binding protein,13,0
28,"Predicted metal-dependent hydrolase, urease superfamily",11,1
29,Na+/H+ antiporter NhaD or related arsenite permease,14,0
30,Homocysteine/selenocysteine methylase (S-methylmethionine-dependent),13,0
31,DNA-binding beta-propeller fold protein YncE,15,2
32,Predicted esterase,16,2
33,"Type I restriction-modification system, DNA methylase subunit",12,3
34,"Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family",11,3
35,"Prenyltransferase, beta subunit",13,3
36,"Exo-beta-1,3-glucanase,  GH17 family",15,0
37,"NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily",17,0
38,Flagellar motor switch/type III secretory pathway protein FliN,13,0
39,DNA-binding protein YaaA associated with the oxidative stress response,13,1
40,"Uncharacterized conserved protein, MAPEG superfamily",13,1
41,"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent",14,1
42,Predicted metal-dependent hydrolase,11,3
43,"Transcription initiation factor IIE, alpha subunit",15,1
44,"Uncharacterized conserved protein YqfA, UPF0365 family",13,3
45,Pyrimidine operon attenuation protein PyrR/uracil phosphoribosyltransferase,11,0
46,"ABC-type glucose/galactose transport system, permease component",11,1
47,Predicted cation transporter,14,2
48,"Uncharacterized conserved protein YutD, DUF1027 family",16,1
49,3-methyladenine DNA glycosylase Mpg,16,0
50,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,13,2
51,"Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",13,2
52,"PII-like insert in the uncharacterized protein YqfO, YbgI/NIF3 family",15,0
53,"UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family",11,1
54,"tRNA C56-2-O'-methylase, SpoU family",13,1
55,DNA-binding ferritin-like protein (oxidative damage protectant),13,1
56,"Uncharacterized conserved protein, DUF302 family",14,0
57,Chloramphenicol O-acetyltransferase,13,2
58,Predicted phosphatase,16,1
59,Inorganic pyrophosphatase,14,0
60,Energy-converting hydrogenase Eha subunit B,12,2
61,"Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains",14,1
62,"Predicted acetyltransferase, GNAT superfamily",15,1
63,Dolichol kinase,12,2
64,"Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain",12,2
65,Putative hemolysin,15,1
66,"Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family",12,1
67,23S rRNA A2030 N6-methylase RlmJ,18,0
68,"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain",15,2
69,"7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily",13,1
70,Methylaspartate ammonia-lyase,11,2
71,"Uncharacterized conserved protein YebE, UPF0316/DUF2179 family",16,1
72,"Uncharacterized conserved protein YktA, UPF0223 family",10,0
73,"Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family",15,1
74,Nitric oxide reductase activation protein,10,3
75,tRNA nucleotidyltransferase (CCA-adding enzyme),11,1
76,"Uncharacterized conserved protein, DUF1326 domain",17,0
77,"Uncharacterized conserved protein, UPF0371 family",11,2
78,"Phage DNA packaging protein, Nu1 subunit of terminase",17,0
79,"TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism",12,1
80,Cobalamin biosynthesis protein CbiD (cobalt-precorrin-5B C-methyltransferase),11,1
81,UDP-N-acetylmuramyl tripeptide synthase,18,0
82,Sulfur carrier protein ThiS (thiamine biosynthesis),10,1
83,"2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family",13,0
84,Predicted acyltransferase,15,0
85,Cytochrome c biogenesis protein ResB,12,3
86,Ribosomal protein L15E,17,0
87,Ribosomal protein L34,16,1
88,"Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein HcgF, CinA family",14,1
89,"Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain",13,1
90,"Hydroxypyruvate/dehydroerythronate isomerase, Hyi/OtnI family",15,0
91,Ribose 5-phosphate isomerase,10,3
92,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family",15,0
93,"tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase",17,0
94,Chemotaxis protein histidine kinase CheA,13,1
95,tRNA A-37 threonylcarbamoyl transferase component Bud32,13,0
96,Ribosomal protein S19E (S16A),12,2
97,Reverse gyrase,13,1
98,Membrane-bound lytic murein transglycosylase B,9,1
99,"Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB",18,0
100,Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase,12,0
101,"Uncharacterized conserved protein VgrG, implicated in type VI secretion and phage assembly",11,3
102,"Uncharacterized conserved protein YjlB, cupin superfamily",14,1
103,Glycosidase/amylase (phosphorylase),12,1
104,"Uncharacterized conserved protein, UPF0147 family",10,0
105,"Uncharacterized conserved protein YrzB, UPF0473 family",13,1
106,N-acyl-D-aspartate/D-glutamate deacylase,11,1
107,NADH:ubiquinone oxidoreductase subunit 4 (chain M),12,3
108,"ABC-type sulfate transport system, permease component",16,1
109,"Predicted NTPase, NACHT family domain",15,2
110,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit",17,1
111,"ABC-type enterochelin transport system, periplasmic component",15,0
112,CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein),16,0
113,Transcriptional accessory protein Tex/SPT6,13,1
114,"Uncharacterized conserved protein, DUF596 domain",16,0
115,L-rhamnose isomerase,11,4
116,4-hydroxybenzoate synthetase (chorismate-pyruvate lyase),13,0
117,"Predicted metal-binding protein, contains two cysteine clusters, UPF0179 family",9,2
118,"Cyclic di-AMP-specific phosphodiesterase PgpH, HD superfamily",13,1
119,Biotin transporter BioY,17,0
120,"Predicted RNA-binding protein, associated with RNAse of E/G family, DUF402 domain",12,3
121,"Endo-1,4-beta-D-glucanase Y",10,2
122,Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla,14,2
123,Antitoxin component HicB of the HicAB toxin-antitoxin system,13,4
124,Streptomycin 6-kinase,13,1
125,Chloramphenicol 3-O-phosphotransferase,14,0
126,DNA relaxase NicK,13,1
127,Site-specific recombinase XerD,13,0
128,Anaerobic selenocysteine-containing dehydrogenase,15,1
129,Mg-chelatase subunit ChlI,9,1
130,"Lipopolysaccharide export LptBFGC system, permease protein LptF",15,1
131,NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific assembly factor CRR6,8,0
132,5-formyltetrahydrofolate cyclo-ligase,13,0
133,Uridylate kinase,16,0
134,"Uncharacterized conserved protein, DUF2145 domain",15,2
135,Small-conductance mechanosensitive channel MscK,13,0
136,"DNA-binding transcriptional regulator, XRE family",17,1
137,Muconolactone delta-isomerase,13,2
138,"Uncharacterized conserved protein, UPF0276 family",14,0
139,"ABC-type polysaccharide/polyol phosphate transport system, ATPase component",13,1
140,Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ,17,0
141,"Iron only hydrogenase large subunit, C-terminal domain",15,1
142,Aminoglycoside phosphotransferase family enzyme,14,1
143,"Uncharacterized conserved protein YcgI, DUF1989 family",16,1
144,Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis),13,0
145,"Uncharacterized conserved protein, contains ParB-like nuclease domain",12,3
146,"Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family",10,2
147,"Uncharacterized conserved protein YdcH, DUF465 family",14,2
148,CMP-2-keto-3-deoxyoctulosonic acid synthetase,15,0
149,Mu-like prophage FluMu protein Com,15,1
150,"Predicted O-linked N-acetylglucosamine transferase, SPINDLY family",12,1
151,"Periplasmic chaperone Spy, Spy/CpxP family",12,0
152,PPE-repeat protein,17,0
153,Excinuclease UvrABC ATPase subunit,17,0
154,"CRISPR-Cas system type III CMR-effector complex subunit Cmr3, RAMP superfamily Cas5 group",15,0
155,"ATP-dependent protease HslVU (ClpYQ), peptidase subunit",13,1
156,Site-specific recombinase XerC,17,0
157,"dTDP-D-glucose 4,6-dehydratase",15,1
158,Primosomal protein N' (replication factor Y) - superfamily II helicase,15,2
159,"Uncharacterized protein, contains ferritin-like DUF455 domain",15,1
160,Exonuclease I (degrades ssDNA),13,2
161,Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake,16,1
162,"Ribosome-binding ATPase YchF, GTP1/OBG family",10,4
163,Polyferredoxin NapH,12,0
164,Nitrogen fixation protein FixH,10,1
165,Metallophosphoesterase superfamily enzyme,12,2
166,"Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family",15,0
167,Transketolase,14,1
168,Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase,12,1
169,"Protein N-acetyltransferase, RimJ/RimL family",17,0
170,"Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain",15,1
171,Ribosomal protein L4,16,0
172,"ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU",8,0
173,"Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain",10,3
174,"Cbb3-type cytochrome oxidase, cytochrome c subunit FixO",17,0
175,"Uncharacterized membrane protein YadS, UPF0324 family",15,2
176,Archaeal Cys-tRNA synthase (O-phospho-L-seryl-tRNA:Cys-tRNA synthase),14,3
177,Ribosomal protein L6P/L9E,12,1
178,"Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain",11,1
179,Uncharacterized conserved protein YdaT,13,2
180,Predicted extracellular nuclease,7,1
181,Putative copper export protein,18,0
182,Acetyl-CoA carboxylase beta subunit,16,0
183,"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG",11,3
184,"Uncharacterized conserved protein, DUF2277 domain",15,2
185,Beta- N-acetylglucosaminidase,11,0
186,"ASCH domain, putative RNA-binding protein, DUF365 family",15,1
187,Flagellar basal body rod protein FlgF,18,0
188,ATP:corrinoid adenosyltransferase,14,0
189,Archaeal ADP-dependent glucokinase/phosphofructokinase,15,1
190,Ribosomal protein S2,13,0
191,tRNA A58 N-methylase Trm61,15,1
