,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Proline biosynthesis,2,3
1,Lysine biosynthesisTCA cycle,2,1
2,TCA cycle,4,3
3,Folate biosynthesis,3,2
4,Purine biosynthesis,5,2
5,Lipid A biosynthesis,2,3
6,Gluconeogenesis,1,1
7,Threonine biosynthesis,4,3
8,Pentose phosphate pathway,3,3
9,Ubiquinone biosynthesis,3,1
10,Histidine biosynthesis,2,2
11,tRNA modification,1,3
12,Methionine biosynthesis,2,2
13,Na+-translocating NADH dehydrogenase,5,2
14,NADH dehydrogenase,2,1
15,Arginine biosynthesis,2,4
16,Cobalamine/B12 biosynthesis,1,2
17,Pyrimidine salvage,1,1
18,Pyrimidine degradation,5,2
19,RNA polymerase,4,1
20,Glycine cleavagePyruvate oxidation,4,4
21,"TCA cycle, glyoxylate bypass",3,4
22,Non-phosphorylated Entner-Doudoroff pathway,3,0
23,CRISPR-Cas system,3,0
24,Glycolysis,2,0
25,"Isoleucine, leucine, valine biosynthesis",2,0
26,Molybdopterin biosynthesis,2,3
27,"Histidine biosynthesis, Purine biosynthesis",3,3
28,Na+-translocating Fd:NADH oxidoreductase,1,1
29,Entner-Doudoroff pathway,7,1
30,Ribosome 50S subunit,4,0
31,16S rRNA modification,4,5
32,Riboflavin/FAD biosynthesis,3,0
33,Pyruvate oxidation,3,3
34,Thymidylate biosynthesis,3,2
35,Aromatic amino acid biosynthesis,1,3
36,23S rRNA modification,2,1
37,A/V-type ATP synthase,9,2
38,FoF1-type ATP synthase,2,1
39,2Fe2S,1,1
40,Proline degradation,1,5
41,3D,4,0
42,Menaquinone biosynthesis,2,2
43,Urea cycle,4,1
44,Cysteine biosynthesis,2,3
45,Isoprenoid biosynthesis,10,1
46,Purine salvage,3,1
47,Thiamine biosynthesis,3,3
48,Archaeal ribosomal proteins,4,1
49,Aminoacyl-tRNA synthetases,1,4
50,Pyrimidine biosynthesis,6,3
51,Serine biosynthesis,4,4
52,Translation factors,5,1
53,NAD biosynthesis,2,1
54,Unknown,3,0
55,Asparagine biosynthesis,3,2
56,Phospholipid biosynthesis,1,3
57,Heme biosynthesis,2,1
58,Mureine biosynthesis,5,2
59,Pyrimidine salvagetRNA modification,5,1
60,Lysine biosynthesis,2,4
61,Biotin biosynthesis,6,4
62,Fatty acid biosynthesis,4,5
63,Unannotated,4,1
64,Lipoate biosynthesis,3,2
65,Ribosome 30S subunit,2,2
66,Glutamine biosynthesis,3,0
67,Glycine cleavage,3,3
68,Pyridoxal phosphate biosynthesis,3,1
69,Pantothenate/CoA biosynthesis,2,3
