,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain",6,1
1,Extracellular substrate-binding protein,7,0
2,"Uncharacterized conserved protein, DUF1853 domain",7,0
3,Predicted nucleotidyltransferase,7,0
4,"Predicted GntP-related membrane permease AF0261, DUF401 family",6,0
5,Site-specific recombinase,7,0
6,"Uncharacterized conserved protein, DUF2195 domain",6,0
7,"Possible nuclease of RNase H fold, RuvC/YqgF family",7,0
8,"Uncharacterized conserved protein, DUF1430 domain",7,0
9,Putative hemolysin,7,0
10,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",4,1
11,"Uncharacterized membrane protein, contains DUF996 domain",7,0
12,"ABC-type uncharacterized transport system, ATPase component",6,0
13,"Uncharacterized conserved protein, DUF1801 domain",7,0
14,"Uncharacterized conserved protein, DUF2132 family",7,0
15,"Uncharacterized conserved protein, DUF2256 family",7,0
16,"Predicted acyltransferase, contains DUF342 domain",7,0
17,"Uncharacterized conserved protein ECs_4300, contains TPR-like domain",6,0
18,"Uncharacterized conserved protein, DUF1501 family",6,0
19,Predicted aminopeptidase,6,0
20,"Archaeal flagellin (archaellin), FlaG/FlaF family",7,0
21,Predicted small metal-binding protein,7,0
22,Predicted transcriptional regulator,7,0
23,"Uncharacterized conserved protein, DUF1513 domain",7,0
24,"Uncharacterized conserved protein, radical SAM superfamily",6,0
25,"Uncharacterized conserved protein, DUF2150 domain",6,0
26,Predicted metal-dependent peptidase,5,0
27,"Uncharacterized conserved protein, DUF432 domain",6,0
28,"Uncharacterized membrane protein, DUF2127 domain",6,1
29,Predicted proteasome-type protease,5,0
30,"Beta-xylosidase, GH43 family",5,1
31,Predicted heme/steroid binding protein,7,0
32,"Uncharacterized metal-binding protein MJ0455, DUF1847 family",6,0
33,"Uncharacterized conserved protein, DUF2267 family",6,0
34,"Uncharacterized conserved protein, DUF1674 domain",6,0
35,Hemerythrin domain-containing protein,5,2
36,"Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily",7,0
