,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily",1,0
1,"Uncharacterized conserved protein, DUF1178 domain",1,0
2,Protein required for attachment to host cells,1,0
3,Uncharacterized radical SAM domain-containing protein,0,1
4,"Uncharacterized conserved protein, DUF2163 domain",0,1
5,"Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain",0,1
6,Uncharacterized domain associated with phage/plasmid primase,0,2
7,Predicted spermidine synthase with an N-terminal membrane domain,0,1
8,"Predicted transcriptional regulator, ArsR family",0,1
9,Predicted N-acyltransferase,0,1
10,"Uncharacterized conserved protein, DUF1015 family",1,1
11,"Uncharacterized membrane protein, DUF4212 domain",0,1
12,"Predicted antitoxin, contains HTH domain",2,0
13,Predicted Ser/Thr protein kinase,0,2
14,"Uncharacterized protein, contains DUF2461 domain",0,1
15,"Uncharacterized conserved protein, DUF2274 domain",0,1
16,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",1,0
17,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",2,0
18,Phage-related tail protein,1,0
19,"Uncharacterized conserved protein, DUF2267 family",1,0
20,"Predicted nuclease, contains PIN domain",1,0
21,"Uncharacterized conserved protein, DUF2344 family",1,0
22,"Uncharacterized conserved protein, radical SAM superfamily",1,0
23,"Uncharacterized conserved protein, DUF2153 domain",0,1
24,"Predicted nucleic-acid-binding protein, contains PIN domain",0,2
25,"Uncharacterized Fe-S cluster-containing enzyme, radical SAM superfamily",0,1
26,Mu-like prophage FluMu protein gp28,1,1
27,Phage-related minor tail protein,0,1
28,"Predicted methyltransferase, contains TPR repeat",0,1
29,"Uncharacterized conserved protein, DUF1062 domain",0,1
30,"Predicted metal-dependent phosphohydrolase, HD superfamily",1,0
31,Predicted P-loop ATPase/GTPase,0,1
32,"Uncharacterized conserved protein, DUF362 family",1,0
33,"Predicted transcriptional regulator, contains HTH domain",1,0
34,"Uncharacterized conserved protein, DUF2073 family",0,1
35,"Predicted archaeal serine protease, S18 family",0,2
36,Phage terminase large subunit,1,0
37,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",1,0
38,"Uncharacterized conserved protein, DUF2203 domain",2,0
39,"Uncharacterized conserved protein, DUF2112 domain",0,1
40,"Uncharacterized conserved protein, DUF2225 family",1,0
41,"Predicted aminopeptidase, Iap family",0,1
42,Uncharacterized conserved protein,1,0
43,Phage-related holin (Lysis protein),1,0
44,"Uncharacterized conserved protein, DUF2161 domain",1,0
45,"Uncharacterized conserved protein, contains Extensin-like_C domain",1,0
46,Uncharacterized integral membrane protein,1,1
47,"Uncharacterized membrane protein, DUF1616 domain",0,1
48,Predicted metallopeptidase,1,0
49,"Uncharacterized conserved protein, DUF2199 domain",1,0
50,"Uncharacterized conserved protein, DUF721 domain",1,0
51,"Predicted transcriptional regulator,contains XRE-type HTH domain",1,0
52,"Uncharacterized conserved protein, DUF962 domain",1,0
53,Predicted exporter,0,1
54,"Uncharacterized conserved protein, DUF2149 domain",1,0
55,"Predicted transcriptional regulator, contains C-terminal CBS domains",1,1
56,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,1,0
57,"Uncharacterized small protein, DUF1192 family",0,1
58,Predicted lipoprotein involved in lipopolysaccharide assembly,1,1
59,Ubiquitin C-terminal hydrolase,0,1
60,"Transposase, IS1182 family",0,1
61,Mannosyltransferase related to Gpi18,0,1
62,"Uncharacterized conserved protein, DUF2325 domain",0,1
63,Phage capsid portal protein XkdE,0,1
64,"Uncharacterized conserved protein, DUF2096 domain",0,1
65,"Uncharacterized conserved protein, DUF2322 domain",0,2
66,"Uncharacterized conserved protein, DUF934 family",0,1
67,"Uncharacterized protein, contains SWIM-type Zn finger domain",1,0
68,Predicted alpha/beta hydrolase,1,1
69,"Predicted acetyltransferase, GNAT family",1,0
70,"Uncharacterized conserved protein, DUF465 domain",1,0
71,HKD family nuclease,1,0
72,"Predicted NTP pyrophosphohydrolase, NUDIX family",0,1
73,"Uncharacterized conserved protein, DUF983 family",0,1
74,"Uncharacterized protein, contains DUF1214 domain",1,0
75,Predicted aminopeptidase,1,0
76,"Predicted hydrolase, HD superfamily",0,2
77,"Uncharacterized conserved protein, DUF2460 domain",1,0
78,"Uncharacterized coiled-coil protein, contains DUF342 domain",1,0
