,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,5,0
1,Biotin biosynthesis!!!Fatty acid biosynthesis,6,1
2,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,7,0
3,Aminoacyl-tRNA synthetases!!!Aminoacyl-tRNA synthetases,7,0
4,Gluconeogenesis,7,0
5,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis!!!Isoprenoid biosynthesis,7,0
6,Fatty acid biosynthesis!!!Fatty acid biosynthesis,7,0
7,Heme biosynthesis!!!Aminoacyl-tRNA synthetases,6,0
8,Lysine biosynthesis!!!Lysine biosynthesis,7,0
9,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,7,0
10,Fatty acid biosynthesis!!!Glycine cleavagePyruvate oxidation,7,0
11,Molybdopterin biosynthesis!!!Urea cycle,6,0
12,Menaquinone biosynthesis,4,2
13,Pyrimidine salvage!!!RNA polymerase,4,2
14,Proline degradation,6,0
15,Glycine cleavage!!!Glycine cleavage,5,1
16,NADH dehydrogenase!!!Pyruvate oxidation,6,1
17,Ubiquinone biosynthesis!!!NADH dehydrogenase,7,0
18,Folate biosynthesis,6,0
19,Proline degradation!!!Pyrimidine degradation,5,1
20,Histidine biosynthesis!!!Histidine biosynthesis,5,0
21,Glutamine biosynthesis!!!Glutamine biosynthesis,7,0
22,16S rRNA modification,7,0
23,Heme biosynthesis!!!Cobalamine/B12 biosynthesis,7,0
24,"Isoleucine, leucine, valine biosynthesis!!!Methionine biosynthesis",5,0
25,Fatty acid biosynthesis!!!Pyrimidine degradation,6,0
26,Pyruvate oxidation!!!Fatty acid biosynthesis,4,2
27,NADH dehydrogenase!!!tRNA modification,7,0
28,Pyrimidine salvage,6,0
29,Pyrimidine salvagetRNA modification!!!tRNA modification,7,0
30,Glutamine biosynthesis!!!Purine biosynthesis,4,2
31,Fatty acid biosynthesis!!!Menaquinone biosynthesis,7,0
32,Pyrimidine salvagetRNA modification!!!Menaquinone biosynthesis,6,1
33,Pyrimidine biosynthesis,5,1
34,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,6,1
35,NAD biosynthesis!!!Cobalamine/B12 biosynthesis,6,1
36,Riboflavin/FAD biosynthesis!!!Fatty acid biosynthesis,7,0
37,Cysteine biosynthesis!!!Heme biosynthesis,7,0
38,NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase!!!2Fe2S,6,0
39,Urea cycle!!!RNA polymerase,6,0
40,Menaquinone biosynthesis!!!Menaquinone biosynthesis,7,0
41,Folate biosynthesis!!!Mureine biosynthesis,5,0
42,Pyrimidine salvage!!!Biotin biosynthesis,7,0
43,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,7,0
44,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,4,2
45,23S rRNA modification!!!tRNA modification,3,0
46,Purine biosynthesis,6,0
47,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,7,0
48,Menaquinone biosynthesis!!!Biotin biosynthesis,6,0
49,Cobalamine/B12 biosynthesis!!!Histidine biosynthesis,7,0
50,Biotin biosynthesis!!!Biotin biosynthesis,7,0
51,Cysteine biosynthesis!!!TCA cycle,7,0
52,Cysteine biosynthesis!!!Molybdopterin biosynthesis,7,0
