,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein, DUF2248 family",1,0
1,"Uncharacterized conserved protein, DUF2076 domain",1,2
2,"Uncharacterized conserved protein, DUF4810 domain",0,1
3,Predicted methyltransferase,0,2
4,Predicted alpha/beta hydrolase,1,0
5,"Uncharacterized conserved protein, DUF2274 domain",1,0
6,"Predicted phage recombinase, RecA/RadA family",1,0
7,"Uncharacterized coiled-coil protein, contains DUF342 domain",0,2
8,"Uncharacterized conserved protein, DUF483 domain",0,1
9,Phage-related minor tail protein,0,2
10,"Uncharacterized conserved protein, DUF166 domain",0,1
11,Predicted secreted Zn-dependent protease,1,0
12,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",1,0
13,Uncharacterized domain associated with phage/plasmid primase,0,1
14,Uncharacterized Fe-S cluster-containing protein,1,0
15,"Predicted hydrolase, metallo-beta-lactamase superfamily",1,0
16,"Predicted P-loop ATPase, KAP-like",1,0
17,"Possible nuclease of RNase H fold, RuvC/YqgF family",1,0
18,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",1,0
19,Predicted oxidoreductase of the aldo/keto reductase family,1,0
20,"Uncharacterized conserved protein, DUF2062 family",1,0
21,"Uncharacterized conserved protein, DUF2333 domain",0,1
22,Predicted aminopeptidase,1,0
23,Predicted nuclease (RNAse H fold),1,0
24,"Uncharacterized conserved protein, DUF2145 domain",1,0
25,"Uncharacterized conserved protein, DUF2175 family",0,1
26,Uncharacterized membrane protein,0,1
27,Mu-like prophage I protein,1,1
28,"ABC-type uncharacterized transport system, ATPase component",0,1
29,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",0,1
30,Uncharacterized low-complexity protein,0,2
31,"Uncharacterized conserved protein, DUF501 family",1,0
32,Predicted outer membrane lipoprotein,1,0
33,"Uncharacterized conserved protein, DUF2225 family",0,1
34,Phosphatidylethanolamine N-methyltransferase,1,1
35,"Predicted nucleic acid-binding protein, contains Zn-ribbon domain",1,0
36,Predicted glycosyl transferase,0,1
37,"Predicted ABC-type sugar transport system, permease component",0,1
38,Mu-like prophage FluMu protein gp28,2,0
39,"Uncharacterized conserved protein, DUF2171 domain",0,1
40,Predicted hydrolase of the alpha/beta-hydrolase fold,0,1
41,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",1,2
42,"Uncharacterized conserved protein, DUF2262 domain",1,0
43,"Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family",1,0
44,Predicted dioxygenase of extradiol dioxygenase family,0,1
45,"Predicted acyltransferase, LPLAT superfamily",0,1
46,"Uncharacterized conserved protein, PA2063/DUF2235 family",1,0
47,"Uncharacterized conserved protein, DUF2087 family",1,1
48,"Predicted ATPase, archaeal AAA+ ATPase superfamily",0,1
49,Signal transduction histidine kinase regulating phosphoglycerate transport system,0,1
50,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",1,0
51,Predicted metallopeptidase,1,0
52,"Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain",1,0
53,Predicted protein tyrosine phosphatase,0,1
54,"Serine protease, subtilase family",0,1
55,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",1,0
56,"Uncharacterized protein, contains GIY-YIG domain",0,1
57,"Uncharacterized conserved protein, DUF2256 family",0,1
58,Uncharacterized archaeal Zn-finger protein,1,1
59,"Predicted methyltransferase MtxX, methanogen marker protein 4",1,0
60,"Uncharacterized membrane protein, DUF368 family",0,1
61,"Uncharacterized conserved protein, DUF934 family",1,0
62,"Uncharacterized conserved protein, DUF362 family",2,0
63,"Phage terminase, small subunit",0,1
64,"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily",0,1
65,"Uncharacterized conserved protein, DUF2281 domain",1,0
66,"Archaeal flagellin (archaellin), FlaG/FlaF family",1,0
67,Predicted nucleotidyltransferase,0,1
68,"Uncharacterized conserved protein, DUF1015 family",1,1
69,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains",0,1
70,"Aromatic ring-opening dioxygenase, LigB subunit",1,0
71,Predicted small metal-binding protein,1,0
72,HKD family nuclease,1,1
73,Esterase/lipase superfamily enzyme,0,1
74,Predicted periplasmic lipoprotein,0,2
75,"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily",1,0
76,"Predicted metal-dependent phosphohydrolase, HD superfamily",0,1
77,"Uncharacterized protein, contains DUF1512 domain",0,1
78,Uncharacterized conserved protein YezD,1,1
79,"Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family",0,1
80,"Uncharacterized membrane protein, DUF1648 family",0,1
81,"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA",1,0
82,"Uncharacterized membrane protein, DUF4212 domain",1,0
83,"Uncharacterized conserved protein, DUF2112 domain",2,0
84,Conjugal transfer/entry exclusion protein,0,1
85,"Extracellular solute-binding protein, contains Ig-fold domain",1,0
86,"Transposase and inactivated derivatives, TnpA family",0,1
87,"Uncharacterized conserved protein, UPF0548 family",0,1
88,"Uncharacterized protein, contains GH25 family domain",0,1
89,Type 1 glutamine amidotransferase (GATase1)-like domain,1,0
90,"Uncharacterized conserved protein, heparinase superfamily",1,0
91,"Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily",1,0
92,Predicted RNA methylase,0,1
93,"Predicted DNA-binding protein, UPF0251 family",1,1
94,Predicted Zn-dependent protease,0,1
95,Endo-beta-N-acetylglucosaminidase D,1,0
96,Predicted choloylglycine hydrolase,1,0
97,"Uncharacterized conserved protein, UPF0262 family",1,0
98,"Uncharacterized conserved protein, contains Extensin-like_C domain",0,1
99,"Uncharacterized conserved protein, DUF2126 family",0,1
100,Phage-related tail protein,1,0
101,"Uncharacterized conserved protein, DUF1150 family",1,0
102,NCAIR mutase (PurE)-related protein,1,0
103,"Uncharacterized conserved protein, DUF1499 family",1,0
104,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",2,0
105,"PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)",0,1
106,"Predicted Co/Zn/Cd cation transporter, cation efflux family",1,0
107,"Uncharacterized conserved protein, DUF1851 domain",1,0
108,"Predicted transcriptional regulator, contains an HTH and PUA-like domains",0,1
109,"Uncharacterized membrane protein, DUF2127 domain",2,0
110,"Uncharacterized conserved protein, DUF507 domain",1,0
111,"Uncharacterized conserved protein, contains Zn-finger domain of CHY type",1,0
112,Aminoglycoside phosphotransferase family enzyme,2,0
113,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,1,0
114,"Predicted antitoxin, contains HTH domain",1,0
115,"Uncharacterized conserved protein, contains metal-binding DGC domain",0,1
116,"ABC-type anion transport system, duplicated permease component",1,0
117,Predicted permease,0,1
118,"Uncharacterized membrane protein, DUF373 family",0,1
119,"Predicted outer membrane protein, contains DUF4142 domain",1,0
120,"Uncharacterized conserved protein, DUF2332 domain",0,1
121,"Uncharacterized conserved protein, DUF2096 domain",0,1
122,Predicted metal-binding membrane protein,0,2
123,"Uncharacterized membrane protein, YccA/Bax inhibitor family",1,0
124,Predicted dienelactone hydrolase,1,0
125,"MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain",1,0
126,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",0,1
127,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family",0,1
128,"Uncharacterized conserved protein, DUF2132 family",1,1
129,"Uncharacterized conserved protein, DUF1330 family",0,1
130,"Uncharacterized protein, contains DUF1214 domain",0,1
131,Phage capsid portal protein XkdE,0,1
132,"Biotin synthase-related protein, radical SAM superfamily",0,1
133,"Predicted nucleic acid-binding protein, contains PIN domain",0,1
134,"Uncharacterized conserved protein YoxC, contains an MCP-like domain",0,1
135,"Uncharacterized conserved protein, DUF2390 domain",0,1
136,"Uncharacterized conserved protein, conains N-terminal glutamine amidotransferase (GATase1)-like domain",1,1
137,Predicted P-loop ATPase/GTPase,1,1
138,"Predicted RNA polymerase sigma factor, contains C-terminal TPR domain",2,1
139,"Uncharacterized conserved protein, DUF2344 family",0,1
140,"Uncharacterized conserved protein, DUF1794 domain",0,1
141,Adenine-specific DNA methylase,1,0
142,Glutaredoxin-related protein,1,0
143,"Uncharacterized conserved protein, UPF0160 family",1,0
144,"Uncharacterized membrane protein, UPF0182 family",0,1
145,Predicted metal-dependent peptidase,0,1
146,Phage capsid protein,2,0
147,"Uncharacterized copper-binding protein, cupredoxin-like subfamily",0,1
148,Soluble P-type ATPase,0,1
149,"Uncharacterized membrane protein, DUF131 family",1,2
150,Predicted N-acyltransferase,0,1
151,Uncharacterized radical SAM domain-containing protein,0,1
152,Metallophosphoesterase superfamily enzyme,1,0
153,Predicted SAM-depedendent methyltransferase,1,0
154,"Uncharacterized conserved protein, DUF937 domain",1,0
155,"DNA replication initiation complex subunit, GINS family",2,0
156,"Uncharacterized conserved protein, DUF736 family",2,2
157,Predicted thioesterase,1,0
158,"Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily",1,0
159,"Uncharacterized conserved protein, contains FMN-binding domain",0,1
160,"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain",0,1
161,"Uncharacterized conserved protein, DUF697 family",0,1
162,Uncharacterized conserved protein MJ1451,0,1
163,"Beta-xylosidase, GH43 family",1,1
164,"Phage-related protein, predicted endonuclease",1,0
165,"Uncharacterized conserved protein, UPF0212 family",0,1
166,Mannosyltransferase related to Gpi18,1,0
167,"Phage-related protein, tail protein J",1,0
168,Hemerythrin domain-containing protein,1,0
169,"Uncharacterized conserved protein domain, often C-terminal to DUF262",0,1
170,"Uncharacterized conserved protein MJ0802, methanogenesis marker protein 17, contains DUF2113 domain",1,0
171,"Uncharacterized conserved protein related to methyl-CoM reductase subunit C, methanogenesis marker protein 7",1,0
172,"Predicted transcriptional regulator, contains two HTH domains",1,1
173,"SirA-like two-layered alpha/beta sandwich domain, DUF2249 family",0,1
174,"Uncharacterized membrane protein, DUF2068 family",1,0
175,"Uncharacterized membrane protein, DUF1361 domain",2,0
176,"Uncharacterized conserved protein, DUF2149 domain",1,0
177,"Transposase, IS1182 family",2,0
178,Predicted glycosyltransferase,1,0
179,"Uncharacterized conserved protein, DUF2322 domain",0,1
180,"Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily",2,1
181,"Uncharacterized conserved protein, DUF1062 domain",1,0
182,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,0,1
183,"Uncharacterized conserved protein, DUF2155 domain",1,0
184,"Phage-related protein, tail assembly protein I",0,1
185,"Uncharacterized conserved protein, DUF2141 family",0,2
186,"Uncharacterized conserved protein, DUF1272 domain",0,1
187,"Uncharacterized conserved protein, DUF2073 family",1,0
188,Predicted proteasome-type protease,0,2
189,Capsular polysaccharide biosynthesis protein,1,1
190,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",1,0
191,"Uncharacterized protein, contains DUF2185 domain",1,0
192,"Uncharacterized conserved protein, DUF473 domain",0,1
193,"Uncharacterized conserved protein, DUF1326 domain",1,0
194,"Uncharacterized conserved protein, DUF2236 family",1,1
195,"Uncharacterized conserved protein, DUF1415 family",0,1
196,"Uncharacterized protein, contains DUF4139 domain",1,0
197,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",0,1
198,"Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1",0,2
199,N-acyl-D-aspartate/D-glutamate deacylase,2,0
200,"Predicted DNA-binding transcriptional regulator, ArsR family",1,0
201,"Uncharacterized conserved protein, contains ACT domain",1,0
202,"Predicted restriction endonuclease, Mrr-cat superfamily",1,0
203,Predicted ATP-dependent Lon-type protease,0,1
204,Secreted trypsin-like serine protease,1,0
205,"Uncharacterized conserved protein, DUF2066 domain",1,0
206,Bacteriophage protein gp37,1,0
207,"Predicted archaeal serine protease, S18 family",1,1
208,Predicted deacetylase,1,1
209,Uncharacterized membrane-anchored protein,2,0
210,Predicted ATPase,1,0
211,"Uncharacterized conserved protein, DUF2321 domain",1,0
212,"Uncharacterized conserved protein, DUF2304 domain",0,1
213,"Uncharacterized conserved protein, DUF2067 domain",0,1
214,"Uncharacterized conserved protein, DUF2460 domain",0,1
215,"Adenine-specific DNA methylase, N12 class",1,0
216,"Uncharacterized conserved protein, DUF2093 domain",0,1
217,Predicted acetyltransferase,0,1
218,"Predicted sugar epimerase, xylose isomerase-like family",1,2
219,Predicted metal-binding protein,1,0
220,"Uncharacterized conserved protein, cupin superfamily",1,1
221,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",1,0
222,"Uncharacterized conserved protein, DUF2163 domain",1,0
223,"Uncharacterized protein, contains SWIM-type Zn finger domain",0,2
224,Ubiquinone biosynthesis protein COQ9,0,1
225,Uncharacterized membrane protein YjcL,1,1
226,"Uncharacterized conserved protein, DUF2290 domain",0,1
227,Predicted transcriptional regulator,1,2
228,Protein required for attachment to host cells,0,1
229,Spore maturation protein CgeB,0,1
230,Predicted thioredoxin/glutaredoxin,0,1
231,"Uncharacterized protein, contains DUF2192 domain",0,1
232,Transposase,1,0
233,"Predicted phosphohydrolase or phosphomutase, AlkP superfamily",0,1
234,Predicted extracellular nuclease,1,0
235,"Uncharacterized conserved protein, DUF1802 family",2,0
236,"Uncharacterized conserved protein, contains thioredoxin-like domain",0,1
