,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Isoleucine, leucine, valine biosynthesis!!!Isoleucine, leucine, valine biosynthesis",0,1
1,Threonine biosynthesis,0,1
2,Aromatic amino acid biosynthesis,0,1
3,Molybdopterin biosynthesis!!!Molybdopterin biosynthesis,1,0
4,NAD biosynthesis,1,0
5,23S rRNA modification!!!tRNA modification,1,1
6,tRNA modification!!!tRNA modification,0,1
7,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,1,0
8,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,0,1
9,Ribosome 30S subunit!!!Translation factors,1,0
10,Riboflavin/FAD biosynthesis!!!Fatty acid biosynthesis,0,1
11,Cobalamine/B12 biosynthesis!!!Histidine biosynthesis,1,1
12,Pyrimidine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,3,0
13,Molybdopterin biosynthesis!!!Pyrimidine degradation,2,0
14,Pantothenate/CoA biosynthesis,0,1
15,Biotin biosynthesis,1,0
16,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,1,0
17,Ubiquinone biosynthesis!!!NADH dehydrogenase,0,1
18,Translation factors!!!Mureine biosynthesis,1,0
19,Glycolysis!!!Glycolysis,0,1
20,Lysine biosynthesis!!!Fatty acid biosynthesis,1,0
21,Gluconeogenesis!!!Biotin biosynthesis,0,1
22,RNA polymerase!!!Pyruvate oxidation,1,0
23,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation,0,1
24,Glutamine biosynthesis!!!NADH dehydrogenase!!!2Fe2S,2,2
25,Methionine biosynthesis!!!Lysine biosynthesis,0,1
26,Ubiquinone biosynthesis!!!Serine biosynthesis,1,0
27,A/V-type ATP synthase,0,1
28,Isoprenoid biosynthesis!!!Isoprenoid biosynthesis,0,1
29,Phospholipid biosynthesis!!!NAD biosynthesis,1,0
30,Ribosome 30S subunit!!!Isoprenoid biosynthesis,0,1
31,Menaquinone biosynthesis!!!Menaquinone biosynthesis,0,2
32,Pentose phosphate pathway!!!Pentose phosphate pathway,0,2
33,Pyrimidine biosynthesis!!!Glutamine biosynthesis,1,2
34,NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase,0,1
35,Lysine biosynthesis!!!Mureine biosynthesis,0,1
36,Phospholipid biosynthesis!!!Fatty acid biosynthesis,0,2
37,Heme biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,0,2
38,Fatty acid biosynthesis!!!Pyrimidine degradation,2,0
39,3D,3,0
40,tRNA modification!!!Purine salvage,0,1
41,Pyrimidine degradation!!!NADH dehydrogenase,1,0
42,RNA polymerase!!!Ribosome 50S subunit,1,1
43,Menaquinone biosynthesis!!!Lipid A biosynthesis,1,1
44,Entner-Doudoroff pathway,1,0
45,Arginine biosynthesis,1,0
46,Na+-translocating Fd:NADH oxidoreductase,1,0
47,Glutamine biosynthesis!!!Purine biosynthesis,1,0
48,Urea cycle,1,1
49,tRNA modification!!!Arginine biosynthesis,0,1
50,16S rRNA modification!!!Isoprenoid biosynthesis,0,2
51,Pyrimidine degradation!!!Non-phosphorylated Entner-Doudoroff pathway,1,0
52,Menaquinone biosynthesis,1,1
53,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase,1,1
54,Aromatic amino acid biosynthesis!!!Pyrimidine salvage,0,1
55,tRNA modification!!!Mureine biosynthesis,1,3
56,Glutamine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,0,1
57,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,1,1
58,FoF1-type ATP synthase,0,1
59,Cysteine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,0,1
60,Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis,0,1
61,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Ubiquinone biosynthesis,1,1
62,Aromatic amino acid biosynthesis!!!Folate biosynthesis,0,1
63,Heme biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,1,1
64,Folate biosynthesis!!!Mureine biosynthesis,0,1
