,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Uncharacterized membrane protein YjcL,0,1
1,"Uncharacterized conserved protein, DUF2132 family",1,0
2,"Uncharacterized conserved protein, DUF2141 family",1,0
3,"Uncharacterized conserved protein, DUF2251 domain",1,0
4,Uncharacterized archaeal Zn-finger protein,1,0
5,"Predicted GntP-related membrane permease AF0261, DUF401 family",0,1
6,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",1,0
7,Predicted small secreted protein,1,0
8,"Uncharacterized conserved protein, DUF2193 domain",1,0
9,Phage tail protein,1,1
10,"Uncharacterized conserved protein, DUF937 domain",0,2
11,"Uncharacterized conserved protein, DUF1330 family",1,0
12,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",0,2
13,"Uncharacterized conserved protein, DUF2195 domain",0,1
14,Predicted deacetylase,0,1
15,"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain",0,1
16,"Uncharacterized conserved protein, DUF2126 family",0,2
17,"Predicted transcriptional regulator,contains XRE-type HTH domain",1,0
18,Predicted neuraminidase (sialidase),2,0
19,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",1,0
20,"Uncharacterized conserved protein, radical SAM superfamily",0,1
21,Predicted transcriptional regulator,0,1
22,Phage large terminase packaging protein,1,0
23,Bacteriorhodopsin,0,1
24,"Uncharacterized conserved protein, contains DUF2130 domain",1,0
25,"Predicted metal-dependent hydrolase, urease superfamily",1,0
26,"Uncharacterized conserved protein, UPF0212 family",1,0
27,"Uncharacterized conserved protein, DUF2155 domain",1,2
28,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",1,0
29,"Uncharacterized conserved protein, PA2063/DUF2235 family",1,0
30,"ABC-type anion transport system, duplicated permease component",1,0
31,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",0,1
32,"Predicted DNA-binding transcriptional regulator, ArsR family",0,2
33,"Uncharacterized conserved protein, DUF2171 domain",0,1
34,"Uncharacterized small protein, DUF1192 family",1,1
35,Hemerythrin domain,0,2
36,"Predicted N-acetyltransferase, GNAT superfamily",0,1
37,Mannosyltransferase related to Gpi18,1,0
38,"Endonuclease, HJR/Mrr/RecB family",1,0
39,"Uncharacterized conserved protein, DUF488 family",1,0
40,Ubiquinone biosynthesis protein COQ9,0,1
41,Uncharacterized domain associated with phage/plasmid primase,1,0
42,Predicted ATP-dependent Lon-type protease,1,0
43,"Uncharacterized protein, contains DUF1214 domain",0,1
