,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Menaquinone biosynthesis!!!Fatty acid biosynthesis,3,0
1,Fatty acid biosynthesis!!!Glycine cleavagePyruvate oxidation,5,0
2,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,5,0
3,Pentose phosphate pathway!!!Histidine biosynthesis,4,0
4,Histidine biosynthesis!!!Arginine biosynthesis,5,0
5,Fatty acid biosynthesis!!!Fatty acid biosynthesis,3,0
6,Fatty acid biosynthesis!!!Pyruvate oxidation,3,0
7,Arginine biosynthesis!!!Biotin biosynthesis,5,0
8,Biotin biosynthesis!!!Fatty acid biosynthesis,4,0
9,Ribosome 30S subunit!!!Isoprenoid biosynthesis,5,0
10,Phospholipid biosynthesis!!!NAD biosynthesis,4,0
11,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Biotin biosynthesis,2,1
12,"Isoleucine, leucine, valine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway",1,1
13,Proline degradation!!!Proline degradation,5,0
14,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis!!!Isoprenoid biosynthesis,5,0
15,Purine biosynthesis!!!Isoprenoid biosynthesis,5,0
16,Heme biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,5,0
17,Fatty acid biosynthesis!!!Cysteine biosynthesis,4,1
18,TCA cycle!!!TCA cycle,4,0
19,Aromatic amino acid biosynthesis,4,0
20,Glutamine biosynthesis,3,0
21,Folate biosynthesis!!!Fatty acid biosynthesis,5,0
22,Serine biosynthesis!!!Pentose phosphate pathway,4,0
23,"Isoleucine, leucine, valine biosynthesis!!!Methionine biosynthesis",5,0
24,Isoprenoid biosynthesis!!!Riboflavin/FAD biosynthesis,2,0
25,Serine biosynthesis!!!Lysine biosynthesis,4,0
26,NADH dehydrogenase!!!Pyruvate oxidation,5,0
27,2Fe2S,5,0
28,Cysteine biosynthesis!!!TCA cycle,4,0
29,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,3,2
30,CRISPR-Cas system,3,0
31,Threonine biosynthesis,3,1
32,Cysteine biosynthesis,2,0
33,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,4,0
34,Isoprenoid biosynthesis,4,0
35,Pyruvate oxidation!!!Glycine cleavagePyruvate oxidation,5,0
36,Molybdopterin biosynthesis!!!Pyrimidine degradation,3,0
37,Serine biosynthesis!!!Glycine cleavage,5,0
38,Pyrimidine degradation!!!tRNA modification,5,0
39,Thymidylate biosynthesis,3,1
40,Arginine biosynthesis,5,0
41,Heme biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,5,0
42,Pyruvate oxidation!!!Menaquinone biosynthesis,5,0
43,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,5,0
44,tRNA modification!!!Mureine biosynthesis,5,0
45,Lysine biosynthesisTCA cycle,4,1
46,Phospholipid biosynthesis!!!Ubiquinone biosynthesis,5,0
47,Pyruvate oxidation!!!TCA cycle,5,0
48,"Isoleucine, leucine, valine biosynthesis!!!Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis",5,0
49,Cobalamine/B12 biosynthesis!!!Histidine biosynthesis,1,1
50,Glutamine biosynthesis!!!Purine biosynthesis,4,1
51,"Isoleucine, leucine, valine biosynthesis!!!Aromatic amino acid biosynthesis",2,0
52,Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis,4,0
53,Folate biosynthesis!!!Folate biosynthesis,4,0
54,Molybdopterin biosynthesis!!!Urea cycle,4,0
55,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,3,0
56,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,5,0
57,RNA polymerase!!!RNA polymerase,5,0
58,Na+-translocating NADH dehydrogenase,1,2
59,Ubiquinone biosynthesis!!!Serine biosynthesis,4,0
60,Glutamine biosynthesis!!!Glutamine biosynthesis,4,0
61,Glycolysis!!!NADH dehydrogenase,5,0
62,Pyrimidine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,5,0
63,Pyrimidine degradation!!!Cobalamine/B12 biosynthesis,5,0
64,FoF1-type ATP synthase,3,1
65,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis,4,0
66,"Isoleucine, leucine, valine biosynthesis",4,1
67,Pyruvate oxidation!!!Na+-translocating Fd:NADH oxidoreductase,4,1
68,Fatty acid biosynthesis!!!Urea cycle,5,0
69,Urea cycle!!!Proline biosynthesis,3,0
70,Fatty acid biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,5,0
71,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!tRNA modification,4,0
72,Mureine biosynthesis!!!Arginine biosynthesis,5,0
73,Pyrimidine salvage!!!Biotin biosynthesis,5,0
74,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,4,0
75,Translation factors!!!Mureine biosynthesis,3,1
76,Arginine biosynthesis!!!Biotin biosynthesis!!!Proline degradation,4,0
77,Ubiquinone biosynthesis,3,1
78,16S rRNA modification,5,0
79,Pyridoxal phosphate biosynthesis!!!Serine biosynthesis,5,0
80,Methionine biosynthesis!!!Methionine biosynthesis,5,0
81,3D,5,0
82,Proline degradation!!!Pyrimidine degradation,4,0
83,Aminoacyl-tRNA synthetases,4,0
84,"Isoleucine, leucine, valine biosynthesis!!!Isoleucine, leucine, valine biosynthesis",5,0
85,Purine biosynthesis!!!Purine biosynthesis!!!Purine biosynthesis,3,0
86,Ubiquinone biosynthesis!!!NADH dehydrogenase,3,1
87,Ribosome 30S subunit,4,1
88,Pyrimidine salvagetRNA modification,4,0
89,Fatty acid biosynthesis!!!Lysine biosynthesis,5,0
90,Entner-Doudoroff pathway,4,0
91,Urea cycle!!!Glycine cleavagePyruvate oxidation,0,1
92,Non-phosphorylated Entner-Doudoroff pathway,4,1
93,RNA polymerase!!!Pyruvate oxidation,5,0
94,Ribosome 30S subunit!!!Ribosome 30S subunit,5,0
95,Glycine cleavage!!!Glycine cleavage,2,1
96,Urea cycle!!!RNA polymerase,5,0
97,Cysteine biosynthesis!!!CRISPR-Cas system,3,1
98,Histidine biosynthesis!!!Pyrimidine salvage,5,0
99,Lysine biosynthesis!!!Pyrimidine degradation,3,0
100,"Histidine biosynthesis, Purine biosynthesis",2,1
101,Fatty acid biosynthesis!!!Menaquinone biosynthesis,5,0
102,Mureine biosynthesis!!!Mureine biosynthesis,4,1
103,Thiamine biosynthesis!!!Urea cycle,5,0
104,Folate biosynthesis,5,0
105,Cysteine biosynthesis!!!Biotin biosynthesis,5,0
106,Pyruvate oxidation!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,5,0
107,Methionine biosynthesis,4,1
108,Pyruvate oxidation,3,2
109,Cysteine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,5,0
110,Translation factors,5,0
111,Glycolysis,5,0
112,Arginine biosynthesis!!!Glycolysis,3,0
113,Cobalamine/B12 biosynthesis!!!Pyrimidine degradation,5,0
114,Pyrimidine biosynthesis!!!Glutamine biosynthesis,5,0
115,TCA cycle,4,1
116,Lipoate biosynthesis!!!Lipoate biosynthesis,4,0
117,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation,4,0
118,Riboflavin/FAD biosynthesis!!!Fatty acid biosynthesis,3,1
119,tRNA modification!!!Purine salvage,5,0
120,Fatty acid biosynthesis!!!Lipid A biosynthesis,5,0
121,16S rRNA modification!!!Isoprenoid biosynthesis,1,2
122,Purine biosynthesis!!!Arginine biosynthesis,4,0
123,Biotin biosynthesis!!!Menaquinone biosynthesis,5,0
124,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase,4,0
125,Pyrimidine salvagetRNA modification!!!tRNA modification,3,0
126,Pentose phosphate pathway!!!Pentose phosphate pathway,3,0
127,Purine biosynthesis!!!tRNA modification,5,0
128,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,5,0
129,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Biotin biosynthesis,2,0
130,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,3,0
131,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,4,0
132,Arginine biosynthesis!!!Arginine biosynthesis,5,0
133,23S rRNA modification,5,0
134,NADH dehydrogenase!!!NADH dehydrogenase,5,0
135,Heme biosynthesis!!!Aminoacyl-tRNA synthetases,5,0
136,Gluconeogenesis!!!Biotin biosynthesis,5,0
137,Lysine biosynthesis!!!Fatty acid biosynthesis,5,0
138,Pyrimidine salvage!!!RNA polymerase,3,1
139,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,5,0
