,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein, DUF2193 domain",4,1
1,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown),5,0
2,"Uncharacterized conserved protein, DUF2076 domain",3,1
3,Uncharacterized radical SAM domain-containing protein,4,0
4,"Uncharacterized conserved protein, DUF2304 domain",4,1
5,"Uncharacterized conserved protein, DUF2150 domain",4,0
6,"Predicted oxidoreductase, contains short-chain dehydrogenase (SDR) and DUF2520 domains",3,0
7,Mu-like prophage DNA circulation protein,5,0
8,Predicted secreted (periplasmic) protein,4,0
9,Uri superfamily endonuclease,5,0
10,"Uncharacterized protein, contains DUF2272 domain",5,0
11,"Uncharacterized conserved protein, DUF483 domain",4,0
12,"Uncharacterized conserved protein, DUF507 domain",4,1
13,"Uncharacterized conserved protein, DUF1284 domain",3,1
14,"Uncharacterized protein, contains DUF2185 domain",4,0
15,"Uncharacterized conserved protein YoxC, contains an MCP-like domain",4,1
16,"Uncharacterized conserved protein, DUF2184 domain",4,0
17,"Uncharacterized conserved protein, contains ParB-like nuclease domain",4,0
18,"Uncharacterized conserved protein, MAPEG superfamily",3,1
19,"Uncharacterized conserved protein, DUF2125 domain",4,0
20,"Uncharacterized conserved protein, DUF962 domain",5,0
21,"Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1",4,0
22,Uncharacterized conserved protein related to proFAR isomerase (HisA),4,0
23,"Uncharacterized conserved protein, UPF0160 family",4,1
24,"Uncharacterized conserved protein, contains Extensin-like_C domain",4,0
25,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",4,0
26,Mu-like prophage FluMu protein gp28,2,2
27,"Predicted DNA-binding protein, UPF0251 family",5,0
28,Predicted metal-dependent peptidase,4,0
29,"Uncharacterized conserved protein, DUF1802 family",4,0
30,Hemerythrin domain,2,1
31,Metallophosphoesterase superfamily enzyme,4,0
32,Phage capsid protein,2,2
33,"Predicted NTP pyrophosphohydrolase, NUDIX family",4,1
34,Predicted component of the type VI protein secretion system,5,0
35,Ubiquinone biosynthesis protein COQ9,4,0
36,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",5,0
37,"Predicted transcriptional regulator, ArsR family",4,0
38,Uncharacterized archaeal Zn-finger protein,5,0
39,Putative Zn-dependent protease,5,0
40,"Uncharacterized conserved protein domain, often C-terminal to DUF262",4,0
41,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily,5,0
42,Predicted cation transporter,4,0
43,"Uncharacterized conserved protein, DUF2321 domain",2,2
44,"Predicted nucleic-acid-binding protein, contains PIN domain",3,0
