,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Glutamine biosynthesis,1,0
1,16S rRNA modification!!!Isoprenoid biosynthesis,0,1
2,Glycolysis!!!NADH dehydrogenase,1,0
3,Lysine biosynthesis!!!Lysine biosynthesis,1,1
4,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis!!!Isoprenoid biosynthesis,1,0
5,"Isoleucine, leucine, valine biosynthesis!!!Isoleucine, leucine, valine biosynthesis",1,1
6,Isoprenoid biosynthesis!!!Isoprenoid biosynthesis,1,2
7,Histidine biosynthesis!!!Histidine biosynthesis,0,1
8,Lysine biosynthesisTCA cycle,1,0
9,Heme biosynthesis!!!NADH dehydrogenase,1,0
10,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Cobalamine/B12 biosynthesis,0,1
11,Translation factors,1,0
12,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,2,0
13,Phospholipid biosynthesis!!!Ubiquinone biosynthesis,0,1
14,Aminoacyl-tRNA synthetases,0,1
15,Phospholipid biosynthesis,1,1
16,Purine biosynthesis!!!Pyrimidine biosynthesis,1,1
17,Proline degradation!!!Proline degradation,0,2
18,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!tRNA modification,1,1
19,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,0,1
20,Molybdopterin biosynthesis!!!Molybdopterin biosynthesis,0,1
21,Thymidylate biosynthesis,0,2
22,Proline degradation!!!Pyrimidine degradation,1,0
23,Serine biosynthesis!!!Pentose phosphate pathway,1,3
24,Entner-Doudoroff pathway,0,1
25,Methionine biosynthesis!!!Lysine biosynthesis!!!Methionine biosynthesis,1,2
26,Glycolysis,1,0
27,Pyruvate oxidation!!!Fatty acid biosynthesis,1,0
28,Fatty acid biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,1,0
29,Cysteine biosynthesis!!!Heme biosynthesis,1,0
30,Lysine biosynthesis,0,1
31,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,0,2
32,Phospholipid biosynthesis!!!Fatty acid biosynthesis,1,1
33,Pyrimidine degradation!!!Cobalamine/B12 biosynthesis,0,1
34,Ribosome 30S subunit,2,0
35,Pyruvate oxidation!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,0,1
36,Arginine biosynthesis!!!Biotin biosynthesis!!!Proline degradation,1,0
37,Cysteine biosynthesis!!!CRISPR-Cas system,0,1
38,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,1,0
39,Menaquinone biosynthesis!!!Pyrimidine degradation,1,0
40,Phospholipid biosynthesis!!!Menaquinone biosynthesis,0,1
41,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,1,0
42,Ribosome 50S subunit,0,1
43,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,1,1
44,TCA cycle,0,2
45,Phospholipid biosynthesis!!!Lysine biosynthesis,0,1
46,Fatty acid biosynthesis!!!Pyruvate oxidation,3,1
47,RNA polymerase,1,0
48,Translation factors!!!Mureine biosynthesis,0,1
49,Fatty acid biosynthesis!!!Fatty acid biosynthesis,0,1
50,Pyrimidine salvage,0,2
51,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,0,1
52,Pantothenate/CoA biosynthesis,0,1
53,Purine biosynthesis,1,1
54,Cobalamine/B12 biosynthesis!!!Pyrimidine degradation,1,0
55,Serine biosynthesis!!!Glycine cleavage,1,0
56,Glutamine biosynthesis!!!Glutamine biosynthesis,2,0
57,Phospholipid biosynthesis!!!Serine biosynthesis,2,1
58,TCA cycle!!!TCA cycle,2,0
59,Na+-translocating Fd:NADH oxidoreductase,0,3
60,Pyrimidine salvagetRNA modification!!!Menaquinone biosynthesis,1,1
61,NADH dehydrogenase!!!Pyruvate oxidation,0,1
62,Ribosome 30S subunit!!!Translation factors,1,1
63,Glutamine biosynthesis!!!Pyruvate oxidation,1,1
64,23S rRNA modification!!!tRNA modification,1,0
65,"TCA cycle, glyoxylate bypass",1,0
66,Lysine biosynthesis!!!Mureine biosynthesis,1,0
67,Cobalamine/B12 biosynthesis,0,2
68,Pentose phosphate pathway!!!Pentose phosphate pathway,0,3
69,3D,1,1
70,Cysteine biosynthesis,0,1
71,Urea cycle,0,1
72,Purine biosynthesis!!!Isoprenoid biosynthesis,1,0
73,Photosystem II,0,1
74,Na+-translocating NADH dehydrogenase,0,2
75,Biotin biosynthesis!!!Menaquinone biosynthesis,1,1
76,Ubiquinone biosynthesis!!!Biotin biosynthesis,0,1
77,Heme biosynthesis!!!Menaquinone biosynthesis,1,0
78,Aromatic amino acid biosynthesis!!!Folate biosynthesis,1,1
79,Urea cycle!!!Glycine cleavagePyruvate oxidation,0,1
80,Archaeal ribosomal proteins,0,1
81,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Biotin biosynthesis!!!Lysine biosynthesis,1,2
82,Ubiquinone biosynthesis,3,1
83,Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis,0,1
84,Heme biosynthesis!!!Fatty acid biosynthesis,0,1
85,Lipoate biosynthesis!!!Lipoate biosynthesis,1,2
86,Cysteine biosynthesis!!!Glutamine biosynthesis!!!Biotin biosynthesis,1,2
87,Cysteine biosynthesis!!!Molybdopterin biosynthesis,1,1
88,Pyrimidine salvage!!!Thymidylate biosynthesis,0,1
89,Pyrimidine degradation!!!tRNA modification,1,0
90,16S rRNA modification,0,1
91,Molybdopterin biosynthesis!!!Pyrimidine degradation,2,0
92,Biotin biosynthesis,0,1
93,Folate biosynthesis!!!Mureine biosynthesis,0,2
94,"Histidine biosynthesis, Purine biosynthesis",1,0
95,tRNA modification!!!Mureine biosynthesis,1,2
96,Gluconeogenesis,1,0
97,Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis,2,0
98,Heme biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,2,0
99,Glutamine biosynthesis!!!Purine biosynthesis,1,0
100,Asparagine biosynthesis,1,0
101,Histidine biosynthesis!!!Arginine biosynthesis,2,1
102,Pyruvate oxidation,1,0
103,Menaquinone biosynthesis!!!Pantothenate/CoA biosynthesis,0,1
104,Methionine biosynthesis!!!Methionine biosynthesis,1,0
105,"Isoleucine, leucine, valine biosynthesis!!!Methionine biosynthesis",0,1
106,Pyrimidine degradation!!!Biotin biosynthesis,1,0
107,Threonine biosynthesis,1,1
108,Cysteine biosynthesis!!!Cysteine biosynthesis,0,2
109,23S rRNA modification,0,2
110,Purine biosynthesis!!!Purine biosynthesis!!!Purine biosynthesis,1,1
111,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,0,1
112,Pentose phosphate pathway!!!Histidine biosynthesis,1,0
113,Purine salvage,0,2
114,Proline degradation,0,2
115,Lipid A biosynthesis!!!Lipid A biosynthesis,1,2
116,Pyrimidine salvage!!!RNA polymerase,1,0
117,Methionine biosynthesis,2,2
118,Aromatic amino acid biosynthesis,0,1
119,Cysteine biosynthesis!!!Biotin biosynthesis,1,1
120,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,1,2
121,Fatty acid biosynthesis!!!Lysine biosynthesis,3,1
122,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Biotin biosynthesis,0,1
123,Glutamine biosynthesis!!!NADH dehydrogenase!!!2Fe2S,1,0
124,Menaquinone biosynthesis,2,2
125,"Isoleucine, leucine, valine biosynthesis!!!Aromatic amino acid biosynthesis",1,0
126,Fatty acid biosynthesis!!!Biotin biosynthesis,1,1
127,Pyrimidine biosynthesis!!!Purine salvage,1,0
128,Lipid A biosynthesis!!!Cysteine biosynthesis,2,1
129,NADH dehydrogenase,0,2
130,Molybdopterin biosynthesis,0,3
131,Thiamine biosynthesis!!!Thiamine biosynthesis,1,1
132,Biotin biosynthesis!!!Biotin biosynthesis,1,0
133,Glycine cleavagePyruvate oxidation,0,2
134,Pyruvate oxidation!!!TCA cycle,3,0
135,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,1,2
136,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,3,0
137,Purine biosynthesis!!!Purine biosynthesis,0,1
138,RNA polymerase!!!RNA polymerase,1,3
139,Molybdopterin biosynthesis!!!Urea cycle!!!Molybdopterin biosynthesis,0,3
140,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Heme biosynthesis,0,1
141,RNA polymerase!!!Ribosome 50S subunit,1,2
142,FoF1-type ATP synthase!!!FoF1-type ATP synthase,1,1
143,Menaquinone biosynthesis!!!Lysine biosynthesis,0,1
144,RNA polymerase!!!Pyruvate oxidation,0,1
145,"Isoleucine, leucine, valine biosynthesis",1,1
146,Aminoacyl-tRNA synthetases!!!Pyrimidine salvage,0,2
147,Pentose phosphate pathway!!!Non-phosphorylated Entner-Doudoroff pathway,3,1
148,Urea cycle!!!Proline biosynthesis,1,0
149,Isoprenoid biosynthesis!!!Riboflavin/FAD biosynthesis,0,3
150,NADH dehydrogenase!!!NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase,1,1
151,Non-phosphorylated Entner-Doudoroff pathway,1,0
152,CRISPR-Cas system!!!CRISPR-Cas system,1,1
153,Cysteine biosynthesis!!!Fatty acid biosynthesis,1,1
154,Fatty acid biosynthesis!!!Lipid A biosynthesis,2,1
155,23S rRNA modification!!!23S rRNA modification,0,1
156,Menaquinone biosynthesis!!!Fatty acid biosynthesis,1,0
157,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,0,1
158,NADH dehydrogenase!!!NADH dehydrogenase,1,1
159,Serine biosynthesis,1,1
