,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Precorrin-2 methylase,0,2
1,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain",0,2
2,"Uncharacterized conserved protein, DUF924 family",1,0
3,Radical SAM superfamily enzyme PflX,1,0
4,"Cyclic di-AMP phosphodiesterase GdpP, contains GGDEF-like and DHH domains",1,2
5,"Flagellar assembly protein FapA, interacts with EIIAGlc",2,1
6,"Type III secretory pathway, EscR/YscR component",0,2
7,"Uncharacterized peptidoglycan binding protein, contains LysM and FecR  domains",0,2
8,"Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)",1,1
9,"2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family",1,2
10,Kynureninase,0,1
11,CDP-diglyceride synthetase,1,2
12,"ABC-type sugar transport system, ATPase component MalK",1,3
13,Fe-S cluster assembly ATPase SufC,1,4
14,"Predicted DNA-binding protein with ‘double-wing’ structural motif, MmcQ/YjbR family",3,1
15,"Membrane-anchored glycerophosphoryl diester phosphodiesterase (GDPDase), membrane domain",0,2
16,Anaerobic selenocysteine-containing dehydrogenase,0,1
17,Uroporphyrinogen-III decarboxylase HemE,1,1
18,"ABC-type uncharacterized transport system, ATPase component",0,3
19,"Predicted phosphohydrolase, HAD superfamily",0,1
20,"Molecular chaperone, HSP90 family",1,1
21,Serine protease inhibitor ecotin,0,1
22,Nicotinic acid phosphoribosyltransferase,3,3
23,UDP-3-O-acyl-N-acetylglucosamine deacetylase,1,1
24,"Uncharacterized conserved protein, DUF2390 domain",0,1
25,"Predicted ATPase, archaeal AAA+ ATPase superfamily",3,2
26,"Two-component response regulator, SAPR family, consists of REC, wHTH and BTAD domains",3,1
27,"Predicted protease, Abi (CAAX) family",0,2
28,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)",0,3
29,Ribosomal protein L27,1,0
30,Adenylylsulfate kinase or related kinase,1,2
31,"Uncharacterized HEPN domain protein YutE, UPF0331/DUF86 family",2,1
32,Glycine/serine hydroxymethyltransferase,1,1
33,Threonine dehydrogenase or related Zn-dependent dehydrogenase,1,1
34,N-acetylglutamate kinase,1,1
35,Uncharacterized membrane protein YfhO,2,2
36,"Uncharacterized membrane protein, DUF1616 domain",1,0
37,"Uncharacterized conserved protein, DUF1284 domain",1,0
38,"Uncharacterized conserved protein, DUF2075 family",0,1
39,5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis),0,1
40,Exopolyphosphatase/pppGpp-phosphohydrolase,1,2
41,Outer membrane cobalamin receptor protein BtuB,1,3
42,Flagellar hook-capping protein FlgD,0,2
43,"Predicted NTP pyrophosphohydrolase, NUDIX family",0,1
44,"Cyclic di-AMP synthase regulator CdaR, YbbR domain",0,3
45,"Uncharacterized membrane protein YqaA, VTT domain",0,3
46,"Regulator of protease activity HflC, stomatin/prohibitin superfamily",2,3
47,Flagellum-specific peptidoglycan hydrolase FlgJ,1,2
48,Trehalose utilization protein,2,3
49,Isopentenyldiphosphate isomerase,2,2
50,Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O),0,2
51,Precorrin-3B methylase,1,0
52,"UTP pyrophosphatase, metal-dependent hydrolase family",1,3
53,Pyridoxine/pyridoxamine 5'-phosphate oxidase,0,1
54,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,2,1
55,N-terminal domain of the PTS fructose-specific IIB component,1,0
56,Carboxysome shell and ethanolamine utilization microcompartment protein CcmL/EutN,0,1
57,Cytidylyltransferase family enzyme,1,1
58,Acetamidase/formamidase,2,0
59,RecB family exonuclease,2,3
60,Ribosomal protein L30/L7E,4,0
61,"RNA polymerase-interacting regulator, CarD/CdnL/TRCF family",1,2
62,"Fructose-bisphosphate aldolase class Ia, DhnA family",1,1
63,Type IV pilus assembly protein PilE,0,3
64,"Predicted metal-dependent phosphohydrolase, HD superfamily",3,0
65,"MFS-type transporter involved in bile tolerance, Atg22 family",1,2
66,sRNA-binding regulator protein Hfq,1,1
67,"HD-like signal output (HDOD) domain, no enzymatic activity",2,0
68,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase (methionine salvage),0,1
69,GTP cyclohydrolase II,3,2
70,Predicted alpha/beta hydrolase,0,2
71,"CRISPR/Cas system CMR subunit Cmr6, Cas7 group, RAMP superfamily",2,2
72,"Predicted Zn-dependent protease, minimal metalloprotease (MMP)-like domain",2,0
73,Prophage maintenance system killer protein,1,2
74,tRNA G18 (ribose-2'-O)-methylase SpoU,1,5
75,Arginine exporter protein ArgO,2,1
76,"K+ transport ATPase, ATPase subunit KdpB",1,2
77,"ECF-type riboflavin transporter, membrane (S) component",0,1
78,RNA polymerase-binding transcription factor DksA,2,2
79,GTPase SAR1 family domain,2,0
80,O-antigen ligase,3,0
81,Predicted esterase of the alpha/beta hydrolase fold,3,2
82,"Uncharacterized conserved protein, DUF1152 domain",0,1
83,"Uncharacterized conserved protein domain, often C-terminal to DUF262",3,3
84,"Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family",2,0
85,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",2,0
86,"Phage-related protein, tail protein J",3,2
87,Multidrug resistance efflux pump EmrA,2,1
88,Uncharacterized membrane-anchored protein,2,0
89,Succinate-acetate transporter SatP,1,1
90,"Predicted Fe-S protein YdhL, DUF1289 family",0,2
91,"Predicted homoserine dehydrogenase, contains C-terminal SAF domain",0,3
92,Lipase chaperone LimK,1,0
93,"Neuraminidase (sialidase) NanH, contains C-terminal autotransporter domain",3,0
94,Ribosomal protein S21,1,3
95,Mu-like prophage protein gp29,3,0
96,"Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction",1,1
97,Cephalosporin-C deacetylase or related acetyl esterase,0,2
98,"Uncharacterized conserved protein, DUF2256 family",2,1
99,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",0,2
100,Isocitrate lyase,3,1
101,Uncharacterized conserved protein YezD,0,1
102,Cytochrome c oxidase subunit IV,0,1
103,tRNA G10 N-methylase Trm11,2,1
104,Trimethylamine:corrinoid methyltransferase,2,1
105,Spore coat protein CotH,1,1
106,"Predicted nuclease, RecB family",2,1
107,Predicted thioesterase,1,2
108,"Uncharacterized membrane protein, contains DUF996 domain",1,0
109,"Mitochondrial translation protein, Rmd1/RMND1/DUF155 family",1,1
110,Predicted hydrolase of the alpha/beta superfamily,2,0
111,DNA-binding response regulator DpiB of citrate/malate metabolism,3,1
112,Allantoicase,0,1
113,"Cobyrinic acid a,c-diamide synthase",2,1
114,Glycerol kinase,2,3
115,"Regulator of extracellular matrix RemA, YlzA/DUF370 family",1,1
116,Cation (Ca2+/Na+/K+)/H+ antiporter ChaA,1,1
117,"Uncharacterized conserved protein, DUF459 domain",1,2
118,"Uncharacterized membrane protein, DMT/DUF486 family",1,2
119,"Superfamily II helicase, archaea-specific",0,1
120,Phosphotransferase system fructose-specific component IIB,0,4
121,"Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains",2,2
122,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,1,1
123,"Coproporphyrinogen-III oxidase HemH, oxygen-dependent",0,1
124,"Uncharacterized conserved protein, UPF0210 family",3,0
125,16S rRNA U1498 N3-methylase RsmE,3,1
126,"Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold",1,2
127,Regulatory P domain of the subtilisin-like proprotein convertases and other proteases,2,1
128,"Uncharacterized conserved protein, DUF2062 family",1,1
129,"Queuosine precursor transporter YhhQ, DUF165 family",1,2
130,"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)",2,1
131,tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE,3,1
132,Predicted transcriptional regulator containing CBS domains,1,1
133,"Uncharacterized conserved protein, contains a phytase-like domain",1,2
134,Aspartate kinase,1,2
135,"Kef-type K+ transport system, membrane component KefB",3,0
136,Short chain fatty acids transporter,2,3
137,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family",1,0
138,"Uncharacterized membrane protein YoaK, UPF0700 family",1,0
139,"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain",1,0
140,"Adenine-specific DNA methylase, N12 class",1,0
141,Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI,0,1
142,Dihydroxyacid dehydratase/phosphogluconate dehydratase,1,2
143,"Uncharacterized membrane protein, DUF441 family",1,1
144,"L-lysine 2,3-aminomutase (EF-P beta-lysylation pathway)",1,0
145,"Uncharacterized stationary-phase protein YicC, UPF0701 family",2,0
146,"Small basic protein Sbp (function unknown), DUF1290 domain",2,1
147,"Uncharacterized conserved protein YecA, UPF0149 family, contains C-terminal Zn-binding SEC-C motif",2,3
148,DNA-binding winged helix-turn-helix (wHTH) domain,1,1
149,N-terminal domain of uncharacterized protein YciW (function unknown),0,1
150,"Uncharacterized conserved protein, DUF2332 domain",2,0
151,"Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily",1,1
152,"ABC-type proline/glycine betaine transport system, permease component",1,2
153,"Type IV secretory pathway, TrbL components",0,1
154,tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA,3,1
155,Competence protein ComGF,1,1
156,"GMP synthase, glutamine amidotransferase domain",4,1
157,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component",0,1
158,"Uncharacterized protein, contains DUF2461 domain",0,2
159,"TRAP-type C4-dicarboxylate transport system, large permease component",1,1
160,6-pyruvoyl-tetrahydropterin synthase,2,1
161,4-hydroxybenzoate synthetase (chorismate-pyruvate lyase),0,1
162,Sugar phosphate permease,3,0
163,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component",1,0
164,"Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family",0,1
165,Peptidoglycan hydrolase (amidase) enhancer domain SpoIID,0,1
166,"2',3'- and 3',5'-cNMP phosphodiesterase YmdB, calcineurin family",0,2
167,"UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family",1,2
168,Type IV pilus assembly protein PilN,1,1
169,Predicted ester cyclase,2,1
170,Capsule polysaccharide export protein KpsE/RkpR,1,0
171,"Phosphoenolpyruvate carboxykinase, ATP-dependent",1,1
172,CTP synthase (UTP-ammonia lyase),1,2
173,"Uncharacterized membrane protein, DUF2061 family",2,0
174,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,0,2
175,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,2,2
176,Bacteriophage P2-related tail formation protein,1,0
177,Copper-binding protein CopC (methionine-rich),2,2
178,"Uncharacterized protein, contains DUF3084 domain",1,1
179,"Uncharacterized conserved protein YfdQ, DUF2303 family",1,1
