,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Outer membrane protein assembly factor BamD, BamD/ComL family",1,0
1,Cupin domain protein related to quercetin dioxygenase,2,3
2,"Uncharacterized conserved protein, DUF2087 family",1,1
3,Type VI protein secretion system component Hcp (secreted cytotoxin),1,1
4,Mn-containing catalase (includes spore coat protein CotJC),1,1
5,"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase",0,2
6,Sugar-specific transcriptional regulator TrmB,2,2
7,"Predicted RNA- or ssDNA-binding protein, translin family",1,0
8,Pyridoxal/pyridoxine/pyridoxamine kinase,3,0
9,"Cyclophilin family protein MJ1412, methanogenesis marker protein 3",0,2
10,Phenylalanine-4-hydroxylase,1,4
11,Predicted glycosyltransferase involved in capsule biosynthesis,1,0
12,"Uncharacterized conserved protein, DUF1415 family",0,1
13,Uncharacterized membrane protein YhhN,2,0
14,"Predicted regulator of Ras-like GTPase activity, Roadblock/LC7/MglB family",0,2
15,Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose),2,0
16,DNA modification methylase,2,0
17,Dehydrogenase (flavoprotein),1,0
18,"Uncharacterized protein, contains RES domain",2,2
19,"CYTH domain, found in class IV adenylate cyclase and various triphosphatases",0,4
20,"CRISPR/Cas system-associated exonuclease Cas4, RecB family",0,2
21,"Uncharacterized conserved protein, DUF2096 domain",1,1
22,"Uncharacterized conserved protein, DUF2149 domain",0,1
23,"Predicted metal-dependent hydrolase, TIM-barrel fold",1,0
24,Putative salt-induced outer membrane protein YdiY,3,2
25,"Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily",1,4
26,Phosphoserine aminotransferase,1,1
27,Predicted thioesterase,2,2
28,Nitrous oxide reductase accessory protein NosL,0,2
29,Phosphatidylserine synthase,1,1
30,Geranylgeranyl pyrophosphate synthase,1,1
31,"Sugar or nucleoside kinase, ribokinase family",1,2
32,"Regulation of enolase protein 1 (function unknown), concanavalin A-like superfamily",1,2
33,tRNA (Thr-GGU) A37 N6-methylase,0,1
34,"Ni,Fe-hydrogenase III large subunit",2,2
35,"DNA-binding transcriptional regulator, FadR family",0,1
36,"Chromosome condensin MukBEF, kleisin-like MukF subunit",1,0
37,Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1,1,0
38,"Methionine synthase I, cobalamin-binding domain",2,1
39,"Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain",3,0
40,"Uncharacterized conserved protein YegP, UPF0339 family",1,0
41,"DNA-binding transcriptional regulator YiaG, XRE-type HTH domain",1,1
42,tRNA(His) 5'-end guanylyltransferase,0,1
43,Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases,1,0
44,"Uncharacterized protein, contains predicted SAM-dependent methyltransferase domain",0,3
45,CRISPR/Cas system-associated endonuclease Cas3-HD,1,1
46,Predicted transcriptional regulator containing CBS domains,0,1
47,"Uncharacterized conserved protein, DUF4810 domain",1,0
48,Orotate phosphoribosyltransferase,2,7
49,Isopentenyl phosphate kinase,0,3
50,"VapC family ribonuclease, toxin component of the VapBC toxin-antitoxin module, contains PIN domain",2,4
51,"Predicted methyltransferase, contains TPR repeat",0,1
52,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit",1,0
53,"Beta-L-arabinofuranosidase, GH127 family",0,2
54,tRNA(Glu) U13 pseudouridine synthase TruD,0,2
55,Putative heme-binding protein PhuW,4,0
56,Guanylate kinase,2,0
57,Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD,1,1
58,Stage III sporulation protein SpoIIIAA,0,1
59,"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate",0,4
