,feature_name,cultured_feature_counts,uncultured_feature_counts
0,NAD biosynthesis,9,1
1,A/V-type ATP synthase,9,5
2,Lipid A biosynthesis,11,1
3,Lysine biosynthesisTCA cycle,9,2
4,RNA polymerase,8,1
5,Thymidylate biosynthesis,6,1
6,2Fe2S,10,0
7,Gluconeogenesis,8,3
8,Riboflavin/FAD biosynthesis,8,1
9,Arginine biosynthesis,8,2
10,Serine biosynthesis,8,2
11,Pyridoxal phosphate biosynthesis,18,0
12,Pyruvate oxidation,9,2
13,23S rRNA modification,11,1
14,Threonine biosynthesis,11,2
15,Ubiquinone biosynthesis,10,3
16,NADH dehydrogenase,11,2
17,tRNA modification,12,1
18,Glycine cleavagePyruvate oxidation,7,2
19,TCA cycle,12,0
20,Entner-Doudoroff pathway,9,1
21,Cobalamine/B12 biosynthesis,17,0
22,Pyrimidine biosynthesis,10,2
23,"TCA cycle, glyoxylate bypass",13,3
24,Na+-translocating Fd:NADH oxidoreductase,8,2
25,Methionine biosynthesis,11,1
26,Urea cycle,9,3
27,Pantothenate/CoA biosynthesis,7,1
28,Na+-translocating NADH dehydrogenase,13,2
29,Molybdopterin biosynthesis,7,0
30,Biotin biosynthesis,7,2
31,Ribosome 30S subunit,12,0
32,Proline degradation,12,2
33,Lipoate biosynthesis,5,1
34,Glycine cleavage,8,1
35,Isoprenoid biosynthesis,13,3
36,Purine salvage,7,2
37,Fatty acid biosynthesis,8,4
38,Pyrimidine salvage,6,1
39,Histidine biosynthesis,16,2
40,Translation factors,13,2
41,Folate biosynthesis,10,1
42,"Histidine biosynthesis, Purine biosynthesis",9,0
43,Glutamine biosynthesis,12,2
44,Pyrimidine salvagetRNA modification,10,2
45,Lysine biosynthesis,6,2
46,Aminoacyl-tRNA synthetases,7,2
47,Ribosome 50S subunit,10,1
48,Thiamine biosynthesis,7,2
49,Pentose phosphate pathway,11,1
50,Menaquinone biosynthesis,14,2
51,Aromatic amino acid biosynthesis,10,0
52,Asparagine biosynthesis,7,2
53,Non-phosphorylated Entner-Doudoroff pathway,14,0
54,Pyrimidine degradation,12,1
55,Archaeal ribosomal proteins,9,0
56,Glycolysis,8,3
57,16S rRNA modification,10,2
58,Unannotated,7,0
59,Cysteine biosynthesis,8,3
60,FoF1-type ATP synthase,13,0
61,Heme biosynthesis,10,0
62,3D,10,2
63,Proline biosynthesis,10,4
64,CRISPR-Cas system,8,3
65,Purine biosynthesis,7,3
66,Unknown,7,4
67,"Isoleucine, leucine, valine biosynthesis",12,2
68,Phospholipid biosynthesis,12,2
69,Mureine biosynthesis,8,4
