,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family",21,1
1,Flagellin-specific chaperone FliS,24,0
2,"Uncharacterized conserved protein, DUF2281 domain",19,1
3,"Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain",20,0
4,"Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain",20,0
5,Cell division ATPase FtsA,24,0
6,Uncharacterized conserved protein YcfL,24,1
7,"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains",25,0
8,dCTP deaminase,21,3
9,"Phosphoribosylformylglycinamidine (FGAM) synthase, PurS subunit",23,0
10,"Cobalamin biosynthesis protein CbiK, Co2+ chelatase",20,0
11,"Ethanolamine utilization protein EutL, microcompartment shell protein",24,0
12,"ABC-type Na+ transport system, ATPase component NatA",24,1
13,"EntE, 2,3-dihydroxybenzoate-AMP synthase component of non-ribosomal peptide synthetase",21,1
14,"Phage-related replication protein YjqB, UPF0714/DUF867 family",23,0
15,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase,23,0
16,"Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family",20,1
17,Nitrate/nitrite transporter NarK,19,1
18,Cell division protein DedD (periplasmic protein involved in septation),18,0
19,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit",18,0
20,Flagellar motor switch protein FliM,21,1
21,Rhamnogalacturonyl hydrolase YesR,20,1
22,Uroporphyrinogen-III synthase,23,0
23,Cytochrome b subunit of formate dehydrogenase,23,0
24,Urease accessory protein UreH,22,1
25,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",25,0
26,"Uncharacterized metal-binding protein MJ1132, UPF0058 family",24,0
27,"Cytochrome bd-type quinol oxidase, subunit 1",20,0
28,"Uncharacterized conserved protein, DUF2322 domain",22,0
29,"Uncharacterized conserved protein, DUF3299 family",24,0
30,Flagellum-specific peptidoglycan hydrolase FlgJ,24,0
31,Uncharacterized membrane protein YjdF,17,4
32,Poly-beta-hydroxyalkanoate depolymerase,18,1
33,"Predicted metal-dependent RNase, contains metallo-beta-lactamase and KH domains",16,2
34,Lysozyme inhibitor LprI,19,0
35,"Midasin, AAA ATPase with  vWA domain, involved in ribosome maturation",21,2
36,"Ferritin-like protein MJ0754, DUF2202 family",24,0
37,Exoribonuclease II,25,0
38,"Uncharacterized protein, contains RES domain",21,2
39,"Uncharacterized conserved protein YodC, DUF2158 family",20,0
40,Acetoin utilization deacetylase AcuC or a related deacetylase,24,0
41,"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily",19,2
42,"Ethanolamine utilization protein EutQ, cupin superfamily (function unknown)",25,0
43,"Uncharacterized conserved protein MJ1470, contains DUF2341 domain, predicted component of type IV pili-like system",17,1
44,"Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)",18,2
45,"Uncharacterized conserved protein YdcH, DUF465 family",13,3
46,Heme-binding NEAT domain,17,0
47,Terpene cyclase SqhC,23,0
48,Putative N-acetylmannosamine-6-phosphate epimerase,24,0
49,Preprotein translocase subunit Sss1,23,0
50,Membrane-bound lytic murein transglycosylase B,16,0
51,Ribosomal protein L22,18,1
52,ATP phosphoribosyltransferase regulatory subunit HisZ,24,0
53,"Fimbrial subunit ScuA/B, ScuA/B/SCPU domain",21,0
54,Transposase,25,0
55,Predicted acyltransferase,19,1
56,Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB,23,0
57,Folate-dependent tRNA-U54 methylase TrmFO/GidA,22,0
58,"ABC-type polar amino acid transport system, ATPase component",20,0
59,"Aryl-phospho-beta-D-glucosidase BglC, GH1 family",25,0
60,Alpha-glucuronidase,19,2
61,Fructose/tagatose bisphosphate aldolase,22,0
62,"Reactive chlorine resistance protein RclC/YkgB, DUF417 family",24,0
63,Shikimate 5-dehydrogenase,25,0
64,"Histidine phosphotransfer protein ChpT, HPt domain",17,0
65,"Aspartate carbamoyltransferase, catalytic subunit",19,1
66,ACT domain-containing protein,18,0
67,Predicted TIM-barrel enzyme,22,1
68,"Uncharacterized conserved protein, DUF1489 domain",22,0
69,Signal recognition particle subunit SEC65,15,2
70,"Uncharacterized conserved protein YeaO, DUF488 family",23,0
71,"ABC-type microcin C transport system, permease component YejB",20,1
72,"Predicted acylesterase/phospholipase RssA, containd patatin domain",15,2
73,Riboflavin synthase alpha chain,18,1
74,Na+/glutamate symporter,23,0
75,"Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB",18,0
76,Cell shape-determining protein MreC,20,1
77,"Uncharacterized conserved protein, DUF596 domain",19,0
78,Replicative DNA helicase,23,0
79,"Beta-glucanase, GH16 family",25,0
80,"Uncharacterized protein, contains PhoU and TrkA_C domains",21,0
81,"ABC-type phosphonate transport system, ATPase component PhnK",23,1
82,"Uncharacterized conserved protein DfsB/IRC4, DUF1706 (PF08020) domain",21,0
83,"Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family",19,1
84,tRNA G37 N-methylase Trm5,20,2
85,Archaeal shikimate kinase,18,2
86,Phosphoserine phosphatase,22,1
87,5-oxoprolinase subunit C/Allophanate hydrolase subunit 2,24,0
88,Type VI protein secretion system component VasK,22,0
89,UDP-N-acetylglucosamine transferase subunit ALG13,25,0
90,"Endonuclease, Uma2 family (restriction endonuclease fold)",23,1
91,"Uncharacterized membrane protein YtjA, UPF0391 family",16,3
92,Cytochrome b involved in lipid metabolism,20,1
93,Succinate-acetate transporter SatP,20,1
94,"Predicted ATPase, PP-loop superfamily",22,2
95,"DNA-nicking endonuclease, Smr domain",17,2
96,Mg2+/citrate symporter,24,0
97,Cytochrome c1,18,2
98,Predicted ATPase of the ABC class,23,1
99,"Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family",23,0
100,"Two-component sensor histidine kinase, HisKA and HATPase domains",24,1
101,Uncharacterized conserved protein YtzB,23,1
102,Thiamine transporter ThiT,25,0
103,Isocitrate dehydrogenase,20,1
104,"Uncharacterized conserved protein, DUF2267 family",18,1
105,"Signal transducer regulating beta-lactamase production, contains metallopeptidase domain",20,1
106,"dTDP-4-amino-4,6-dideoxygalactose transaminase",22,0
107,"Predicted nuclease, contains PIN domain",21,1
108,Cation-transporting P-type ATPase,22,0
109,Hemerythrin domain-containing protein,21,1
110,"Phage terminase, small subunit",23,0
111,Predicted nucleic acid-binding OB-fold protein,18,4
112,Cellulase/cellobiase CelA1,19,3
113,L-rhamnose mutarotase,20,1
114,"Spore cortex hydrolase SleL/YaaH, N-acetylglucosaminidase of GH18 family",19,0
115,Pantothenate kinase type III,21,0
116,Apolipoprotein N-acyltransferase,24,0
117,"Glycyl-tRNA synthetase, beta subunit",24,0
118,Carbon starvation protein CstA (peptide/pyruvate transporter),25,0
119,"Uncharacterized conserved protein YjlB, cupin superfamily",13,1
120,Ribosomal protein L20A (L18A),18,3
121,Aspartate/methionine/tyrosine aminotransferase,19,0
122,Cobalamin biosynthesis protein CbiD (cobalt-precorrin-5B C-methyltransferase),21,1
123,Ribosomal protein L4,23,1
124,Oligoendopeptidase F,25,0
125,"Possible nuclease of RNase H fold, RuvC/YqgF family",20,0
126,Ribosomal protein L6P/L9E,20,0
127,"FoF1-type ATP synthase, gamma subunit",18,1
128,"Lipopolysaccharide export LptBFGC system, permease protein LptF",15,3
