,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Protein kinase association domain CaMKII_AD, NTF2-like superfamily",0,1
1,"Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain",4,3
2,"MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity",2,0
3,Carbohydrate-binding DOMON domain,0,1
4,"Predicted DNA-binding protein with ‘double-wing’ structural motif, MmcQ/YjbR family",1,4
5,"Predicted transcriptional regulator, ArsR family",1,3
6,"Uncharacterized conserved protein Veg, DUF1021 family",2,5
7,"23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)",1,5
8,Fructose-bisphosphate aldolase class 1,1,3
9,Predicted metal-dependent hydrolase,1,0
10,Flagellar biosynthesis protein FliP,1,1
11,5-enolpyruvylshikimate-3-phosphate synthase,1,3
12,Recombinational DNA repair ATPase RecF,1,2
13,Protein translocase subunit SecG,2,2
14,Energy-converting hydrogenase A subunit M,3,2
15,Ubiquitin C-terminal hydrolase,5,0
16,"nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs",1,3
17,"Uncharacterized conserved protein RhaS, contains 28 RHS repeats",1,3
18,Mu-like prophage I protein,1,1
19,Hydrogenase maturation factor HypE,0,1
20,Flagellar basal body P-ring protein FlgI,1,0
21,NADH:ubiquinone oxidoreductase subunit 2 (chain N),2,2
22,"Uncharacterized conserved protein YqfB, UPF0267 family",4,2
23,Mu-like prophage protein gp45,1,1
24,"Predicted ATP-dependent carboligase, ATP-grasp superfamily",4,3
25,"CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group",4,4
26,ATP phosphoribosyltransferase,0,1
27,Predicted secreted Zn-dependent protease,2,1
28,"Uncharacterized conserved protein YccT, UPF0319 family",0,1
29,Arginine utilization protein RocB,1,0
30,"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF",1,1
31,Uncharacterized conserved protein YwgA,2,1
32,Muconolactone delta-isomerase,3,3
33,Cob(II)alamin adenosyltransferase,1,1
34,Predicted extracellular nuclease,3,2
35,Acyl carrier protein phosphodiesterase,1,0
36,Periplasmic molybdate-binding protein/domain,2,1
37,Molecular chaperone DnaK (HSP70),2,1
38,Ribosomal protein L13,0,4
39,"Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains",3,1
40,"ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA",2,3
41,Molecular chaperone GrpE (heat shock protein HSP-70),0,5
42,Protease II,2,1
43,Acetyl-CoA acetyltransferase,2,4
44,2-phosphoglycerate kinase/Mevalonate-3-phosphate 5-kinase,0,1
45,"Uncharacterized conserved protein, DUF885 family",0,2
46,"Type IV secretory pathway, TrbF component",1,1
47,Phosphorylcholine metabolism protein LicD,3,1
48,Inorganic pyrophosphatase,0,1
49,Precorrin-6B methylase 2,1,0
50,Phosphate/sulfate permease,6,1
51,"ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components",5,3
52,"Heavy metal-bindng TRASH/YHS domain, predicted Cu/Ag metallochaperone",1,3
53,"Cobyrinic acid a,c-diamide synthase",1,0
54,3-polyprenyl-4-hydroxybenzoate decarboxylase,2,1
55,Predicted secreted (periplasmic) protein,2,0
56,"ABC-type microcin C transport system, permease component YejB",3,1
57,"ABC-type proline/glycine betaine transport system, periplasmic component",5,0
58,Flagellar basal body rod protein FlgC,0,2
59,Virulence factor SrfC-related protein,2,1
60,"dTDP-4-amino-4,6-dideoxygalactose transaminase",2,1
61,Transcriptional regulator TyrR of aromatic amino acids metabolism,0,3
62,Ribosomal protein S19E (S16A),1,3
63,Type VI protein secretion system component TssL/VasF/DotU,0,1
64,"Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains",2,3
65,Bacteriophage P2-related tail formation protein,1,1
66,"Uncharacterized protein, contains ACT and PBP-like DUF5612 domains, MJ1458 family",1,4
67,"dTDP-D-glucose 4,6-dehydratase",3,0
68,"DNA-binding transcriptional regulator YhcF, GntR family",1,1
69,Chromosome segregation ATPase Smc,3,2
70,Hydroxymethylglutaryl-CoA reductase,2,2
71,"ABC-type branched-chain amino acid transport system, ATPase component LivF",2,1
72,"Uncharacterized membrane protein YgaE, UPF0421/DUF939 family",2,3
73,Poly-beta-hydroxybutyrate synthase,3,2
