,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Uncharacterized conserved protein (PDB:5MU5),8,0
1,Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC),8,0
2,"DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)",8,0
3,Autonomous glycyl radical cofactor GrcA (GrcA) (PDB:6OWR),8,0
4,Cyanate permease (CynX),7,1
5,"Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes (SpoIIID) (PDB:2L0K) (PUBMED:16707683)",8,0
6,Transposase InsA (InsA),8,0
7,Lysozyme inhibitor LprI (LprI) (PUBMED:18369469;26589796),8,0
8,"Heavy metal-bindng TRASH/YHS domain, predicted Cu/Ag metallochaperone (YHS)",8,0
9,1-phosphofructokinase or 6-phosphofructokinase II (FruK) (PDB:2ABQ),8,0
10,Branched-chain amino acid transport protein AzlD (AzlD),7,1
11,NADH/NAD ratio-sensing transcriptional regulator Rex (Rex) (PDB:3KEO) (PUBMED:23490197),8,0
12,"Transposase (or an inactivated derivative), DDE domain (Rve)",8,0
13,Diphthamide biosynthesis methyltransferase (DPH5) (PDB:2EGL),7,1
14,Pyruvoyl-dependent arginine decarboxylase (PdaD) (PDB:1MT1),8,0
15,Predicted heme/steroid binding protein,8,0
16,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)",8,0
17,"Putative exporter of oligosaccharides and polyketide antibiotics DrrB/NodJ, ABC-2 family (NodJ) (PUBMED:1303751)",8,0
18,Signal transduction histidine kinase regulating phosphoglycerate transport system,8,0
19,"Uncharacterized conserved protein YcgL, UPF0745 family (YcgL) (PDB:2H7A) (PUBMED:17221885)",8,0
20,Uncharacterized membrane protein YwzB (YwzB),8,0
21,Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB),8,0
22,"PIWI domain, catalyzes dsRNA-guided hydrolysis of ssRNA, involved in RNA silencing, RNA metabolism and antiviral defense (PIWI) (PDB:1W9H)",8,0
23,Predicted metal-dependent hydrolase (YpuF) (PDB:2CWY),8,0
24,Gamma-glutamyl phosphate reductase (ProA) (PDB:4GHK),8,0
25,"Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily (ERG3) (PDB:4ZR0)",8,0
26,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",8,0
27,Phage-related minor tail protein (YqbO),8,0
28,Uncharacterized C-terminal domain of topoisomerase IA,8,0
29,"Spore germination receptor GerABC, GerC subunit (GerAC) (PUBMED:19748359)",6,1
30,"Uncharacterized conserved protein YifN, PemK superfamily (YifN) (PUBMED:19935661)",7,0
31,Ribosomal protein S7 (RpsG) (PDB:4V4H),8,0
32,Beta-lactamase class A (PenP) (PDB:6W34),7,0
33,"Cold shock protein, CspA family (CspC) (PDB:1C9O)",8,0
34,"DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)",8,0
35,"Fimbrial subunit ScuA/B, ScuA/B/SCPU domain (SCPU) (PDB:6FQA) (PUBMED:30228191;31396168)",8,0
36,"ABC-type lipoprotein export system, ATPase component (LolD) (PDB:5GKO)",8,0
37,Polyphosphate kinase (Ppk) (PDB:1XDO),8,0
38,"ABC-type spermidine/putrescine transport system, permease component I (PotB)",7,0
39,Phospholipase C (PlcC),8,0
40,Trans-aconitate methyltransferase (Tam) (PDB:2P35),8,0
41,"Uncharacterized conserved protein, DUF2316 domain",8,0
42,"Cytochrome b6 maturation protein CCB3/Ycf19 and related maturases, YggT family (Ycf19)",8,0
43,Energy-converting hydrogenase Eha subunit D (EhaD) (PUBMED:19495416),8,0
44,Putative aminopeptidase FrvX (FrvX) (PDB:1VHE),8,0
45,Di- and tricarboxylate antiporter (CitT) (PDB:4F35),8,0
46,Translation elongation factor EF-1beta (EFB1) (PDB:2B7B),8,0
47,Uncharacterized conserved protein YaaN involved in tellurite resistance (YaaN),8,0
48,"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit (SdhC) (PDB:2WU2) (PUBMED:18511537)",8,0
49,"Uncharacterized conserved protein YbaA, DUF1428 family (YbaA)",8,0
50,6-pyruvoyl-tetrahydropterin synthase (QueD) (PDB:1B66) (PUBMED:14660578;17384645),8,0
51,Ribose 5-phosphate isomerase (RpiA) (PDB:1KS2),8,0
52,Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM),8,0
53,"Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase (WrbA) (PDB:4DY4)",8,0
54,Riboflavin synthase alpha chain (RibC) (PDB:1I8D),8,0
55,Ankyrin repeat (ANKYR) (PDB:6AUN),8,0
56,"ABC-type enterochelin transport system, ATPase component (CeuD)",8,0
57,Phenylalanine-4-hydroxylase (PhhA) (PDB:1PHZ),8,0
