,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Predicted P-loop ATPase and inactivated derivatives,6,0
1,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",6,0
2,Lysozyme family protein,8,0
3,Uncharacterized conserved protein (PDB:5YIU),7,0
4,FAD:protein FMN transferase ApbE (ApbE) (PDB:1VRM) (PUBMED:23558683;30154099),7,1
5,Urease accessory protein UreH (UreH) (PDB:3SF5),8,0
6,Spore germination protein GerPE (inner spore coat) (GerPE),8,0
7,"ABC-type hemin transport system, ATPase component (PDB:4G1U)",5,0
8,2-hydroxychromene-2-carboxylate isomerase (NahD),8,0
9,Putative heme-binding protein PhuW (PhuW) (PDB:2G5G) (PUBMED:16950397),6,1
10,Deoxyhypusine synthase (DYS1) (PDB:1DHS),7,0
11,"NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation (LabA) (PDB:2QIP)",8,0
12,"Fructose-bisphosphate aldolase class Ia, DhnA family (FbaB) (PDB:1OJX)",8,0
13,Predicted hydrolase of the alpha/beta-hydrolase fold (YheT),8,0
14,Predicted benzoate:H+ symporter BenE (BenE),4,1
15,"Uncharacterized conserved protein YpbQ, isoprenylcysteine carboxyl methyltransferase (ICMT) family (YpbQ)",8,0
16,"Mannitol/fructose-specific phosphotransferase system, IIA domain (MtlA2) (PDB:1A3A)",7,0
17,"Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO)",6,0
18,"5S rRNA maturation ribonuclease M5, contains TOPRIM domain (RnmV) (PDB:2FCJ)",6,0
19,"Uncharacterized conserved protein, DUF2117 domain",8,0
20,Aspartate-semialdehyde dehydrogenase (Asd) (PDB:1BRM),3,0
21,Membrane protein insertase Oxa1/YidC/SpoIIIJ (YidC) (PDB:3WO6),6,0
22,Phage-related minor tail protein,7,0
23,"Signal recognition particle receptor subunit beta, a GTPase (Srp102) (PDB:1NRJ)",6,0
24,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY),3,1
25,"Zn-dependent oligopeptidase, M3 family (Dcp) (PDB:5L43) (PUBMED:25239919;31422053)",3,1
26,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",7,0
27,"PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA (ArnT) (PDB:5EZM) (PUBMED:16226890;31233657;32706435)",7,0
28,"Methyl coenzyme M reductase, subunit D (McorD)",7,0
29,"Photosystem II reaction center D2, PsbD (PsbD) (PDB:1S5L) (PUBMED:20558739;25043005)",7,0
30,"Lysylphosphatidylglycerol synthetase MprF, lysyl-tRNA-binding C-terminal domain (MprF2) (PDB:5VRV) (PUBMED:14702396;30563904)",7,0
31,"Uncharacterized metal-binding protein MJ0455, DUF1847 family",8,0
32,Carbon starvation protein CstA (peptide/pyruvate transporter) (CstA) (PUBMED:26497384;29358499),8,0
33,DNA repair photolyase (SplB),8,0
34,4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC (ThiC) (PDB:3EPN) (PUBMED:15326535),6,0
35,Archaeal histone H3/H4 (HHT1) (PDB:6GEJ),8,0
36,"Uncharacterized Fe-S cluster-containing enzyme, radical SAM superfamily",4,2
37,"Peptidoglycan-binding domain, expansin YoaJ (YoaJ)",6,0
38,"Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)",7,0
39,Uncharacterized conserved protein related to plant photosystem II stability/assembly factor (PDB:2XBG),8,0
40,Transcription-repair coupling factor (superfamily II helicase) (Mfd) (PDB:2EYQ),7,0
41,"Ribosomal 50S subunit-associated protein YjgA, DUF615 family (YjgA) (PDB:2P0T) (PUBMED:16980477)",6,1
42,Dethiobiotin synthetase (BioD) (PDB:1DTS),4,1
43,"ABC-type iron transporter FetAB, ATPase component (FetA)",7,0
44,"Type IV secretory pathway, VirB2 component (pilin) (VirB2)",4,0
45,Pyrimidine operon attenuation protein PyrR/uracil phosphoribosyltransferase (PyrR) (PDB:1A3C),5,0
46,"Uncharacterized cyanobacterial/chloroplast stress-induced protein Ycf35, DUF1257 domain (Ycf35) (PUBMED:12384281)",5,0
47,Predicted dinucleotide-utilizing enzyme of the ThiF/HesA family,4,0
48,Predicted glycosyl transferase,8,0
49,"Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain (CpaE) (PDB:4LDA)",8,0
50,Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E),6,0
51,Phage terminase large (ATPase) subunit and inactivated derivatives,6,0
52,Mg2+/citrate symporter (CitM),8,0
53,Ribonuclease P protein subunit RPR2 (RPR2) (PDB:1X0T),8,0
54,Ribosomal protein S2 (RpsB) (PDB:4V4H),6,0
55,UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC) (PDB:1P42),7,0
56,"Uncharacterized protein, contains SWIM-type Zn finger domain (SWIM)",4,0
57,"ABC-type uncharacterized transport system, ATPase component (YhaQ)",6,0
58,Ribosomal protein S12 (RpsL) (PDB:4V4H),4,0
59,"Ethanolamine utilization protein EutQ, cupin superfamily (function unknown) (EutQ) (PDB:2PYT)",6,0
60,"Flp pilus assembly protein TadG, includes N-terminal TadE domain (TadG) (PUBMED:12010986)",6,0
61,"Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E) (SpoIIGA) (PUBMED:18378688;21362630)",3,1
62,"Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily (IaaA) (PDB:1APY)",5,0
63,Flagellar hook-length control protein FliK (FliK) (PDB:2RRL),8,0
64,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (PhnL),6,0
65,Broad specificity phosphatase PhoE (PhoE) (PDB:1EBB),5,0
66,"Uncharacterized 2Fe-2S and 4Fe-4S clusters-containing protein, contains DUF4445 domain (PDB:4C1N)",6,0
67,Putative Mn2+ efflux pump MntP (MntP),5,1
68,"Stage V sporulation protein SpoVAB, subunit of dipicolinate uptake complex (SpoVAB)",6,1
69,tRNA(Met) C34 N-acetyltransferase TmcA (TmcA) (PDB:2ZPA),8,0
70,"ABC-type phosphate transport system, ATPase component (PstB)",3,1
71,Biopolymer transport protein ExbD (ExbD) (PDB:2JWK),6,0
72,"mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)",7,0
73,Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1),7,0
74,DNA anti-recombination protein (rearrangement mutator) RmuC (RmuC),6,0
75,Cytochrome c peroxidase (MauG) (PDB:1EB7),7,1
76,"Uncharacterized membrane-anchored protein YjiN, DUF445 family (YjiN)",8,0
77,Molybdopterin biosynthesis enzyme MoaB/MogA (MoaB) (PDB:1DI6) (PUBMED:32239579),5,1
78,"Putative lipoate-binding regulatory protein, UPF0250 family (YbeD) (PDB:1RWU) (PUBMED:15547281)",6,0
79,"Competence protein CoiA, contains predicted nuclease domain (CoiA)",4,1
80,"Predicted ssDNA annealing protein, contains HHH motif, Rad42/Rad22/RecT/erf family (DdrA)",6,0
81,Preprotein translocase subunit SecF (SecF) (PDB:2FYH) (PUBMED:28830929),3,0
82,16S rRNA G966 N2-methylase RsmD (RsmD) (PDB:2IFT),6,0
83,"Ethanolamine utilization protein EutS, microcompartment shell protein (EutS) (PDB:3IA0)",4,1
84,"Cell division protein ZapA, inhibits GTPase activity of FtsZ (ZapA) (PDB:1T3U)",6,0
85,"Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family (YcgQ)",6,0
86,"DNA-binding protein SpoVG, cell septation regulator (SpoVG) (PDB:2I9X) (PUBMED:23818957)",7,0
87,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis) (FolK) (PDB:1CBK)",3,0
88,Tellurite resistance membrane protein TerC (TerC),5,1
89,"DNA-binding transcriptional regulator, XRE-family HTH domain (XRE) (PDB:1UTX)",5,1
90,DNA/RNA-binding protein AlbA/Ssh10b (AlbA) (PDB:1H0X) (PUBMED:18821773),6,0
91,Disulfide bond formation protein DsbB (DsbB) (PDB:2LTQ),6,0
92,"ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components (CydD)",7,0
93,"ABC-type uncharacterized transport system, ATPase component",7,0
94,p-Aminobenzoyl-glutamate transporter AbgT (AbgT) (PDB:4R0C) (PUBMED:17307853),8,0
95,"Predicted  nucleic acid-binding protein, contains Zn-ribbon domain (includes truncated derivatives)",5,0
96,Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579),4,0
97,Phosphatidylserine decarboxylase (Psd) (PDB:6L06),5,0
98,"Chitooligosaccharide deacetylase ChbG, YdjC/CelG family (ChbG) (PDB:2I5I) (PUBMED:18177738;22797760)",7,0
99,rRNA maturation endonuclease Nob1 (Nob1) (PDB:2CON),5,0
100,CRISPR-Cas system type I-G effector complex large subunit Cas8g1 (Cas8g1),6,0
101,"Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain (PDB:3K32)",6,0
102,"Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family (PDB:3CGX)",8,0
103,"Uncharacterized conserved protein YceH, UPF0502 family (YceH) (PDB:3BZ6)",6,0
104,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756),6,1
105,"Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module (HipA) (PDB:2WIU)",7,0
106,"Predicted RNA-binding protein, contains PUA-like EVE domain (PDB:1WMM)",6,0
107,"Uncharacterized conserved protein YqgC, DUF456 family (YqgC)",8,0
108,Cytidylyltransferase family enzyme (PUBMED:25583072),4,0
109,"Phage terminase-like protein, large subunit, contains N-terminal HTH domain (YmfN)",8,0
110,Histidinol phosphatase or related hydrolase of the PHP family (HIS2) (PDB:1M65),4,0
111,"ABC-type polysaccharide/polyol phosphate transport system, ATPase component (TagH) (PDB:6JBH)",7,0
112,"Xanthosine utilization system component, XapX domain (XapX)",5,0
113,Nucleoside permease NupC (NupC) (PDB:3TIJ),8,0
114,"Electron transfer flavoprotein, alpha and beta subunits (FixA) (PDB:5OL2)",6,0
115,Ribosomal protein S18 (RpsR) (PDB:4V4H),7,0
116,"Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein, methyltransferase HcgC (HcgC) (PDB:5D4T) (PUBMED:25882909)",4,1
117,"Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase (PlsY) (PDB:5XJ5) (PUBMED:29684280)",8,0
118,ATP-dependent helicase/DNAse subunit B (AddB) (PDB:3U44),4,1
119,"Stage II sporulation protein SpoIIP, required for dissolution of the septal cell wall (SpoIIP)",7,0
120,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",3,1
121,Transcriptional and/or translational regulatory protein YebC/TACO1 (TACO1) (PDB:1KON),6,0
122,Spore coat protein CotO/YjbX (CotO) (PUBMED:16321932),8,0
123,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",7,0
124,"Thymidylate synthase ThyX, FAD-dependent family (ThyX) (PDB:1KQ4)",7,0
125,Formylmethanofuran dehydrogenase subunit B (FwdB) (PDB:5T5I),8,0
126,Putative cobalt transporter membrane subunit CbtA (CbtA) (PUBMED:19915676),7,0
127,Thiol:disulfide interchange protein DsbD (DsbD) (PDB:1JPE),7,0
128,Predicted metalloendopeptidase (PepO) (PDB:1DMT),8,0
129,3-methyladenine DNA glycosylase Tag (Tag) (PDB:1LMZ),3,1
130,"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) (RibE) (PDB:1C2Y)",5,0
131,"Uncharacterized conserved protein YsxB, DUF464 family (YsxB) (PDB:1S12)",5,0
132,"Predicted RNA-binding protein, associated with RNAse of E/G family, DUF402 domain (PDB:2P12) (PUBMED:15126500)",5,1
133,"Predicted epimerase YddE/YHI9, PhzF superfamily (YHI9) (PDB:1SDJ) (PUBMED:24914732)",7,0
134,"Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB (SUA7) (PDB:1DL6)",6,1
135,16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B) (RsmG) (PDB:1XDZ) (PUBMED:15375115;22031445),7,0
136,"Uncharacterized conserved protein, cupin superfamily",7,0
137,"DNA polymerase III, alpha subunit (DnaE) (PDB:2HNH)",7,0
138,Phycocyanobilin lyase CpeT/CpcT (CpeT),8,0
139,"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)",5,0
140,"ATPase/GTPase, AAA15 family",8,0
141,TPR-like repeat domain (TPR1),3,0
142,"Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P (CheZ) (PDB:1KMI)",8,0
143,Periplasmic regulator RcnB of Ni and Co efflux (RcnB) (PDB:2L1S),6,0
144,4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD),5,0
145,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G),7,0
146,Dephospho-CoA kinase (CoaE) (PDB:1JJV),7,0
147,"Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein HcgB, guanylyltransferase (HcgB) (PDB:3BRC) (PUBMED:25882909)",8,0
148,"Uncharacterized conserved protein, contains GBA2_N and DUF608 domains (PDB:5BVU)",6,0
149,GDP-D-mannose dehydratase (Gmd) (PDB:1DB3),8,0
150,NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY),5,0
151,Molybdopterin Mo-transferase (molybdopterin biosynthesis) (MoeA) (PDB:2NQU) (PUBMED:18801996;32239579),5,0
152,Na+/phosphate symporter (NptA),6,1
153,Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1),8,0
154,"Heme/copper-type cytochrome/quinol oxidase, subunit 4 (CyoD)",2,0
155,"Uncharacterized conserved protein, DUF4415 family",7,0
156,Lipoate-protein ligase A (LplA) (PDB:4TVW),8,0
157,"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)",7,0
158,3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049),4,1
