,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Predicted DNA binding protein, CopG/RHH family",0,1
1,Phage head maturation protease,1,0
2,Predicted metal-dependent peptidase,2,0
3,"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain",0,1
4,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",1,0
5,"Transposase, IS1182 family",0,2
6,"Uncharacterized membrane protein, UPF0182 family",0,1
7,"Uncharacterized conserved protein, DUF2062 family",0,1
8,Capsular polysaccharide biosynthesis protein,2,0
9,"Uncharacterized conserved protein, DUF2175 family",1,1
10,"Uncharacterized conserved protein, MAPEG superfamily",1,1
11,"Predicted metal-dependent hydrolase, TIM-barrel fold",0,1
12,"Predicted nuclease, RecB family",1,0
13,"Uncharacterized conserved protein, DUF2203 domain",0,1
14,"Uncharacterized conserved protein, DUF2236 family",0,3
15,"Uncharacterized conserved protein, DUF2126 family",0,1
16,"ABC-type uncharacterized transport system, ATPase component",0,1
17,Predicted phosphoribosyltransferase,0,1
18,"Uncharacterized conserved protein, DUF1365 family",0,1
19,Predicted archaeal methyltransferase,1,0
20,"Uncharacterized conserved protein, DUF1820 domain",1,0
21,"Uncharacterized conserved protein, DUF2225 family",0,1
22,"Uncharacterized conserved protein, DUF2145 domain",1,2
23,"Uncharacterized conserved protein, DUF483 domain",1,0
24,"Biotin synthase-related protein, radical SAM superfamily",1,0
25,Uncharacterized low-complexity protein,0,1
26,"Uncharacterized protein, contains DUF2185 domain",1,0
27,"Uncharacterized conserved protein, related to short-chain dehydrogenases",0,1
28,"Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain",1,0
29,Predicted nuclease (RNAse H fold),0,1
30,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",0,1
31,"Uncharacterized conserved protein, DUF169 family",1,0
32,"Uncharacterized metal-binding protein, DUF411 family",2,0
33,"Uncharacterized copper-binding protein, cupredoxin-like subfamily",1,0
34,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",0,1
35,Type 1 glutamine amidotransferase (GATase1)-like domain,0,1
36,"Uncharacterized conserved protein, DUF2153 domain",0,1
37,"Uncharacterized conserved protein, DUF1674 domain",1,0
38,"DNA primase, phage- or plasmid-associated",1,1
39,Lysozyme family protein,1,0
40,Phage capsid portal protein XkdE,1,0
41,NCAIR mutase (PurE)-related protein,1,0
42,"Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1",1,0
43,Steroid 5-alpha reductase family enzyme,1,0
44,"Uncharacterized membrane protein, UPF0136 family",0,3
45,"Uncharacterized protein, contains DUF3084 domain",1,0
46,"Uncharacterized protein, contains DUF1214 domain",1,0
47,"Uncharacterized protein, contains DUF4139 domain",0,1
48,Site-specific recombinase,0,1
49,Predicted spermidine synthase with an N-terminal membrane domain,0,2
50,"Phage-related protein, tail assembly protein I",0,1
51,"Uncharacterized conserved protein, DUF1150 family",1,0
52,Phage large terminase packaging protein,1,0
53,"Uncharacterized conserved protein, DUF2264 domain",0,1
54,"Uncharacterized conserved protein, DUF2277 domain",1,0
55,"Uncharacterized conserved protein, UPF0212 family",1,0
56,Spore maturation protein CgeB,0,2
57,"Uncharacterized conserved protein, DUF2255 domain",1,0
58,Uncharacterized conserved protein MJ1451,1,0
59,"Predicted transcriptional regulator, contains C-terminal CBS domains",1,0
60,Predicted transcriptional regulator,0,1
61,Phage-related tail protein,1,0
62,Uncharacterized conserved protein MJ0498,1,0
63,"Predicted acyltransferase, DUF1624 domain",1,0
64,Phage capsid protein,0,1
65,Predicted ferric reductase,0,1
66,"Uncharacterized Zn-finger containing protein, UPF0148 family",1,0
67,"Uncharacterized conserved protein, DUF1178 domain",0,1
68,Phosphatidylethanolamine N-methyltransferase,0,1
69,Uncharacterized domain associated with phage/plasmid primase,1,0
70,"Uncharacterized conserved protein ECs_4300, contains TPR-like domain",0,1
71,"Uncharacterized protein, contains GH25 family domain",1,0
72,Phage terminase large (ATPase) subunit and inactivated derivatives,1,1
73,"Uncharacterized conserved protein, contains ferredoxin domain",1,0
74,Predicted metal-binding membrane protein,1,0
75,Secreted trypsin-like serine protease,0,2
76,"Uncharacterized protein, contains DUF2293 domain",0,1
77,"Uncharacterized conserved protein, DUF1272 domain",2,0
78,"Uncharacterized conserved protein, DUF465 domain",0,1
79,"Uncharacterized conserved protein, DUF1489 domain",1,0
80,Uncharacterized Fe-S cluster-containing protein,1,1
81,"Uncharacterized conserved protein, DUF2066 domain",1,0
82,Uncharacterized integral membrane protein,0,1
83,Transposase,0,1
84,Metallophosphoesterase superfamily enzyme,1,0
85,"Glycosyltransferase involved in LPS biosynthesis, GR25 family",0,1
86,"Uncharacterized conserved protein, DUF2322 domain",0,1
87,"Uncharacterized membrane protein, DUF1648 family",1,1
88,"Predicted acetyltransferase, GNAT superfamily",1,0
89,"Predicted archaeal serine protease, S18 family",0,1
90,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",0,1
91,"Transposase and inactivated derivatives, TnpA family",1,0
