,Unnamed: 0.1,phylum_name,feature_name,coef,coef_sd,lower_95,upper_95,count,significant,permutation_importance,lower_90,upper_90,t-statistic,p-value
0,0,Firmicutes,tRNA modification,-0.6517894107501417,0.598839006521266,,,37,True,0.2703999999999999,-0.7937741996403802,-0.5098046218599033,-7.696304135636533,5.581052374914862e-10
1,1,Firmicutes,Pyruvate oxidation!!!Menaquinone biosynthesis,1.4469313302353717,1.185764779530772,,,40,True,0.2357,1.1657863813229998,1.7280762791477433,8.628481577312286,2.124270413106845e-11
2,2,Firmicutes,Menaquinone biosynthesis!!!Fatty acid biosynthesis,-0.7671938590684628,0.8866340105620382,,,27,True,0.092,-0.9774148724654684,-0.5569728456714574,-6.118510837274366,1.5365962048095482e-07
3,3,Firmicutes,Mureine biosynthesis!!!tRNA modification,-0.1196643210978333,0.2896785644182028,,,17,True,0.0285000000000001,-0.1883471379602069,-0.0509815042354597,-2.921011883785949,0.005262298824468152
4,4,Firmicutes,"Isoleucine, leucine, valine biosynthesis",0.066189926514194,0.2097075982580447,,,8,True,0.0265,0.0164682338002942,0.1159116192280938,2.231838344113523,0.030231039592317935
5,5,Firmicutes,Pyrimidine biosynthesis!!!Purine salvage,0.037878662325724,0.1573191291539866,,,4,True,0.0198999999999999,0.0005782809242468,0.0751790437272013,1.7025430497125342,0.094990262266767
6,6,Firmicutes,Serine biosynthesis,-0.0754116892742111,0.3130051406263247,,,5,True,0.012,-0.1496252397100074,-0.0011981388384148,-1.7036179265243283,0.09478763394814854
7,7,Firmicutes,Ribosome 30S subunit!!!Isoprenoid biosynthesis,-0.0101326695495178,0.0566601843197063,,,3,False,0.0082999999999999,-0.0235668049707377,0.0033014658717021,-1.2645351292114568,0.2120197245975827
8,8,Firmicutes,Ribosome 30S subunit,0.0328658369096247,0.1463544815671787,,,4,False,0.0001999999999999,-0.0018348254422993,0.0675664992615489,1.587901914537508,0.11874116071052354
9,9,Firmicutes,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Ubiquinone biosynthesis,0.0,0.0,,,0,False,0.0,,,,
10,10,Firmicutes,Fatty acid biosynthesis!!!Menaquinone biosynthesis,0.0,0.0,,,0,False,0.0,,,,
11,11,Firmicutes,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!NADH dehydrogenase,0.0,0.0,,,0,False,0.0,,,,
12,12,Firmicutes,Isoprenoid biosynthesis!!!Menaquinone biosynthesis,0.0,0.0,,,0,False,0.0,,,,
13,13,Firmicutes,Pentose phosphate pathway!!!Non-phosphorylated Entner-Doudoroff pathway,0.0,0.0,,,0,False,0.0,,,,
14,14,Firmicutes,NADH dehydrogenase!!!tRNA modification,0.0,0.0,,,0,False,0.0,,,,
15,15,Firmicutes,Heme biosynthesis,0.0,0.0,,,0,False,0.0,,,,
16,16,Firmicutes,Lipid A biosynthesis!!!Lipid A biosynthesis,0.0,0.0,,,0,False,0.0,,,,
17,17,Firmicutes,Cysteine biosynthesis!!!Proline biosynthesis,0.0,0.0,,,0,False,0.0,,,,
18,18,Firmicutes,Pyrimidine biosynthesis!!!Pyrimidine biosynthesis,0.0,0.0,,,0,False,0.0,,,,
19,19,Firmicutes,Entner-Doudoroff pathway,0.0,0.0,,,0,False,0.0,,,,
20,20,Firmicutes,Methionine biosynthesis!!!Lysine biosynthesis,0.0,0.0,,,0,False,0.0,,,,
21,21,Firmicutes,RNA polymerase,0.0,0.0,,,0,False,0.0,,,,
22,22,Firmicutes,Menaquinone biosynthesis!!!Pyrimidine degradation,0.0,0.0,,,0,False,0.0,,,,
23,23,Firmicutes,Molybdopterin biosynthesis,0.0,0.0,,,0,False,0.0,,,,
24,24,Firmicutes,Pyrimidine salvage,0.0,0.0,,,0,False,0.0,,,,
25,25,Firmicutes,16S rRNA modification!!!Isoprenoid biosynthesis,0.0,0.0,,,0,False,0.0,,,,
