,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Fatty acid biosynthesis!!!Glycine cleavagePyruvate oxidation,5,0
1,Aromatic amino acid biosynthesis!!!Pyrimidine salvage,6,0
2,Menaquinone biosynthesis!!!Lipid A biosynthesis,5,1
3,Phospholipid biosynthesis!!!Serine biosynthesis,5,0
4,2Fe2S,6,0
5,Cysteine biosynthesis!!!Fatty acid biosynthesis,4,1
6,Photosystem I,6,0
7,Heme biosynthesis,6,0
8,Isoprenoid biosynthesis!!!Riboflavin/FAD biosynthesis,5,0
9,Arginine biosynthesis!!!Arginine biosynthesis,6,0
10,tRNA modification!!!Pyrimidine salvagetRNA modification,5,0
11,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,4,1
12,Menaquinone biosynthesis!!!Lipid A biosynthesis!!!Cysteine biosynthesis,5,0
13,Fatty acid biosynthesis,6,0
14,Pyrimidine salvagetRNA modification!!!tRNA modification,5,0
15,Fatty acid biosynthesis!!!Pyruvate oxidation,6,0
16,RNA polymerase!!!Pyruvate oxidation,5,0
17,"Isoleucine, leucine, valine biosynthesis",3,1
18,Cysteine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,6,0
19,Cysteine biosynthesis!!!Cobalamine/B12 biosynthesis,6,0
20,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Cobalamine/B12 biosynthesis,5,0
21,Asparagine biosynthesis,6,0
22,Purine biosynthesis!!!Purine biosynthesis!!!Purine biosynthesis,6,0
23,Folate biosynthesis,6,0
24,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,3,1
25,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,6,0
26,Pyrimidine degradation!!!NADH dehydrogenase,3,0
27,Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis,6,0
28,Na+-translocating Fd:NADH oxidoreductase,5,0
29,NAD biosynthesis!!!Cobalamine/B12 biosynthesis,4,1
30,Biotin biosynthesis!!!Ubiquinone biosynthesis,2,1
31,Translation factors,6,0
32,Pantothenate/CoA biosynthesis,6,0
33,Phospholipid biosynthesis!!!Menaquinone biosynthesis,5,1
34,Ubiquinone biosynthesis!!!Biotin biosynthesis,5,0
35,Fatty acid biosynthesis!!!Fatty acid biosynthesis,6,0
36,Pyruvate oxidation,6,0
37,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,6,0
38,Thiamine biosynthesis!!!Urea cycle,6,0
39,Lysine biosynthesis,3,0
40,CRISPR-Cas system,4,0
41,Pyruvate oxidation!!!Fatty acid biosynthesis,2,0
42,Glutamine biosynthesis!!!Glutamine biosynthesis,1,2
43,Pyrimidine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,6,0
44,23S rRNA modification,6,0
45,NAD biosynthesis,5,0
46,Aminoacyl-tRNA synthetases!!!Pyrimidine salvage,6,0
