,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Conjugal transfer/entry exclusion protein,5,0
1,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",3,0
2,Phage-related holin (Lysis protein),5,0
3,Uncharacterized conserved protein YezD,6,0
4,"Uncharacterized conserved protein, DUF2096 domain",6,0
5,"Predicted butyrate kinase, DUF1464 family",5,0
6,"Uncharacterized conserved protein, DUF2199 domain",5,0
7,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,5,0
8,"Uncharacterized conserved protein, DUF2153 domain",5,0
9,"Uncharacterized conserved protein, DUF2225 family",5,0
10,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",4,0
11,Putative Zn-dependent protease,6,0
12,"Uncharacterized membrane protein, DUF131 family",4,0
13,"Uncharacterized conserved protein, DUF1415 family",4,1
14,"Uncharacterized conserved protein, DUF166 domain",6,0
15,Uncharacterized low-complexity protein,4,0
16,HKD family nuclease,6,0
17,"Uncharacterized conserved protein, DUF1851 domain",3,2
18,Predicted ATPase,5,0
19,"Aromatic ring-opening dioxygenase, LigB subunit",5,0
20,"Predicted antitoxin, contains HTH domain",4,1
21,"Predicted RNA polymerase sigma factor, contains C-terminal TPR domain",6,0
22,"Predicted hydrolase, HD superfamily",5,0
23,Phage terminase large (ATPase) subunit and inactivated derivatives,5,0
24,"Predicted ATPase, archaeal AAA+ ATPase superfamily",4,0
25,"Uncharacterized conserved protein, DUF1853 domain",5,0
26,Predicted extracellular nuclease,4,0
27,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",4,0
28,Predicted small secreted protein,6,0
29,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family",5,0
30,"Uncharacterized conserved protein, contains FMN-binding domain",5,0
31,Mu-like prophage FluMu protein gp28,5,0
32,"Uncharacterized conserved protein, DUF2286 domain",5,0
33,"Uncharacterized conserved protein, DUF2321 domain",6,0
34,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",4,1
35,"Uncharacterized conserved protein, DUF2184 domain",6,0
36,Predicted dioxygenase of extradiol dioxygenase family,4,0
37,"Uncharacterized conserved protein, DUF2322 domain",6,0
38,"Uncharacterized conserved protein, DUF2126 family",6,0
39,"Uncharacterized Zn-finger containing protein, UPF0148 family",5,0
40,Uncharacterized conserved protein BH1414,6,0
41,Aminoglycoside phosphotransferase family enzyme,5,0
42,"Uncharacterized conserved protein, DUF1501 family",2,0
43,"Uncharacterized conserved protein, DUF1674 domain",4,0
44,"Uncharacterized conserved protein, UPF0212 family",6,0
45,Predicted Zn-dependent protease,5,0
46,"Uncharacterized conserved protein, DUF1430 domain",4,0
47,"Uncharacterized conserved protein, DUF2325 domain",5,0
48,"Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily",6,0
49,Predicted aspartyl protease,5,0
50,"Uncharacterized conserved protein, DUF2248 family",4,0
51,Predicted metal-binding membrane protein,6,0
52,"Uncharacterized conserved protein, DUF779 family",6,0
53,"Endonuclease, HJR/Mrr/RecB family",4,0
54,"Uncharacterized conserved protein, contains DUF2130 domain",5,0
55,Predicted choloylglycine hydrolase,5,0
56,"Uncharacterized conserved protein, DUF2099 domain",6,0
57,"Uncharacterized metal-binding protein MJ0455, DUF1847 family",6,0
58,Predicted thioesterase,5,0
59,"Uncharacterized conserved protein, contains Extensin-like_C domain",4,1
60,"Predicted restriction endonuclease, Mrr-cat superfamily",6,0
61,"Uncharacterized conserved protein, DUF2255 domain",4,0
62,"Uncharacterized membrane protein, DUF1361 domain",6,0
63,Predicted glycosyl transferase,5,0
64,"Uncharacterized protein, contains ferritin-like DUF455 domain",6,0
65,Phage capsid portal protein XkdE,4,0
66,Putative component of the toxin-antitoxin plasmid stabilization module,4,0
67,"Uncharacterized membrane protein, DUF2068 family",5,0
