,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Folate biosynthesis,0,1
1,RNA polymerase!!!Pyruvate oxidation,0,1
2,Biotin biosynthesis,2,0
3,Lipid A biosynthesis!!!Lipid A biosynthesis,0,1
4,Molybdopterin biosynthesis,1,3
5,Aminoacyl-tRNA synthetases,1,0
6,tRNA modification!!!tRNA modification,0,1
7,Mureine biosynthesis!!!Arginine biosynthesis,0,1
8,Pyrimidine salvagetRNA modification!!!Menaquinone biosynthesis,0,1
9,Cobalamine/B12 biosynthesis!!!Heme biosynthesis,2,2
10,Menaquinone biosynthesis!!!Menaquinone biosynthesis,0,1
11,Fatty acid biosynthesis!!!Lipid A biosynthesis,2,1
12,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase,1,2
13,Fatty acid biosynthesis,1,0
14,Thiamine biosynthesis!!!Thiamine biosynthesis,0,1
15,Molybdopterin biosynthesis!!!Urea cycle,2,1
16,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,1,0
17,Molybdopterin biosynthesis!!!Urea cycle!!!Molybdopterin biosynthesis,3,0
18,Urea cycle!!!RNA polymerase,0,1
19,Lysine biosynthesis!!!Fatty acid biosynthesis,1,0
20,Fatty acid biosynthesis!!!Menaquinone biosynthesis,0,1
21,Purine salvage,2,1
22,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,1,0
23,Cysteine biosynthesis!!!Biotin biosynthesis,0,1
24,Pyridoxal phosphate biosynthesis!!!Serine biosynthesis,1,1
25,Purine biosynthesis!!!tRNA modification,0,1
26,Biotin biosynthesis!!!Ubiquinone biosynthesis,1,0
27,Glutamine biosynthesis!!!NADH dehydrogenase,1,0
28,Ribosome 30S subunit,1,0
29,NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase!!!2Fe2S,1,1
30,Pyrimidine degradation!!!Cobalamine/B12 biosynthesis,0,1
31,Glutamine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,1,0
32,Proline degradation!!!Proline degradation,0,2
33,Thymidylate biosynthesis,0,1
34,Pyrimidine salvage!!!Thymidylate biosynthesis,1,1
