,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Negative regulator MecA of genetic competence, sporulation and motility",17,0
1,DNA-binding winged helix-turn-helix (wHTH) domain,14,1
2,Glutaminase,18,0
3,5-oxoprolinase subunit B/Allophanate hydrolase subunit 1,17,0
4,"Archaellum component FlaG, FlaF/FlaG flagellin family",18,0
5,"Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains",16,1
6,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit",13,1
7,GTP-sensing pleiotropic transcriptional regulator CodY,17,0
8,"Predicted homoserine dehydrogenase, contains C-terminal SAF domain",14,2
9,Lipoprotein signal peptidase,15,0
10,"TRAP-type uncharacterized transport system, fused permease components",18,0
11,"Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain",14,0
12,"Heterodisulfide reductase, subunit A (polyferredoxin)",15,0
13,Negative regulator of replication initiation SeqA,15,1
14,Multidrug transporter EmrE and related cation transporters,16,0
15,Glycine/D-amino acid oxidase (deaminating),16,2
16,"ADP-ribose pyrophosphatase YjhB, NUDIX family",17,0
17,"Eukaryotic-type DNA primase, large subunit",12,1
18,"2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family",17,0
19,"Uncharacterized conserved protein, DUF1513 domain",17,1
20,1-deoxy-D-xylulose 5-phosphate reductoisomerase,18,0
21,Arginine utilization protein RocB,17,0
22,Competence protein ComGF,16,0
23,UDP-N-acetylenolpyruvoylglucosamine reductase,15,1
24,"20S proteasome, alpha and beta subunits",13,1
25,Selenophosphate synthase,17,0
26,"TFIIF-interacting CTD phosphatase, includes NLI-interacting factor",14,0
27,Cytidylyltransferase family enzyme,18,0
28,Fe2+ or Zn2+ uptake regulation protein Fur/Zur,17,0
29,"Uncharacterized membrane protein YagU, involved in acid resistance, DUF1440 family",16,0
30,"Acyl-CoA thioesterase PaaI, contains HGG motif",13,2
31,"Predicted antitoxin, contains HTH domain",15,0
