,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Biotin transporter BioY,1,0
1,"Type IV secretory pathway, protease TraF",0,0
2,"Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB",1,0
3,Biotin-(acetyl-CoA carboxylase) ligase,1,0
4,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",0,1
5,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases,1,0
6,Phosphoserine phosphatase,0,1
7,"Uncharacterized conserved protein YdbL, DUF1318 family",0,0
8,"Uncharacterized conserved protein YpiB, UPF0302 family",0,0
9,"GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)",0,0
10,"Cdc6-related protein, AAA superfamily ATPase",0,1
11,"Glucose/arabinose dehydrogenase, beta-propeller fold",1,0
12,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,0,1
13,RNase P/RNase MRP subunit POP5,1,0
14,"ABC-type enterochelin transport system, ATPase component",1,0
15,Formate dehydrogenase maturation protein FdhE,1,0
16,"Uncharacterized membrane protein YjjP, DUF1212 family",0,1
17,"Endonuclease, Uma2 family (restriction endonuclease fold)",0,1
18,"Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family",1,0
19,"Uncharacterized conserved protein, DUF1009 family",0,2
20,"Serine protease, subtilisin family",0,1
21,"DNA-binding transcriptional regulator LsrR, DeoR family",1,0
22,Predicted permease,0,0
23,"Two-component sensor histidine kinase, HisKA and HATPase domains",1,0
24,Biotin operon repressor,0,0
25,N-terminal domain of the PTS fructose-specific IIB component,0,1
26,ATPase components of ABC transporters with duplicated ATPase domains,0,1
27,"Heme/copper-type cytochrome/quinol oxidase, subunit 3",1,0
28,Sulfate transporter CysZ,0,1
29,"Virulence-associated protein VapD, endoribonuclease",2,0
30,"Membrane-bound acyltransferase YfiQ, involved in biofilm formation",1,0
31,"ABC-type transport system involved in cytochrome c biogenesis, ATPase component",0,1
32,"Cyclophilin family protein MJ1412, methanogenesis marker protein 3",0,1
33,"Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily",0,0
34,Arginine decarboxylase (spermidine biosynthesis),0,0
35,GTPase-interacting Yip1 domain,0,0
36,"Uncharacterized conserved protein, DUF2304 domain",1,0
37,"Type IV secretory pathway, VirB10 component",1,0
38,Cytoplasmic chaperone NapD for the signal peptide of periplasmic nitrate reductase NapAB,1,0
39,Cation (Ca2+/Na+/K+)/H+ antiporter ChaA,0,1
40,"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase",0,0
41,sRNA-binding protein ProQ,1,1
42,Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase),0,1
43,"ABC-type sulfate transport system, periplasmic component",1,0
44,p-Aminobenzoyl-glutamate transporter AbgT,0,0
45,"Alkylhydroperoxidase family enzyme, contains CxxC motif",0,1
46,"Methyl coenzyme M reductase, gamma subunit",0,0
47,"Uncharacterized protein, contains ferritin-like DUF455 domain",0,0
48,Heme-binding NEAT domain,0,1
49,Formyltetrahydrofolate synthetase,0,0
50,Predicted ester cyclase,2,0
51,D-alanyl-D-alanine carboxypeptidase,0,2
52,Preprotein translocase subunit Sec63,0,1
53,"Predicted rRNA methylase YqxC, contains S4 and FtsJ domains",0,0
54,"Periplasmic protein TonB, links inner and outer membranes",1,0
55,Flagellar biosynthesis protein FlhA,0,1
56,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB",1,0
57,"Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis)",1,0
58,Deoxyhypusine synthase,2,0
59,Na+/melibiose symporter or related transporter,1,0
60,"Type IV secretory pathway, VirB4 component",1,0
61,Archaeal/vacuolar-type H+-ATPase subunit H,1,0
62,"Anthranilate phosphoribosyltransferase, glycosyltransferase domain",1,0
63,Ribosomal protein S30,0,0
64,"Multisubunit Na+/H+ antiporter, MnhF subunit",0,1
65,"Uncharacterized conserved protein, contains ferredoxin domain",0,1
66,Membrane-associated phospholipid phosphatase,1,0
67,Nitric oxide reductase large subunit,1,0
68,"Hydroxyacyl-ACP dehydratase HTD2, hotdog domain",0,1
69,"Uncharacterized conserved protein MJ1244, distantly related to nitrogen regulatory protein PII",1,0
70,"Predicted double-glycine leader peptidase, C39-like (CLD) domain",0,0
71,Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities,0,0
72,UDP-N-acetylmuramyl tripeptide synthase,1,0
73,"Uncharacterized conserved protein, DUF2195 domain",0,0
74,Dethiobiotin synthetase,0,2
75,"ABC-type siderophore export system, fused ATPase and permease components",0,1
76,"Predicted antitoxin component YuzE of a toxin-antitoxin system, DUF2283 family",1,0
77,ABC-type ATPase fused to a predicted acetyltransferase domain,0,1
78,V8-like Glu-specific endopeptidase,1,0
79,Ribosomal protein S19E (S16A),0,1
80,"Uncharacterized protein, contains GIY-YIG domain",0,1
81,Urease beta subunit,1,0
82,Glycopeptide antibiotics resistance protein,1,0
83,"Predicted DNA-binding protein, potential antitoxin AbrB/MazE fold",1,0
84,Predicted glycosyltransferase,0,0
85,"Transcriptional regulator of competence genes, TfoX/Sxy family",0,1
