,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Small acid-soluble spore protein SspO/CotK (SspO) (PUBMED:9068633;9852018;10806362),1,0
1,Aminoglycoside phosphotransferase (Aph) (PDB:1J7I),0,1
2,Hemoglobin-like flavoprotein (Hmp) (PDB:3OZU),0,1
3,Fibronectin type 3 domain (FN3),0,1
4,tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0),0,1
5,"Ethanolamine ammonia-lyase, large subunit (EutB) (PDB:3ABO)",1,0
6,Cell division GTPase FtsZ (FtsZ) (PDB:1FSZ),0,1
7,Predicted FMN-binding regulatory protein PaiB (PaiB) (PDB:2OL5),0,1
8,"Stress-induced protein YlxP, DUF503 family (YlxP) (PDB:1J27) (PUBMED:15805528)",1,0
9,"Uncharacterized membrane protein YebE, DUF533 family (YebE)",0,1
10,Urease accessory protein UreE (UreE) (PDB:1EAR),1,0
11,"Uncharacterized conserved protein, DUF2277 domain",0,1
12,Diaminopimelate epimerase (DapF) (PDB:1BWZ),2,0
13,"Outer membrane lipoprotein LolB, involved in outer membrane biogenesis (LolB) (PDB:1IWM)",1,0
14,Spore transcriptional regulator GerE (stand-alone HTH domain) (GerE) (PDB:1FSE) (PUBMED:3114423;8969504;2474075;11243786),1,0
15,Biotin carboxyl carrier protein (AccB) (PDB:1A6X),0,2
16,"Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains (YhdR)",1,0
17,Flagellar basal body rod protein FlgB (FlgB),2,0
18,Uncharacterized conserved protein (PUBMED:23071111),0,1
19,"Transglutaminase-like enzyme, putative cysteine protease (YebA) (PDB:3ISR)",0,5
20,Primosomal replication protein N (PriB) (PDB:2PNH),1,0
21,"Uncharacterized conserved protein, DUF2147 family (PDB:4INN)",1,0
22,Kynurenine formamidase (PDB:1R61),0,1
23,"Poly-D-alanine transfer protein DltD, involved in esterification of teichoic acids (DltD) (PDB:3BMA)",1,0
24,Homoserine O-succinyltransferase (MetA) (PDB:2GHR),1,0
25,"Predicted epimerase YddE/YHI9, PhzF superfamily (YHI9) (PDB:1SDJ) (PUBMED:24914732)",0,2
26,Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),1,0
27,Spore germination protein GerPD (inner spore coat) (GerPD),0,1
28,tRNA(Arg) A34 adenosine deaminase TadA (TadA) (PDB:2A8N),1,0
29,"Predicted outer membrane protein, contains DUF4142 domain",0,2
30,Ribosomal protein S4 or related protein (RpsD) (PDB:4V4H),1,0
31,"Molecular chaperone, HSP90 family (HtpG) (PDB:1Y4S) (PUBMED:30150682)",1,0
32,tRNA isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE (synthesis of 2-methylthio-cis-ribozeatin) (MiaE) (PDB:2ITB),1,0
33,Phage protein D (gpD),0,1
34,Inorganic pyrophosphatase/exopolyphosphatase (PPX1) (PDB:1I74),0,1
35,ESX protein secretion system component YukC (YukC) (PDB:2YNQ) (PUBMED:24798022),0,1
36,Mg/Co/Ni transporter MgtE (contains CBS domain) (MgtE) (PDB:2YVX),0,1
37,NADH/NAD ratio-sensing transcriptional regulator Rex (Rex) (PDB:3KEO) (PUBMED:23490197),1,1
38,6-phosphogluconate dehydrogenase (Gnd) (PDB:2ZYA) (PUBMED:25329577),1,0
39,"Uncharacterized conserved protein YuzB, UPF0349 family (YuzB)",0,1
40,Phage tail tube protein FII (PDB:3J9Q) (PUBMED:22984449),1,0
41,"Transposase and inactivated derivatives, IS5 family (IS5)",0,1
42,Catalase (KatE) (PDB:6RJR),0,1
43,"Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family (ElsH) (PUBMED:15178340)",0,1
44,Predicted outer membrane lipoprotein,1,0
45,Predicted methyltransferase,1,0
46,"Uncharacterized membrane protein YcaP, DUF421 family (YcaP) (PDB:3C6F)",1,0
47,Uncharacterized membrane protein YczE (YczE),0,1
48,"Serine protease, subtilase family (PDB:1T1E)",2,0
49,Sulfate transporter CysZ (CysZ) (PDB:3TX3) (PUBMED:24657232),1,0
50,"Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains (YbjD)",1,0
51,"Predicted phosphohydrolase, DR1119 family, metallophosphatase superfamily (DR1119)",1,0
52,Transglutaminase (Tgl) (PDB:4PA5),0,1
53,Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9),1,0
54,"Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase (RhaD) (PDB:3M4R)",0,1
55,"Uncharacterized conserved protein, contains TOPRIM domain, potential nuclease",1,0
56,"Uncharacterized conserved protein YaaW, UPF0174 family (YaaW)",0,1
57,Di- or tripeptidase (PepD2) (PDB:2QYV),0,1
58,Acyl CoA:acetate/3-ketoacid CoA transferase (YdiF) (PDB:5VIT),0,1
59,"Peptide antibiotic transporter SbmA/BacA, ABC-type permease family (SbmA) (PUBMED:24078611)",0,1
60,"Spore coat protein CotI/CotS, protein kinase superfamily (CotI) (PDB:2Q83) (PUBMED:7545510;9387221;12562816)",1,0
61,Uncharacterized conserved protein (PDB:1NC7),1,1
62,"Uncharacterized conserved protein, contains Zn-finger domain of CHY type",1,0
63,Phage anti-repressor protein Ant (PUBMED:27099293),0,1
64,"N-glycosidase YbiA/RibX (riboflavin biosynthesis, damage control), NADAR superfamily (RibX) (PDB:2B3W) (PUBMED:22399070;25431972)",0,1
65,Ribosomal protein S6 (RpsF) (PDB:4V4H),0,1
66,Predicted site-specific integrase-resolvase (PDB:3ILX),1,0
67,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1,0
68,3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase (KdsA) (PDB:1G7U),1,0
69,"Uncharacterized protein, contains DUF2461 domain",1,0
70,16S rRNA U1498 N3-methylase RsmE (RsmE) (PDB:1NXZ),1,0
71,Ca2+/Na+ antiporter (ECM27) (PDB:3V5S),1,0
72,CRISPR-Cas system-associated integrase Cas1 (Cas1) (PDB:2YZS),1,0
73,Nicotinamide riboside kinase (NadR3) (PDB:1LW7),0,1
74,"Uncharacterized conserved protein, DUF2239 domain",1,0
75,Sensor histidine kinase WalK (WalK) (PDB:4I5S),1,0
76,Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313),1,0
77,Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET),0,1
78,"Predicted metal-dependent hydrolase, phosphotriesterase family (Php) (PDB:1BF6)",1,0
79,Monomeric isocitrate dehydrogenase (IcdM) (PDB:1ITW),1,0
80,Pyoverdine/dityrosine biosynthesis protein Dit1 (Dit1) (PDB:3E59) (PUBMED:18156253),1,0
81,"CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily (Cas6a)",0,1
82,"Exo-beta-1,3-glucanase,  GH17 family (Scw11)",0,1
83,tRNA nucleotidyltransferase/poly(A) polymerase (PcnB) (PDB:3WFR),1,0
84,"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit (RnfA)",0,1
85,"Predicted nucleic acid-binding protein, contains Zn-ribbon domain",0,1
86,"Homogentisate 1,2-dioxygenase (HmgA) (PDB:1EY2)",1,0
87,"Penicillin V acylase or related amidase, Ntn superfamily (YxeI) (PDB:2BJF)",0,1
88,"Archaeal fructose 1,6-bisphosphatase (FbpA) (PDB:1UMG)",0,2
89,"Predicted carbohydrate-binding protein, contains CBM5 and CBM33 domains (PDB:4YN1)",0,1
90,"Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)",1,0
91,"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family (SpoVK) (PDB:3SYL)",1,0
92,"Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)",0,1
93,"Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)",0,1
94,"Cell fate regulator YlbF, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development) (YlbF) (PDB:2IAZ) (PUBMED:23490197)",1,0
