,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Lipoate biosynthesis,2,0
1,Ribosome 50S subunit,2,1
2,TCA cycle,1,1
3,Methionine biosynthesis,3,0
4,Glutamine biosynthesis,1,0
5,"TCA cycle, glyoxylate bypass",1,0
6,16S rRNA modification,1,0
7,Riboflavin/FAD biosynthesis,1,0
8,Pyruvate oxidation,1,1
9,CRISPR-Cas system,2,0
10,A/V-type ATP synthase,1,1
11,Aminoacyl-tRNA synthetases,4,0
12,Cysteine biosynthesis,2,0
13,tRNA modification,3,0
14,Asparagine biosynthesis,2,1
15,Glycine cleavagePyruvate oxidation,3,0
16,"Isoleucine, leucine, valine biosynthesis",1,1
17,Threonine biosynthesis,3,0
18,Purine salvage,2,0
19,Urea cycle,2,1
20,Arginine biosynthesis,1,1
21,FoF1-type ATP synthase,3,0
22,Fatty acid biosynthesis,2,0
23,Aromatic amino acid biosynthesis,2,1
24,Pyrimidine salvagetRNA modification,1,2
25,Na+-translocating Fd:NADH oxidoreductase,0,2
26,Proline degradation,1,0
27,23S rRNA modification,3,1
28,Lysine biosynthesisTCA cycle,2,0
29,Thymidylate biosynthesis,2,0
30,Isoprenoid biosynthesis,1,1
31,NADH dehydrogenase,2,0
32,Purine biosynthesis,2,1
33,NAD biosynthesis,1,1
34,Molybdopterin biosynthesis,2,0
35,Folate biosynthesis,7,0
36,"Histidine biosynthesis, Purine biosynthesis",1,0
37,2Fe2S,1,0
38,Translation factors,7,0
39,Pyrimidine salvage,2,0
40,Ribosome 30S subunit,2,0
41,Archaeal ribosomal proteins,3,0
42,Phospholipid biosynthesis,3,1
43,Histidine biosynthesis,2,1
44,Glycine cleavage,4,0
45,Non-phosphorylated Entner-Doudoroff pathway,1,1
46,Pyrimidine degradation,1,1
47,Gluconeogenesis,0,1
48,Mureine biosynthesis,1,1
49,Serine biosynthesis,2,1
50,Pyridoxal phosphate biosynthesis,2,0
51,Menaquinone biosynthesis,1,0
52,Pantothenate/CoA biosynthesis,6,0
53,Entner-Doudoroff pathway,2,0
54,Lipid A biosynthesis,2,0
55,Pentose phosphate pathway,1,0
56,Lysine biosynthesis,2,0
57,Biotin biosynthesis,4,0
58,RNA polymerase,1,0
59,Pyrimidine biosynthesis,3,1
60,Heme biosynthesis,1,1
61,Photosystem I,1,0
62,Cobalamine/B12 biosynthesis,4,0
63,Ubiquinone biosynthesis,1,0
64,Na+-translocating NADH dehydrogenase,1,0
65,3D,1,0
66,Glycolysis,1,0
67,Thiamine biosynthesis,1,0
