,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Histidine biosynthesis,3,2
1,FoF1-type ATP synthase,1,4
2,Entner-Doudoroff pathway,2,4
3,Phospholipid biosynthesis,1,3
4,RNA polymerase,2,5
5,Menaquinone biosynthesis,4,3
6,TCA cycle,3,3
7,NADH dehydrogenase,2,4
8,Glycolysis,4,3
9,"Isoleucine, leucine, valine biosynthesis",5,1
10,Urea cycle,1,4
11,Pyrimidine degradation,4,2
12,Aminoacyl-tRNA synthetases,0,4
13,Pyrimidine biosynthesis,1,3
14,Lipoate biosynthesis,0,6
15,Heme biosynthesis,4,2
16,Aromatic amino acid biosynthesis,1,4
17,Thiamine biosynthesis,5,2
18,Pentose phosphate pathway,3,4
19,"Histidine biosynthesis, Purine biosynthesis",2,5
20,Photosystem I,5,2
21,3D,3,4
22,A/V-type ATP synthase,4,2
23,Cobalamine/B12 biosynthesis,4,0
24,Glycine cleavagePyruvate oxidation,2,3
25,Folate biosynthesis,0,1
26,23S rRNA modification,3,1
27,Glutamine biosynthesis,4,3
28,Purine salvage,3,3
29,Ribosome 50S subunit,3,2
30,Mureine biosynthesis,3,3
31,"TCA cycle, glyoxylate bypass",2,5
32,Pyridoxal phosphate biosynthesis,3,3
33,Archaeal ribosomal proteins,5,0
34,Na+-translocating Fd:NADH oxidoreductase,3,3
35,Photosystem II,4,4
36,tRNA modification,4,1
37,NAD biosynthesis,0,6
38,Glycine cleavage,2,2
39,Non-phosphorylated Entner-Doudoroff pathway,3,3
40,Asparagine biosynthesis,3,2
41,Threonine biosynthesis,3,2
42,16S rRNA modification,3,4
43,Na+-translocating NADH dehydrogenase,3,4
44,Pyruvate oxidation,3,3
45,Thymidylate biosynthesis,5,1
46,Lipid A biosynthesis,3,3
47,CRISPR-Cas system,3,3
48,Arginine biosynthesis,4,2
49,Pantothenate/CoA biosynthesis,2,0
50,Biotin biosynthesis,2,2
51,Proline biosynthesis,3,5
52,Gluconeogenesis,3,4
53,Pyrimidine salvage,4,2
54,Purine biosynthesis,0,5
55,Translation factors,1,0
56,Serine biosynthesis,5,0
57,Ubiquinone biosynthesis,4,3
58,Isoprenoid biosynthesis,3,3
59,Ribosome 30S subunit,4,2
60,Lysine biosynthesis,1,5
61,Molybdopterin biosynthesis,0,6
62,Fatty acid biosynthesis,3,3
63,2Fe2S,4,3
64,Riboflavin/FAD biosynthesis,3,4
65,Methionine biosynthesis,0,5
66,Lysine biosynthesisTCA cycle,5,1
67,Cysteine biosynthesis,3,3
68,Proline degradation,5,2
69,Pyrimidine salvagetRNA modification,4,1
