,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Transposase and inactivated derivatives, TnpA family",5,0
1,Uncharacterized conserved protein related to proFAR isomerase (HisA),4,1
2,"Uncharacterized conserved protein, UPF0212 family",4,0
3,Predicted alpha/beta hydrolase,5,0
4,"Bacteriophage DNA transposition protein, AAA+ family ATPase",4,0
5,"Phage terminase, small subunit",3,0
6,"Adenine-specific DNA methylase, N12 class",4,1
7,Uncharacterized low-complexity protein,5,0
8,Phage protein U,4,1
9,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family",4,0
10,CBS-domain-containing membrane protein,4,0
11,"Uncharacterized conserved protein, DUF4810 domain",5,0
12,"Uncharacterized membrane protein, DUF2243 domain",3,0
13,"Pheromone shutdown protein TraB, contains GTxH motif (function unknown)",5,0
14,"Uncharacterized conserved protein, DUF2344 family",4,1
15,Uncharacterized domain associated with phage/plasmid primase,3,1
16,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains",4,0
17,Phage-related minor tail protein,5,0
18,"Uncharacterized metal-binding protein, DUF2103 family",4,0
19,"Predicted DNA-binding transcriptional regulator, ArsR family",3,0
20,Predicted SAM-depedendent methyltransferase,5,0
21,"Uncharacterized conserved protein, PA2063/DUF2235 family",4,0
22,"Predicted acyltransferase, contains DUF342 domain",5,0
23,"Uncharacterized protein MTH814, DUF2098 family",5,0
24,"Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family",4,1
25,Predicted choloylglycine hydrolase,4,0
26,"Uncharacterized conserved protein, MAPEG superfamily",5,0
27,"Predicted ATPase, AAA+ superfamily",4,1
28,Phosphatidylethanolamine N-methyltransferase,5,0
29,"ABC-type uncharacterized transport system, permease component",3,2
30,"Predicted DNA binding protein, CopG/RHH family",4,0
31,"Uncharacterized conserved protein, DUF473 domain",4,1
32,"Uncharacterized conserved protein MJ0802, methanogenesis marker protein 17, contains DUF2113 domain",5,0
33,Uncharacterized conserved protein MJ0498,5,0
34,Superfamily I DNA and RNA helicases,4,0
35,"Uncharacterized conserved protein, DUF2125 domain",4,0
36,"Uncharacterized conserved protein MTH_811, UPF0305 family",4,0
37,Lysozyme family protein,4,1
38,Predicted small secreted protein,4,0
39,Predicted spermidine synthase with an N-terminal membrane domain,5,0
40,"Predicted outer membrane protein, contains DUF4142 domain",5,0
41,"Uncharacterized conserved protein, DUF432 domain",4,1
42,"Uncharacterized conserved protein, DUF2132 family",4,0
43,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",4,0
44,Extracellular substrate-binding protein,5,0
45,"Uncharacterized conserved protein, DUF2073 family",5,0
46,"Endonuclease, HJR/Mrr/RecB family",4,0
47,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",4,0
48,"Predicted nucleic acid-binding protein, contains PIN domain",3,1
49,Phage terminase large subunit,5,0
50,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",4,0
51,"Uncharacterized protein, contains DUF2192 domain",5,0
52,"Uncharacterized conserved protein, cupin superfamily",3,0
53,"Uncharacterized conserved protein, DUF1073 domain",4,0
54,"ABC-type uncharacterized transport system, ATPase component",5,0
55,Uncharacterized archaeal Zn-finger protein,4,0
56,"Uncharacterized membrane protein, DUF4212 domain",4,0
57,"ABC-type uncharacterized transport system, periplasmic component",3,1
58,"Uncharacterized protein CV0675, UCP033623 family",5,0
59,"Uncharacterized conserved protein, DUF1501 family",5,0
60,"Uncharacterized protein, contains DUF2461 domain",5,0
61,Ubiquitin C-terminal hydrolase,5,0
62,"Uncharacterized conserved protein, contains Zn-finger domain of CHY type",4,0
63,"Uncharacterized protein, contains DUF2272 domain",5,0
64,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",4,0
65,NAD kinase,3,1
66,Predicted amino acid dehydrogenase,5,0
67,"Uncharacterized membrane protein, contains DUF996 domain",4,0
68,"Predicted acyltransferase, LPLAT superfamily",3,0
69,Predicted ATP-dependent Lon-type protease,4,0
70,Predicted permease,5,0
71,"Uncharacterized conserved protein, DUF2141 family",4,0
72,"Uncharacterized conserved protein, DUF2199 domain",5,0
73,Predicted glycosyltransferase,5,0
74,Predicted component of the type VI protein secretion system,4,0
75,"Uncharacterized conserved protein, DUF2161 domain",5,0
76,Predicted acetyltransferase,5,0
77,"Uncharacterized conserved protein, DUF2336 family",2,0
78,Phage capsid protein,5,0
79,"Uncharacterized conserved protein, DUF2252 family",3,0
80,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",4,0
81,"Predicted hydrolase, metallo-beta-lactamase superfamily",5,0
82,Predicted RNA methylase,4,0
83,Uncharacterized conserved protein MJ1451,5,0
84,"Uncharacterized conserved protein, DUF2332 domain",5,0
85,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",5,0
86,"Uncharacterized conserved protein, contains a phytase-like domain",5,0
87,"Uncharacterized conserved protein, DUF2076 domain",4,0
88,"Uncharacterized conserved protein, DUF1820 domain",4,1
89,"Uncharacterized conserved protein, UCP014979 family",5,0
90,"Uncharacterized conserved protein, DUF2330 domain",4,0
91,Ubiquinone biosynthesis protein COQ9,3,1
92,Capsular polysaccharide biosynthesis protein,5,0
93,Transposase,4,0
94,"Uncharacterized conserved protein, DUF2164 family",4,0
95,"Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily",4,1
96,"Uncharacterized conserved protein, DUF2087 family",3,0
97,Predicted ATPase,5,0
98,Phage-related tail protein,5,0
99,"Superfamily II helicase, archaea-specific",3,1
100,"Predicted transciptional regulator, contains HTH domain",4,0
101,"Uncharacterized conserved protein, DUF1430 domain",5,0
102,"Uncharacterized conserved protein, contains von Willebrand factor type A (vWFA) domain",5,0
103,Predicted nuclease (RNAse H fold),3,0
104,Predicted aspartyl protease,4,0
105,"Uncharacterized conserved protein, DUF2239 domain",3,1
106,"Predicted transcriptional regulator, contains two HTH domains",4,0
107,Predicted outer membrane lipoprotein,3,0
108,Uncharacterized radical SAM domain-containing protein,3,0
109,"Predicted acyltransferase, DUF1624 domain",5,0
110,Metallophosphoesterase superfamily enzyme,5,0
