,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",0,1
1,"Uncharacterized conserved protein, DUF1152 domain",1,0
2,Aminoglycoside phosphotransferase family enzyme,0,1
3,Phage-related holin (Lysis protein),0,1
4,"Adenine-specific DNA methylase, contains a Zn-ribbon domain",1,1
5,"Predicted transcriptional regulator,contains XRE-type HTH domain",1,0
6,"Phage-related protein, tail protein J",1,1
7,Uncharacterized conserved protein,0,1
8,Secreted trypsin-like serine protease,0,1
9,"Uncharacterized conserved protein, DUF1330 family",1,0
10,Uncharacterized membrane-anchored protein,0,1
11,Predicted aminopeptidase,0,1
12,"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily",0,0
13,"Uncharacterized conserved protein, DUF2321 domain",0,0
14,Uncharacterized radical SAM domain-containing protein,1,0
15,Uncharacterized integral membrane protein,1,1
16,"Uncharacterized conserved protein, DUF2093 domain",0,1
17,"Phage-related protein, tail assembly protein I",0,2
18,"Uncharacterized conserved protein, DUF2316 domain",0,1
19,"Predicted GntP-related membrane permease AF0261, DUF401 family",0,1
20,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",1,0
21,"Uncharacterized conserved protein, DUF1015 family",0,1
22,"Uncharacterized protein, contains SWIM-type Zn finger domain",0,1
23,Phage large terminase packaging protein,1,0
24,"Uncharacterized conserved protein, DUF2062 family",1,0
25,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",0,1
26,"Phage terminase, small subunit",0,1
27,"Bacteriophage DNA transposition protein, AAA+ family ATPase",0,1
28,"Uncharacterized membrane protein, DUF4212 domain",0,0
29,Predicted protein tyrosine phosphatase,0,1
30,Predicted exporter,1,0
31,Predicted small secreted protein,0,0
32,Phage head maturation protease,1,0
33,Adenine-specific DNA methylase,0,1
34,Uncharacterized archaeal Zn-finger protein,1,0
35,Steroid 5-alpha reductase family enzyme,0,1
36,"Uncharacterized conserved protein, cupin superfamily",1,1
37,Predicted periplasmic lipoprotein,0,1
38,"Predicted regulator of amino acid metabolism, contains ACT domain",0,1
39,Uncharacterized domain associated with phage/plasmid primase,1,0
40,"Uncharacterized conserved protein, DUF2239 domain",0,1
41,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family",0,1
42,Predicted deacetylase,0,1
43,"Uncharacterized conserved protein, DUF721 domain",1,0
44,"Uncharacterized conserved protein, DUF2264 domain",1,1
45,"Uncharacterized conserved protein, DUF2132 family",1,0
46,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",0,0
47,"Uncharacterized conserved protein, contains DUF2130 domain",1,0
48,Predicted archaeal methyltransferase,0,0
49,"Biotin synthase-related protein, radical SAM superfamily",1,0
50,"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA",1,0
51,"Predicted nuclease, RecB family",0,1
52,Muramidase (phage lambda lysozyme),0,1
53,NAD kinase,1,0
54,"Uncharacterized metal-binding protein, DUF2227 family",0,1
55,"Uncharacterized conserved protein, DUF2225 family",1,0
