,feature_name,cultured_feature_counts,uncultured_feature_counts
0,FoF1-type ATP synthase,0,1
1,Cysteine biosynthesis!!!TCA cycle,0,1
2,Aminoacyl-tRNA synthetases!!!Glycolysis,0,1
3,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase,0,1
4,Archaeal ribosomal proteins,0,1
5,Purine biosynthesis!!!Pyrimidine biosynthesis,0,1
6,Cobalamine/B12 biosynthesis!!!Heme biosynthesis,0,1
7,Pyruvate oxidation!!!Fatty acid biosynthesis,0,1
8,Thymidylate biosynthesis,0,1
9,Urea cycle!!!Glycine cleavagePyruvate oxidation,2,2
10,Phospholipid biosynthesis!!!Fatty acid biosynthesis,0,2
11,Fatty acid biosynthesis!!!Pyruvate oxidation,1,1
12,Translation factors!!!Mureine biosynthesis,0,1
13,Pyrimidine biosynthesis!!!Pyruvate oxidation,0,2
14,Arginine biosynthesis!!!Glycolysis,1,1
15,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,1,0
16,Proline degradation!!!Pyrimidine degradation,0,1
17,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Biotin biosynthesis,0,1
18,Serine biosynthesis!!!Pentose phosphate pathway,1,0
19,Molybdopterin biosynthesis!!!Urea cycle,0,1
20,Pyridoxal phosphate biosynthesis,2,0
21,Aromatic amino acid biosynthesis,1,0
22,Phospholipid biosynthesis!!!NAD biosynthesis,0,1
23,Histidine biosynthesis!!!Histidine biosynthesis,0,1
24,CRISPR-Cas system,1,1
25,Glycine cleavage!!!Glycine cleavage,1,1
26,Ubiquinone biosynthesis,1,0
27,Lipid A biosynthesis,1,0
28,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,1,0
29,Molybdopterin biosynthesis!!!Molybdopterin biosynthesis,0,1
30,Menaquinone biosynthesis!!!Menaquinone biosynthesis,2,1
31,"Isoleucine, leucine, valine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway",2,1
32,Menaquinone biosynthesis,1,0
33,Urea cycle,0,1
34,Cysteine biosynthesis!!!NADH dehydrogenase,0,3
35,23S rRNA modification!!!tRNA modification,0,1
36,Pentose phosphate pathway!!!Pentose phosphate pathway,2,0
37,Aminoacyl-tRNA synthetases,1,0
38,Menaquinone biosynthesis!!!Biotin biosynthesis,1,0
39,Glutamine biosynthesis,0,2
40,Pyrimidine biosynthesis!!!Purine salvage,0,1
41,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,1,0
42,Heme biosynthesis!!!Menaquinone biosynthesis,0,1
43,A/V-type ATP synthase,1,1
44,Pyrimidine salvage!!!Thymidylate biosynthesis,1,3
45,16S rRNA modification!!!Isoprenoid biosynthesis,1,1
46,Arginine biosynthesis!!!Biotin biosynthesis!!!Proline degradation,0,1
47,Purine biosynthesis!!!Purine biosynthesis!!!Purine biosynthesis,2,0
48,Histidine biosynthesis,0,1
49,Menaquinone biosynthesis!!!Fatty acid biosynthesis,1,1
50,Heme biosynthesis!!!NADH dehydrogenase,3,1
51,Serine biosynthesis,0,1
52,Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis,1,0
53,Fatty acid biosynthesis!!!Biotin biosynthesis,0,1
54,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,1,2
55,Pyrimidine salvagetRNA modification!!!tRNA modification,1,1
56,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!NADH dehydrogenase,1,2
57,NADH dehydrogenase!!!tRNA modification,1,1
58,Lysine biosynthesis!!!Mureine biosynthesis,0,1
59,Glutamine biosynthesis!!!NADH dehydrogenase,1,0
60,Ubiquinone biosynthesis!!!Serine biosynthesis,0,1
61,Riboflavin/FAD biosynthesis!!!Fatty acid biosynthesis,1,0
62,Molybdopterin biosynthesis!!!Molybdopterin biosynthesis!!!Urea cycle,1,0
63,Fatty acid biosynthesis!!!Ubiquinone biosynthesis,1,0
64,NADH dehydrogenase,2,1
65,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Ubiquinone biosynthesis,0,1
66,Glutamine biosynthesis!!!Glutamine biosynthesis,0,1
67,Isoprenoid biosynthesis,0,1
68,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,1,1
69,Biotin biosynthesis,1,0
70,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,1,0
71,Purine biosynthesis!!!Arginine biosynthesis,0,1
72,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation,0,1
73,Thiamine biosynthesis!!!Menaquinone biosynthesis,1,1
74,Pyrimidine salvage!!!RNA polymerase,0,1
75,Pantothenate/CoA biosynthesis,2,1
76,Cysteine biosynthesis!!!Cysteine biosynthesis,1,0
77,Biotin biosynthesis!!!Ubiquinone biosynthesis,1,0
78,Menaquinone biosynthesis!!!Lipid A biosynthesis,2,0
79,Non-phosphorylated Entner-Doudoroff pathway!!!Non-phosphorylated Entner-Doudoroff pathway,1,1
80,NAD biosynthesis,0,2
81,Cobalamine/B12 biosynthesis!!!Histidine biosynthesis,2,1
82,Heme biosynthesis,1,1
83,Cysteine biosynthesis,1,2
84,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Biotin biosynthesis,2,1
85,Glycine cleavagePyruvate oxidation,1,1
86,Glutamine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,1,0
87,Menaquinone biosynthesis!!!Lipid A biosynthesis!!!Cysteine biosynthesis,0,3
88,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,2,0
89,Fatty acid biosynthesis!!!Fatty acid biosynthesis,0,2
90,Isoprenoid biosynthesis!!!Riboflavin/FAD biosynthesis,1,2
91,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Cobalamine/B12 biosynthesis,0,1
92,Glycolysis!!!Pentose phosphate pathway,1,1
93,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!tRNA modification,0,1
94,Folate biosynthesis!!!Folate biosynthesis,0,1
95,Ubiquinone biosynthesis!!!NADH dehydrogenase,1,0
96,Proline biosynthesis,1,1
97,Menaquinone biosynthesis!!!Pantothenate/CoA biosynthesis,0,1
98,Phospholipid biosynthesis!!!Serine biosynthesis,0,1
99,"Isoleucine, leucine, valine biosynthesis!!!Aromatic amino acid biosynthesis",0,3
100,Thiamine biosynthesis,1,1
101,Lipoate biosynthesis!!!Lipoate biosynthesis,0,1
102,Lysine biosynthesis!!!Pyrimidine degradation,0,2
103,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Heme biosynthesis,1,0
104,Serine biosynthesis!!!Lysine biosynthesis,0,1
105,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis,0,1
106,Aromatic amino acid biosynthesis!!!Pyrimidine salvage,0,1
107,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,1,2
108,NADH dehydrogenase!!!NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase,0,1
109,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,1,0
110,Molybdopterin biosynthesis!!!Pyrimidine degradation,2,0
111,NAD biosynthesis!!!NAD biosynthesis,1,1
112,Purine biosynthesis!!!Purine biosynthesis,0,1
113,Entner-Doudoroff pathway,0,1
114,Biotin biosynthesis!!!Fatty acid biosynthesis,1,0
115,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Biotin biosynthesis,1,1
116,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,1,1
117,Cysteine biosynthesis!!!Cobalamine/B12 biosynthesis,0,1
118,Pyrimidine salvagetRNA modification,0,1
119,Urea cycle!!!Proline biosynthesis,1,1
120,Na+-translocating NADH dehydrogenase,0,2
121,Methionine biosynthesis!!!Biotin biosynthesis,1,0
122,"Histidine biosynthesis, Purine biosynthesis",1,1
123,tRNA modification,0,2
124,TCA cycle!!!TCA cycle,0,1
125,Cysteine biosynthesis!!!CRISPR-Cas system,0,1
126,Pyrimidine salvage!!!Pyrimidine salvage,0,1
127,Threonine biosynthesis,0,1
128,Isoprenoid biosynthesis!!!Isoprenoid biosynthesis,1,2
129,Pyrimidine salvage,1,2
130,Pentose phosphate pathway!!!Histidine biosynthesis,0,1
131,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,0,1
132,RNA polymerase,0,1
