,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,1,1
1,Pyrimidine salvage,1,1
2,CRISPR-Cas system,1,1
3,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,1,0
4,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,0,2
5,NAD biosynthesis!!!NAD biosynthesis,1,1
6,NADH dehydrogenase!!!tRNA modification,1,0
7,Pyrimidine salvage!!!Pyrimidine salvage,0,1
8,Cysteine biosynthesis!!!TCA cycle,0,1
9,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!NADH dehydrogenase,1,1
10,Glutamine biosynthesis!!!Glutamine biosynthesis,0,1
11,Translation factors!!!Mureine biosynthesis,0,1
12,Isoprenoid biosynthesis!!!Riboflavin/FAD biosynthesis,0,2
13,Aromatic amino acid biosynthesis!!!Pyrimidine salvage,0,1
14,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!tRNA modification,0,0
15,Pyrimidine biosynthesis!!!Pyruvate oxidation,0,1
16,Menaquinone biosynthesis!!!Lipid A biosynthesis,2,0
17,Menaquinone biosynthesis!!!Menaquinone biosynthesis,2,0
18,Molybdopterin biosynthesis!!!Pyrimidine degradation,1,0
19,Pantothenate/CoA biosynthesis,2,0
20,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Biotin biosynthesis,1,0
21,Urea cycle!!!Proline biosynthesis,1,0
22,Molybdopterin biosynthesis!!!Urea cycle,0,1
23,Molybdopterin biosynthesis!!!Molybdopterin biosynthesis,0,1
24,Glycine cleavage!!!Glycine cleavage,1,1
25,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,0,1
26,Pentose phosphate pathway!!!Pentose phosphate pathway,1,0
27,Thymidylate biosynthesis,0,1
28,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,0,1
29,NAD biosynthesis,0,2
30,Glutamine biosynthesis,0,1
31,Cysteine biosynthesis!!!CRISPR-Cas system,0,0
32,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Ubiquinone biosynthesis,0,1
33,Arginine biosynthesis!!!Biotin biosynthesis!!!Proline degradation,0,1
34,Menaquinone biosynthesis!!!Lipid A biosynthesis!!!Cysteine biosynthesis,0,3
35,Pyrimidine salvage!!!Thymidylate biosynthesis,1,2
36,Lysine biosynthesis!!!Mureine biosynthesis,0,1
37,Aromatic amino acid biosynthesis,1,0
38,Urea cycle,0,1
39,Purine biosynthesis!!!Purine biosynthesis,0,1
40,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Cobalamine/B12 biosynthesis,0,1
41,Isoprenoid biosynthesis!!!Isoprenoid biosynthesis,1,1
42,Proline degradation!!!Pyrimidine degradation,0,1
43,Purine biosynthesis!!!Pyrimidine biosynthesis,0,1
44,NADH dehydrogenase!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,2,0
45,Pyruvate oxidation!!!Fatty acid biosynthesis,0,1
46,Ubiquinone biosynthesis!!!NADH dehydrogenase,0,0
47,Glutamine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,1,0
48,"Histidine biosynthesis, Purine biosynthesis",0,1
49,Serine biosynthesis!!!Lysine biosynthesis,0,1
50,Menaquinone biosynthesis!!!Fatty acid biosynthesis,1,0
51,Fatty acid biosynthesis!!!Ubiquinone biosynthesis,1,0
52,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Heme biosynthesis,1,0
