,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein, DUF2256 family",1,0
1,Predicted metal-binding protein,0,1
2,"Uncharacterized conserved protein, DUF483 domain",0,1
3,"Uncharacterized conserved protein, DUF1284 domain",1,0
4,"Uncharacterized conserved protein, DUF2093 domain",1,0
5,"Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily",0,1
6,Prophage pi2 protein 07,0,1
7,Transposase,1,0
8,Putative hemolysin,0,1
9,"Uncharacterized membrane protein, DUF1624 family",0,1
10,"Uncharacterized conserved protein, DUF1643 domain",1,1
11,"Uncharacterized conserved protein, DUF2264 domain",0,1
12,"Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily",1,1
13,"Uncharacterized conserved protein, DUF2239 domain",1,1
14,"Uncharacterized conserved protein, DUF2344 family",0,1
15,"Uncharacterized conserved protein, DUF2184 domain",0,1
16,"Uncharacterized conserved protein, contains metal-binding DGC domain",1,0
17,"Predicted nuclease, RecB family",0,1
18,"Uncharacterized conserved protein, heparinase superfamily",1,0
19,"Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain",1,0
20,"Predicted methyltransferase MtxX, methanogen marker protein 4",0,3
21,"Adenine-specific DNA methylase, contains a Zn-ribbon domain",0,1
22,"Uncharacterized conserved protein, DUF1062 domain",0,1
23,Predicted Ser/Thr protein kinase,1,1
24,"Uncharacterized protein MTH814, DUF2098 family",0,1
25,"Aromatic ring-opening dioxygenase, LigB subunit",0,1
26,Spore maturation protein CgeB,1,1
27,Phage terminase large subunit,0,1
28,"ATPase/GTPase, AAA15 family",1,0
29,Predicted extracellular nuclease,0,1
30,"Uncharacterized conserved protein, PA2063/DUF2235 family",0,1
31,Predicted ferric reductase,0,1
32,"Uncharacterized conserved protein, UPF0262 family",2,0
33,Mu-like prophage FluMu protein gp28,1,0
34,"Uncharacterized protein, contains DUF1214 domain",2,0
35,"Uncharacterized conserved protein, DUF2062 family",0,2
36,"Uncharacterized conserved protein, contains GYD domain",1,0
37,"Uncharacterized conserved protein, contains Extensin-like_C domain",0,1
38,"Uncharacterized conserved protein, DUF736 family",0,1
39,"Predicted regulator of amino acid metabolism, contains ACT domain",0,1
40,"Uncharacterized conserved protein, DUF169 family",0,1
41,Predicted hydrolase of the alpha/beta-hydrolase fold,0,1
42,"Uncharacterized small protein, DUF1192 family",1,0
43,"Uncharacterized conserved protein, DUF2111 domain",0,1
44,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",0,1
45,"Uncharacterized conserved protein, DUF1674 domain",1,2
46,"Uncharacterized conserved protein, DUF2286 domain",0,1
47,Uncharacterized conserved protein related to proFAR isomerase (HisA),1,0
48,"Uncharacterized membrane protein, DUF1616 domain",1,0
49,"Phage-related protein, tail protein J",1,0
50,"Uncharacterized membrane protein, DUF1648 family",1,1
51,Predicted amino acid dehydrogenase,0,2
52,"Uncharacterized conserved protein, contains a phytase-like domain",1,0
53,"Uncharacterized conserved protein, DUF1513 domain",0,1
54,"Predicted transciptional regulator, contains HTH domain",1,0
55,"Uncharacterized conserved protein, DUF1150 family",2,0
56,"Uncharacterized conserved protein, DUF983 family",1,0
57,"MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain",1,0
58,"Predicted hydrolase, metallo-beta-lactamase superfamily",1,0
59,"Uncharacterized protein, contains DUF1512 domain",1,0
60,"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA",1,0
61,Predicted DNA-binding protein with an HTH domain,1,0
62,"Uncharacterized conserved protein, DUF2099 domain",1,1
63,Uncharacterized conserved protein MJ0498,0,1
64,"Extracellular solute-binding protein, contains Ig-fold domain",1,1
65,"Uncharacterized conserved protein, DUF2332 domain",0,1
66,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family",1,0
67,"Predicted transcriptional regulator, contains HTH domain",0,2
68,"Uncharacterized membrane protein, DUF4212 domain",0,2
69,"Uncharacterized conserved protein, DUF2117 domain",3,0
70,"Possible nuclease of RNase H fold, RuvC/YqgF family",1,1
71,"DNA replication initiation complex subunit, GINS family",0,2
72,"Predicted phage recombinase, RecA/RadA family",0,1
73,"Predicted acetyltransferase, GNAT family",0,1
74,"Predicted nucleic acid-binding protein, contains PIN domain",1,0
75,Esterase/lipase superfamily enzyme,1,1
76,"Uncharacterized conserved protein, related to short-chain dehydrogenases",1,2
77,"Predicted transcription regulator, contains HTH domain, MarR family",2,0
78,Phosphatidylethanolamine N-methyltransferase,0,3
79,"Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1",1,0
80,"Uncharacterized membrane protein, DUF1361 domain",1,0
81,"Uncharacterized membrane protein, UPF0182 family",0,1
82,"Uncharacterized conserved protein ECs_4300, contains TPR-like domain",0,1
83,"Uncharacterized conserved protein, DUF362 family",0,1
84,Prophage antirepressor,1,1
85,"Uncharacterized conserved protein, DUF1415 family",1,0
86,"Uncharacterized conserved protein, DUF1033 domain",0,2
87,"Predicted sugar epimerase, xylose isomerase-like family",0,1
88,"Uncharacterized conserved protein domain, often C-terminal to DUF262",1,0
89,"Uncharacterized protein, contains SWIM-type Zn finger domain",0,1
90,Predicted spermidine synthase with an N-terminal membrane domain,1,0
91,"Uncharacterized conserved protein, contains DUF2130 domain",1,0
92,"Uncharacterized conserved protein, DUF1820 domain",1,1
93,"Uncharacterized conserved protein, contains ferredoxin domain",1,0
94,Uncharacterized low-complexity protein,1,0
95,CBS-domain-containing membrane protein,1,0
96,"Predicted antitoxin, contains HTH domain",1,0
97,Mu-like prophage I protein,1,0
98,Predicted ATP-binding protein involved in virulence,1,0
99,Predicted oxidoreductase of the aldo/keto reductase family,1,1
100,Phage head maturation protease,1,0
101,"Uncharacterized conserved protein, UCP014979 family",0,1
