,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Proline degradation!!!Pyrimidine degradation,4,0
1,Purine biosynthesis!!!tRNA modification,5,0
2,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,1,1
3,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,5,0
4,Heme biosynthesis!!!Aminoacyl-tRNA synthetases,5,0
5,Histidine biosynthesis,5,0
6,Pyrimidine salvage!!!Pyrimidine salvage,4,1
7,Cobalamine/B12 biosynthesis!!!2Fe2S,3,2
8,Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis!!!Cobalamine/B12 biosynthesis,5,0
9,Pyrimidine salvagetRNA modification!!!tRNA modification,5,0
10,Cysteine biosynthesis!!!Proline biosynthesis,5,0
11,Entner-Doudoroff pathway,4,0
12,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis,4,0
13,Arginine biosynthesis,5,0
14,Methionine biosynthesis,0,1
15,Ubiquinone biosynthesis!!!Serine biosynthesis,5,0
16,tRNA modification!!!Purine salvage,4,1
17,Proline biosynthesis,5,0
18,Fatty acid biosynthesis!!!Fatty acid biosynthesis,4,0
19,Cobalamine/B12 biosynthesis!!!Histidine biosynthesis,5,0
20,Glutamine biosynthesis!!!NADH dehydrogenase!!!2Fe2S,4,0
21,Glutamine biosynthesis,4,0
22,Ubiquinone biosynthesis!!!Isoprenoid biosynthesis,5,0
23,Mureine biosynthesis,5,0
24,Cysteine biosynthesis!!!NADH dehydrogenase,5,0
25,NADH dehydrogenase,3,0
26,Phospholipid biosynthesis!!!Fatty acid biosynthesis,2,1
27,Pyruvate oxidation!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,4,0
28,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis!!!Isoprenoid biosynthesis,4,0
29,Methionine biosynthesis!!!Lysine biosynthesis,5,0
30,NADH dehydrogenase!!!tRNA modification,5,0
31,Menaquinone biosynthesis!!!Fatty acid biosynthesis,4,0
32,Histidine biosynthesis!!!Histidine biosynthesis,3,1
33,Phospholipid biosynthesis!!!Lysine biosynthesis,4,0
34,Pyrimidine salvage!!!Biotin biosynthesis,5,0
35,Heme biosynthesis!!!Fatty acid biosynthesis,4,0
36,Phospholipid biosynthesis!!!Serine biosynthesis,1,1
37,Thiamine biosynthesis,5,0
38,Heme biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,5,0
39,Ribosome 30S subunit!!!Translation factors,3,0
