,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Extracellular substrate-binding protein,0,1
1,Peptide methionine sulfoxide reductase MsrA,1,0
2,Lhr-like helicase,0,0
3,"mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module",0,1
4,Polysaccharide pyruvyl transferase family protein WcaK (colanic acid biosynthesis),2,1
5,Cytochrome c biogenesis protein CcdC,0,1
6,"Glycyl-tRNA synthetase, alpha subunit",0,1
7,"Outer membrane lipoprotein LolB, involved in outer membrane biogenesis",1,1
8,"DNA utilization protein ComFC/GntX, contains phosphoribosyltransferase domain",1,0
9,"Two-component sensor histidine kinase, HisKA and HATPase domains",0,1
10,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,2,0
11,Negative regulator of flagellin synthesis (anti-sigma28 factor),1,1
12,"Uncharacterized membrane protein YoaT, DUF817 family",0,0
13,"Propanediol dehydratase, small subunit",1,0
14,Uri superfamily endonuclease,1,0
15,"Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family",0,0
16,"1,2-phenylacetyl-CoA epoxidase, PaaB subunit",1,0
17,tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE,3,0
18,Ribosomal protein L12E/L44/L45/RPP1/RPP2,1,0
19,"Uncharacterized conserved protein YeaO, DUF488 family",0,0
20,Homoaconitase/3-isopropylmalate dehydratase large subunit,0,2
21,"UTP pyrophosphatase, metal-dependent hydrolase family",0,0
22,Type II secretory pathway component GspD/PulD (secretin),0,0
23,Predicted RNA methylase,1,1
24,"Type IV pilus assembly protein, tip-associated adhesin PilY1",1,0
25,"Flp pilus assembly protein, secretin CpaC",0,0
26,"TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism",0,2
27,"Uncharacterized conserved protein, DUF2274 domain",1,0
28,Peptide methionine sulfoxide reductase MsrB,1,1
29,Membrane glycosyltransferase,1,0
30,"Endogenous inhibitor of DNA gyrase, YacG/DUF329 family",1,0
31,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain",1,1
32,"Eukaryotic-type DNA primase, large subunit",1,0
33,HKD family nuclease,2,0
34,Signal transduction histidine kinase,1,0
35,"Predicted oxidoreductase, contains short-chain dehydrogenase (SDR) and DUF2520 domains",0,1
36,"Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain",0,1
37,Na+(or H+)/acetate symporter ActP,1,0
38,Phosphotransferase system cellobiose-specific component IIC,1,1
39,DNA anti-recombination protein (rearrangement mutator) RmuC,1,0
40,RecB family exonuclease,1,0
41,"Uncharacterized conserved protein, UPF0128 family",0,1
42,Ribonuclease HII,1,1
43,"Heterodisulfide reductase, subunit B",0,0
44,O-antigen ligase,2,0
45,"ABC-type uncharacterized transport system, permease component",2,0
46,"Uncharacterized membrane protein YgaE, UPF0421/DUF939 family",1,0
47,Membrane-bound lytic murein transglycosylase MltF,1,0
48,"Alpha-glucosidase/xylosidase, GH31 family",0,1
49,Aspartate/methionine/tyrosine aminotransferase,2,0
50,Formiminotetrahydrofolate cyclodeaminase,1,0
51,"Predicted NTP pyrophosphohydrolase, NUDIX family",1,0
52,Protein-L-isoaspartate O-methyltransferase,1,0
53,Fe-S cluster biosynthesis and repair protein YggX,0,1
54,"ABC-type molybdate transport system, ATPase component ModC",1,1
55,"DNA-binding response regulator, FixJ family, consists of REC and HTH domains",0,1
56,"Sensor histidine kinase, LytS/YehU family",2,0
57,Ribosomal protein L37E,1,1
58,"DNA-binding transcriptional regulator, FrmR family",0,1
59,Homoserine kinase,1,0
60,"Uncharacterized conserved protein, DUF505 domain",0,1
61,Predicted kinase,0,1
62,"Multisubunit Na+/H+ antiporter, MnhG subunit",0,2
63,Predicted acyltransferase,0,0
64,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",1,1
65,Dipeptidyl aminopeptidase/acylaminoacyl peptidase,0,1
66,Uracil-DNA glycosylase,1,2
67,Predicted metal-binding protein,0,1
68,Cytidylyltransferase family enzyme,1,0
69,Citrate synthase,1,0
70,"Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold",0,1
71,Branched-chain amino acid transport protein AzlD,1,1
72,"Kef-type K+ transport system, membrane component KefB",0,1
73,Predicted transcriptional regulator fused phosphomethylpyrimidine kinase (thiamin biosynthesis),0,1
74,S-adenosylhomocysteine hydrolase,0,0
75,"Predicted ribonuclease, toxin component of the YeeF-YezG toxin-antitoxin module",0,1
76,"ABC-type thiamine transport system, ATPase component ThiQ",0,1
77,Aspartate-semialdehyde dehydrogenase,2,0
78,Fe-S cluster assembly ATPase SufC,0,0
79,"Uncharacterized conserved protein YpiB, UPF0302 family",0,0
80,"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent",1,0
81,Recombinational DNA repair protein (RAD52 pathway),0,0
82,"Uncharacterized Zn-finger containing protein, UPF0148 family",2,0
83,Sulfur carrier protein ThiS (thiamine biosynthesis),0,1
84,"Uncharacterized conserved protein YcgL, UPF0745 family",0,1
85,Ubiquitin,2,0
86,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit",0,1
87,"GTPase Era, involved in 16S rRNA processing",0,0
88,Methionine aminopeptidase,1,0
89,"Exo-beta-1,3-glucanase,  GH17 family",1,0
90,Cytochrome oxidase assembly protein ShyY1,0,2
91,Hemerythrin domain-containing protein,1,0
92,Negative regulator of replication initiation SeqA,0,1
93,4-hydroxy-L-threonine phosphate dehydrogenase PdxA,0,1
94,"Ribulose 1,5-bisphosphate carboxylase, large subunit, or a RuBisCO-like protein",0,0
95,"FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family",2,1
96,"DNA-binding transcriptional regulator WhiA, involved in cell division",0,2
97,Urease beta subunit,1,0
98,Ribosomal protein L30E,1,0
99,Transketolase,0,2
100,"Predicted metal-binding transcription factor, methanogenesis marker domain 9",2,0
101,Uncharacterized N-terminal domain of the transcription elongation factor GreA,0,1
102,Flagellar motor switch protein FliG,0,0
103,Acetoacetate decarboxylase,1,1
104,Stage 0 sporulation-control protein Spo0M,0,3
105,"Endo-1,4-beta-mannosidase",0,0
106,Predicted thioredoxin/glutaredoxin,0,1
107,Sortase (surface protein transpeptidase),0,0
108,"Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains",1,0
109,"Flp pilus assembly protein TadD, contains TPR repeats",0,1
110,STAS domain,0,1
111,Transcription-repair coupling factor (superfamily II helicase),0,1
