,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Predicted selenoprotein, Rdx family",0,1
1,Predicted extracellular nuclease,1,0
2,Fructosamine-3-kinase,0,0
3,Preprotein translocase subunit Sec63,0,1
4,Ureidoglycolate hydrolase (allantoin degradation),1,0
5,Ribosomal protein L13,0,0
6,"Predicted transcriptional regulator, ArsR family",0,1
7,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",1,0
8,Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase,1,0
9,Aminoglycoside phosphotransferase,0,1
10,Seryl-tRNA synthetase,1,0
11,"Uncharacterized protein, contains SWIM-type Zn finger domain",0,1
12,"Negative regulator MecA of genetic competence, sporulation and motility",0,1
13,"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family",1,0
14,Uncharacterized Fe-S cluster protein YjdI,0,1
15,N-acetyl-beta-hexosaminidase,0,0
16,"Cyclic di-GMP-binding protein YajQ, UPF0234 family",0,0
17,Protein-tyrosine phosphatase,1,0
18,Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase,1,0
19,Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain,0,2
20,"Uncharacterized conserved protein, DUF2304 domain",1,0
21,Peptidyl-tRNA hydrolase,0,0
22,Flagellar biosynthesis regulator FlbT,1,0
23,Ribosome-binding factor RbfA,0,1
24,"Archaeal fructose 1,6-bisphosphatase",0,1
25,"Magnesium uptake protein YhiD/SapB, involved in acid resistance",1,0
26,"Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)",0,1
27,"Predicted NTPase, NACHT family domain",2,0
28,Membrane protein insertase Oxa1/YidC/SpoIIIJ,0,0
29,"rRNA pseudouridine-1189 N-methylase Emg1, Nep1/Mra1 family",0,1
30,Na+/citrate or Na+/malate symporter,1,0
31,"Uncharacterized conserved protein, DUF305 family",0,1
32,"Uncharacterized membrane protein YqgA, affects biofilm formation",0,1
33,Citrate synthase,0,1
34,"Uncharacterized conserved protein, DUF1850 family",0,0
35,"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)",1,0
36,Ribosomal protein L19E,0,1
37,"Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain)",0,0
38,AraC-type DNA-binding domain and AraC-containing proteins,0,0
39,"Membrane-anchored lipoprotein Tpp15, major membrane immunogen",1,0
40,"Ni,Fe-hydrogenase maturation factor",0,0
41,"Uncharacterized conserved protein, DUF1684 family",1,0
42,Uroporphyrinogen-III methylase (siroheme synthase),0,1
43,Signal transduction protein containing GAF and PtsI domains,1,1
44,TctA family transporter,1,0
45,"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit",0,1
46,"Uncharacterized conserved protein YebE, UPF0316/DUF2179 family",0,1
47,"EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase",1,0
48,"Phage terminase, large subunit GpA",0,0
49,"ABC-type sulfate transport system, permease component",0,1
50,"Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)",1,0
51,Predicted hydrolase of the alpha/beta-hydrolase fold,0,1
52,Ascorbate-specific PTS system IIC component UlaA,1,0
53,Cu2+-containing amine oxidase,0,1
54,Superfamily I DNA and/or RNA helicase,1,0
55,"Predicted RNA binding protein with dsRBD fold, UPF0201 family",1,1
