,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Isoprenoid biosynthesis,3,0
1,Pyridoxal phosphate biosynthesis,1,2
2,Histidine biosynthesis,3,1
3,Proline degradation,4,0
4,Ribosome 30S subunit,2,1
5,Archaeal ribosomal proteins,2,2
6,Glycine cleavage,0,4
7,Asparagine biosynthesis,0,3
8,Lipoate biosynthesis,3,0
9,Pyrimidine degradation,1,2
10,Mureine biosynthesis,2,0
11,tRNA modification,2,0
12,Unannotated,1,2
13,Lysine biosynthesis,3,1
14,NADH dehydrogenase,4,0
15,Phospholipid biosynthesis,2,2
16,Aminoacyl-tRNA synthetases,3,0
17,Heme biosynthesis,1,2
18,A/V-type ATP synthase,0,3
19,Aromatic amino acid biosynthesis,0,3
20,Thymidylate biosynthesis,0,3
21,Pyrimidine biosynthesis,0,3
22,Pyruvate oxidation,2,1
23,Lysine biosynthesisTCA cycle,2,1
24,Entner-Doudoroff pathway,2,1
25,Pyrimidine salvage,1,2
26,CRISPR-Cas system,1,2
27,Glutamine biosynthesis,0,4
28,Ribosome 50S subunit,4,0
29,Unknown,0,4
30,Purine biosynthesis,3,0
31,FoF1-type ATP synthase,3,0
32,NAD biosynthesis,0,3
33,"Isoleucine, leucine, valine biosynthesis",2,2
34,"Histidine biosynthesis, Purine biosynthesis",0,3
35,2Fe2S,0,4
36,Lipid A biosynthesis,0,3
37,Arginine biosynthesis,1,2
38,Urea cycle,1,1
39,3D,2,2
40,16S rRNA modification,0,3
41,23S rRNA modification,1,3
42,Serine biosynthesis,2,1
43,Molybdopterin biosynthesis,3,1
44,Methionine biosynthesis,2,2
45,Menaquinone biosynthesis,1,1
46,Thiamine biosynthesis,0,4
47,Cobalamine/B12 biosynthesis,0,3
48,TCA cycle,1,2
49,Fatty acid biosynthesis,2,1
50,Translation factors,0,3
51,Gluconeogenesis,1,3
52,RNA polymerase,2,1
53,Ubiquinone biosynthesis,2,1
54,Folate biosynthesis,3,0
55,Glycolysis,4,0
56,Na+-translocating NADH dehydrogenase,0,2
57,Cysteine biosynthesis,0,2
58,Pantothenate/CoA biosynthesis,3,1
59,Riboflavin/FAD biosynthesis,0,2
60,Non-phosphorylated Entner-Doudoroff pathway,1,3
61,Purine salvage,0,2
62,Biotin biosynthesis,1,1
63,Glycine cleavagePyruvate oxidation,2,2
64,Pyrimidine salvagetRNA modification,3,1
65,Proline biosynthesis,3,0
66,Na+-translocating Fd:NADH oxidoreductase,1,2
67,"TCA cycle, glyoxylate bypass",2,2
68,Threonine biosynthesis,1,2
69,Pentose phosphate pathway,0,1
