,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Lipase chaperone LimK (LimK),0,1
1,Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6),0,1
2,"Serine protease, subtilase family (PDB:1T1E)",1,0
3,"Predicted protease, Abi (CAAX) family",0,1
4,Branched-chain amino acid permease (BrnQ),2,1
5,"Uncharacterized conserved protein, DUF427 family (PDB:3DJM)",1,2
6,"Bacteriophage DNA transposition protein, AAA+ family ATPase",0,1
7,tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH),0,1
8,Aspartyl/asparaginyl-tRNA synthetase (AsnS) (PDB:3KFU),1,0
9,"Thymidylate synthase ThyX, FAD-dependent family (ThyX) (PDB:1KQ4)",2,1
10,"N-acetylglucosaminyl deacetylase, LmbE family (LmbE) (PDB:1Q74)",1,0
11,Flagellar biosynthesis protein FliP (FliP) (PDB:5H72),1,1
12,Phage-related minor tail protein,1,1
13,"Restriction endonuclease, type III RM system (PM0699)",0,3
14,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB (NqrB) (PDB:4P6V)",2,1
15,Glycerol-3-phosphate dehydrogenase (GlpA) (PDB:2RGH),1,0
16,Thioredoxin reductase (TrxB) (PDB:3FBS),0,1
17,Pyruvate carboxylase (PycA) (PDB:5VYW),1,1
18,"Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)",2,0
19,Acyl CoA:acetate/3-ketoacid CoA transferase (YdiF) (PDB:5VIT),1,0
20,"Uncharacterized metal-binding protein, DUF411 family",1,1
21,Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX),0,2
22,"Signal transducer regulating beta-lactamase production, contains metallopeptidase domain (MecR1)",0,1
23,Ribosomal protein L16/L10AE (RplP) (PDB:1WKI),1,0
24,"Methyl coenzyme M reductase, beta subunit (McorB) (PDB:5N28)",0,1
25,Antirestriction protein ArdA (ArdA) (PDB:2W82),0,1
26,Putative cysteine ligase BshC/YllA (bacillithiol biosynthesis) (BshC) (PDB:4WBD) (PUBMED:20308541;25496067),0,1
27,"Type II secretory pathway, component HofQ (HofQ) (PDB:4AV2)",1,1
28,"Uncharacterized conserved protein YdcH, DUF465 family (YdcH) (PDB:1ZHC)",0,2
29,mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N),1,1
30,Sporulation-specific protease YabG (YabG) (PUBMED:10714992;16751597),0,1
31,"ABC-type uncharacterized transport system, auxiliary component (PDB:2IQI)",1,1
32,"ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain (YprA)",2,1
33,"Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family (TagD) (PDB:2B7L)",0,1
34,3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049),1,1
35,Uncharacterized conserved protein YcfL (YcfL),0,1
36,"Uncharacterized conserved protein, DUF1465 domain (PDB:3CTW)",0,2
37,High-affinity Fe2+/Pb2+ permease (FTR1),1,0
38,Putative NADPH-quinone reductase (modulator of drug activity B) (MdaB) (PDB:1D4A),1,0
39,Seryl-tRNA synthetase (SerS) (PDB:1SER),0,1
40,"DNA topoisomerase VI, subunit B (PDB:1MU5)",1,0
41,"ABC-type phosphate transport system, ATPase component (PstB)",1,0
42,"Uncharacterized conserved protein, DUF1284 domain",0,1
43,4-hydroxy-tetrahydrodipicolinate reductase (DapB) (PDB:1ARZ) (PUBMED:29684280),0,1
44,"Uncharacterized conserved protein YprB, contains RNaseH-like and TPR domains (YprB)",1,1
45,Transposase (InsQ),1,0
46,"Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)",1,0
47,Heme exporter protein D (CcmD),0,1
48,Outer membrane receptor for Fe3+-dicitrate (FecA) (PDB:1KMP),0,1
49,"mRNA-degrading endonuclease YafQ (mRNA interferase), toxin component of the YafQ-DinJ toxin-antitoxin module (YafQ) (PDB:4MMG)",0,2
50,NAD(P)H-dependent FMN reductase (SsuE) (PDB:6DQI),2,0
51,"Desulfoferrodoxin, superoxide reductase-like (SORL) domain (SORL) (PDB:1DFX)",1,0
52,UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase (MurG) (PDB:1F0K),2,0
53,"Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM (EfeO) (PDB:3AT7)",1,1
