,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z),0,1
1,"Uncharacterized coiled-coil protein, contains DUF342 domain",0,1
2,"Type III secretory pathway, EscU/YscU component (EscU) (PDB:2JLH)",0,1
3,Phosphotransferase system sorbitol-specific IIC component (SrlA),2,0
4,Na+/H+ antiporter NhaD or related arsenite permease (ArsB),0,0
5,Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX),0,0
6,Formylmethanofuran dehydrogenase subunit D (FwdD) (PDB:2KI8),0,0
7,Heme oxygenase (HemO) (PDB:1J77),1,0
8,"ABC-type glycerol-3-phosphate transport system, periplasmic component (UgpB) (PDB:2Z8D)",1,0
9,Predicted lipoprotein involved in lipopolysaccharide assembly,0,0
10,"Uncharacterized conserved protein YdbL, DUF1318 family (YdbL)",0,2
11,"ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)",0,0
12,Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC),1,0
13,Putative NADPH-quinone reductase (modulator of drug activity B) (MdaB) (PDB:1D4A),1,0
14,"Desulfoferrodoxin, superoxide reductase-like (SORL) domain (SORL) (PDB:1DFX)",0,0
15,Tryptophanase (TnaA) (PDB:1AX4),1,0
16,"Predicted lipid transporter YdfJ, MMPL/SSD domain, RND superfamily (YdfJ) (PUBMED:10694977;15941986)",0,1
17,Endonuclease III (Nth) (PDB:4UOB),1,1
18,"Negative regulator MecA of genetic competence, sporulation and motility (MecA) (PDB:2MK6)",0,0
19,Outer membrane translocation and assembly module TamA (TamA) (PDB:4BZA),0,0
20,Phage anti-repressor protein Ant (PUBMED:27099293),0,0
21,"Signal recognition particle receptor subunit beta, a GTPase (Srp102) (PDB:1NRJ)",1,0
22,"Uncharacterized conserved protein, DUF2321 domain",1,0
23,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)",0,0
24,Hypoxanthine-guanine phosphoribosyltransferase (HptA) (PDB:1G9S),0,0
25,"Predicted phosphohydrolase, HAD superfamily (PDB:1Y8A)",1,0
26,Organic radical activating enzyme NrdG/QueE (QueE) (PUBMED:14660578;17384645),2,0
27,Tyrosyl-tRNA synthetase (TyrS) (PDB:4OUD),1,1
28,"ABC-type molybdate transport system, ATPase component ModC (ModC)",0,0
29,SLT domain protein (SLT) (PUBMED:15608122),0,0
30,RIO-like serine/threonine protein kinase fused to N-terminal HTH domain (RIO2) (PDB:1TQI),0,0
31,"Predicted acyltransferase, contains DUF342 domain",2,0
32,"Predicted glycosyl hydrolase, GH114 family (PDB:5TSY)",0,0
33,Uncharacterized membrane protein,1,0
34,Cytochrome oxidase assembly protein ShyY1 (Shy1),0,1
