,feature_name,cultured_feature_counts,uncultured_feature_counts
0,DNA-binding ferritin-like protein (Dps family) (GINS) (PDB:2HH6),0,0
1,Hemerythrin (PDB:1A7D),0,1
2,"ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme (YbeY) (PDB:1XM5) (PUBMED:17407324;23543739)",0,0
3,Amino acid racemase YgeA (RacX) (PDB:5ELL),0,1
4,16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B) (RsmG) (PDB:1XDZ) (PUBMED:15375115;22031445),0,0
5,"RNase adaptor protein RapZ for GlmZ sRNA degradation, contains a P-loop ATPase domain (RapZ) (PDB:5O5O) (PUBMED:23475961)",1,0
6,3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase (KdsA) (PDB:1G7U),0,0
7,"ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain (GsiA)",0,1
8,Aspartate kinase (MetL1) (PDB:2CDQ),0,1
9,RecG-like helicase (RecG) (PDB:1GM5),0,1
10,Predicted transcriptional regulator,0,0
11,ATPase/5-3 helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V) (RecD) (PDB:1W36) (PUBMED:29901759;30601118),1,0
12,"Uncharacterized membrane protein YbaN, DUF454 family (YbaN)",0,1
13,"Uncharacterized conserved protein, UPF0147 family (PDB:2QSB)",0,0
14,"Uncharacterized Fe-S cluster-containing enzyme, radical SAM superfamily",0,0
15,"Uncharacterized protein, contains predicted SAM-dependent methyltransferase domain (PDB:4PIM)",0,0
16,Copper chaperone CopZ (CopZ) (PDB:1AFI),0,1
17,"Predicted Zn-dependent protease YjaZ, DUF2268 family (YjaZ)",0,0
18,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC (NqrC) (PDB:4P6V)",1,0
19,Lhr-like helicase (Lhr) (PDB:5V9X),0,0
20,Uncharacterized sporulation protein YfkD (YfkD) (PUBMED:8969503;19543710),0,0
21,"LGFP repeat-containing protein, may be involved in cell wall binding (Psp3) (PUBMED:18629042)",1,0
22,"Uncharacterized conserved protein, contains ACT domain",0,0
23,"Predicted nucleic acid-binding protein, contains PIN domain (PDB:5WZF)",0,0
24,"Succinate dehydrogenase, hydrophobic anchor subunit (SdhD) (PDB:2WS3)",1,0
25,Flagellar basal body P-ring formation protein FlgA (FlgA) (PDB:3VJP),1,0
26,Tetraacyldisaccharide-1-P 4'-kinase (Lipid A 4'-kinase) (LpxK) (PDB:4EHW),0,0
27,Sugar (pentulose or hexulose) kinase (XylB) (PDB:4C23),0,0
28,"Uncharacterized conserved protein, DUF2199 domain",0,1
29,Predicted hydrolase of the alpha/beta-hydrolase fold (YheT),1,0
30,"Neuraminidase (sialidase) NanH, contains C-terminal autotransporter domain (NanH) (PDB:1EUT)",0,0
31,rRNA processing protein Gar1 (GAR1) (PDB:2EQN),0,0
32,"Uncharacterized conserved protein YkuJ, DUF1797 family (YkuJ) (PDB:2FFG)",0,0
33,"5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB (McrB) (PDB:6HZ4)",0,1
34,"CRISPR-Cas system type I-F effector complex subunit Cas7f/Csy3,  RAMP superfamily (Cas7f)",1,0
35,NCAIR mutase (PurE)-related protein,0,0
36,"ABC-type uncharacterized transport system, permease component (YpjD)",1,0
37,ATP sulfurylase (sulfate adenylyltransferase) (MET3) (PDB:1G8F),0,2
38,"dsDNA-binding SOS-regulon protein YebG, induction by DNA damage requires cAMP (YebG) (PDB:3ERM) (PUBMED:9368369;21697094)",1,0
39,Cytochrome b involved in lipid metabolism (CYB5) (PDB:1AQA),0,0
40,RNA-binding protein YhbY (YhbY) (PDB:1JO0),0,1
41,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)",0,0
42,"Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation (CvpA) (PUBMED:27795353)",0,1
43,"Uncharacterized membrane protein, DUF1648 family",0,1
44,Polyphosphate kinase (Ppk) (PDB:1XDO),0,0
45,Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P),0,2
46,"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit (RnfA)",0,0
47,"Membrane protein MutK/YedI, may be involved in DNA repair (MutK) (PUBMED:9922251;10411738;31497001)",0,0
48,"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26)",1,0
49,Plasmid stabilization system protein ParE (ParE) (PDB:3KXE),0,0
50,Ribonuclease PH (Rph) (PDB:1UDO),1,0
51,S-formylglutathione hydrolase FrmB (FrmB) (PDB:1DQY),0,0
52,"1,4-dihydroxy-2-naphthoate polyprenyltransferase (MenA)",0,0
53,Diphthamide biosynthesis methyltransferase (DPH5) (PDB:2EGL),0,0
54,"Uncharacterized conserved protein, contains ferredoxin domain",0,1
55,Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z),1,0
56,"Uncharacterized membrane protein YoaT, DUF817 family (YoaT)",1,0
57,"Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain (H3TH)",0,0
58,Phosphatidylethanolamine N-methyltransferase,0,0
59,Nicotinate-nucleotide adenylyltransferase NadD (NadD) (PDB:1YUM),1,0
60,"Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)",0,0
61,Dipicolinate synthase subunit A (sporulation protein SpoVFA) (DpaA) (PDB:2RIR) (PUBMED:8098035;8345520),3,0
62,"Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)",0,1
63,"Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family (YloU)",1,0
64,Ribosomal protein S12 methylthiotransferase accessory factor YcaO (YcaO) (PDB:4BS9),0,0
65,"Peptidoglycan-binding domain, expansin YoaJ (YoaJ)",1,0
66,Sporulation-specific protease YabG (YabG) (PUBMED:10714992;16751597),0,0
