,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Thymidylate biosynthesis,5,1
1,Cysteine biosynthesis,3,3
2,Fatty acid biosynthesis,3,3
3,A/V-type ATP synthase,2,4
4,FoF1-type ATP synthase,6,0
5,Translation factors,4,3
6,Pyrimidine degradation,1,5
7,Ubiquinone biosynthesis,3,3
8,Phospholipid biosynthesis,4,2
9,Pentose phosphate pathway,5,1
10,RNA polymerase,1,0
11,Na+-translocating Fd:NADH oxidoreductase,6,1
12,Glutamine biosynthesis,3,3
13,Urea cycle,1,5
14,"TCA cycle, glyoxylate bypass",4,1
15,Pyrimidine salvagetRNA modification,3,4
16,"Histidine biosynthesis, Purine biosynthesis",3,2
17,Pyruvate oxidation,3,3
18,Pantothenate/CoA biosynthesis,4,2
19,Lysine biosynthesis,2,3
20,Proline degradation,5,2
21,Histidine biosynthesis,1,5
22,Arginine biosynthesis,1,6
23,Aromatic amino acid biosynthesis,1,5
24,Lipid A biosynthesis,3,3
25,Serine biosynthesis,5,2
26,tRNA modification,2,4
27,Proline biosynthesis,2,1
28,16S rRNA modification,2,1
29,Pyridoxal phosphate biosynthesis,2,3
30,Lipoate biosynthesis,2,3
31,Gluconeogenesis,5,1
32,Ribosome 50S subunit,3,3
33,Pyrimidine salvage,4,1
34,Lysine biosynthesisTCA cycle,1,4
35,Na+-translocating NADH dehydrogenase,3,3
36,Mureine biosynthesis,1,2
37,Folate biosynthesis,1,6
38,Menaquinone biosynthesis,0,6
39,Riboflavin/FAD biosynthesis,0,1
40,Purine biosynthesis,2,3
41,Aminoacyl-tRNA synthetases,6,0
42,Photosystem II,3,3
43,Heme biosynthesis,2,4
44,Entner-Doudoroff pathway,4,2
45,Pyrimidine biosynthesis,4,1
46,Biotin biosynthesis,4,2
47,Methionine biosynthesis,2,3
48,Cobalamine/B12 biosynthesis,3,3
49,Photosystem I,4,4
50,Threonine biosynthesis,3,3
51,2Fe2S,3,3
52,Molybdopterin biosynthesis,2,4
53,Glycine cleavage,3,4
54,Ribosome 30S subunit,1,4
55,TCA cycle,2,4
56,Thiamine biosynthesis,4,2
57,Glycine cleavagePyruvate oxidation,2,4
58,3D,4,2
59,NADH dehydrogenase,2,5
60,Non-phosphorylated Entner-Doudoroff pathway,4,2
61,NAD biosynthesis,1,2
62,Archaeal ribosomal proteins,2,4
63,Isoprenoid biosynthesis,2,2
64,Purine salvage,5,2
65,Asparagine biosynthesis,5,1
66,CRISPR-Cas system,3,2
67,Glycolysis,1,6
68,23S rRNA modification,4,2
69,"Isoleucine, leucine, valine biosynthesis",3,3
