,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized membrane protein, DUF2243 domain",1,1
1,"Uncharacterized conserved protein, DUF2256 family",1,0
2,"Predicted nuclease, RecB family",0,2
3,"Uncharacterized conserved protein, DUF2153 domain",1,0
4,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",1,0
5,"Uncharacterized conserved protein, DUF2255 domain",0,1
6,Predicted Ser/Thr protein kinase,1,1
7,"Predicted metal-dependent phosphohydrolase, HD superfamily",1,0
8,"Predicted butyrate kinase, DUF1464 family",1,1
9,Phage large terminase packaging protein,1,0
10,"Uncharacterized conserved protein, DUF1415 family",0,1
11,"Uncharacterized conserved protein, DUF779 family",0,1
12,"ABC-type anion transport system, duplicated permease component",1,0
13,"Predicted methyltransferase MtxX, methanogen marker protein 4",0,1
14,Uncharacterized membrane-anchored protein,0,1
15,Predicted small integral membrane protein,1,0
16,"Predicted GntP-related membrane permease AF0261, DUF401 family",0,1
17,"Uncharacterized conserved protein, DUF763 domain",0,1
18,Uncharacterized conserved protein YezD,1,0
19,"Uncharacterized conserved protein, DUF2141 family",1,0
20,"Predicted NTP pyrophosphohydrolase, NUDIX family",0,1
21,Phage capsid portal protein XkdE,2,0
22,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",1,0
23,Predicted periplasmic lipoprotein,0,1
24,Predicted neuraminidase (sialidase),2,0
25,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",0,2
26,"Uncharacterized conserved protein, DUF1272 domain",0,1
27,Esterase/lipase superfamily enzyme,0,2
28,"Uncharacterized conserved protein, DUF2195 domain",0,1
29,Predicted ATP-dependent Lon-type protease,1,0
30,"Uncharacterized conserved protein, DUF362 family",0,1
31,"Uncharacterized conserved protein, DUF483 domain",1,1
32,Predicted small metal-binding protein,1,0
33,"Predicted N-acetyltransferase, GNAT superfamily",0,1
34,Secreted trypsin-like serine protease,0,1
35,"Uncharacterized conserved protein, DUF2264 domain",1,1
36,Uncharacterized radical SAM domain-containing protein,1,1
37,"Uncharacterized conserved protein, DUF2155 domain",1,2
38,"Uncharacterized conserved protein, DUF2325 domain",1,0
39,"Uncharacterized conserved protein, DUF2169 domain",0,1
40,"Biotin synthase-related protein, radical SAM superfamily",2,0
41,"Uncharacterized conserved protein, DUF2236 family",0,1
42,Predicted protein tyrosine phosphatase,0,1
43,"Bacteriophage DNA transposition protein, AAA+ family ATPase",0,1
44,Transposase,0,1
45,"Phage terminase, small subunit",0,2
46,Phage head maturation protease,1,0
47,"Uncharacterized conserved protein, DUF2321 domain",1,0
48,"Beta-xylosidase, GH43 family",0,1
49,Aminoglycoside phosphotransferase family enzyme,0,1
50,Predicted component of the type VI protein secretion system,1,0
51,"Uncharacterized conserved protein, DUF488 family",1,0
52,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",1,0
53,"Phage-related protein, tail protein J",1,2
54,"Predicted DNA binding protein, CopG/RHH family",0,0
55,"Predicted metal-dependent hydrolase, urease superfamily",1,0
56,Uncharacterized Fe-S cluster protein,1,0
57,Hemerythrin domain,0,2
58,"Predicted acetyltransferase, GNAT superfamily",0,1
59,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",1,0
60,"Uncharacterized conserved protein, DUF2171 domain",0,1
61,"Uncharacterized conserved protein, DUF2252 family",1,1
62,"Uncharacterized conserved protein, UPF0212 family",1,0
63,"Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily",0,1
64,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,0,1
65,Uncharacterized archaeal Zn-finger protein,0,0
66,Predicted DNA-binding protein with an HTH domain,0,0
67,Uncharacterized domain associated with phage/plasmid primase,1,0
68,"Uncharacterized conserved protein related to methyl-CoM reductase subunit C, methanogenesis marker protein 7",0,1
69,CBS-domain-containing membrane protein,0,1
70,Prophage pi2 protein 07,1,1
