,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Predicted component of the type VI protein secretion system,1,0
1,"Uncharacterized conserved protein, DUF2239 domain",0,1
2,Phage capsid portal protein XkdE,1,0
3,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",0,0
4,"Uncharacterized protein, contains Mth938-like domain",0,1
5,"Uncharacterized conserved protein, DUF2330 domain",1,0
6,"Uncharacterized conserved protein, DUF2076 domain",1,0
7,Uncharacterized membrane protein YjcL,0,1
8,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,0,0
9,Hemerythrin domain,0,1
10,Signal transduction histidine kinase regulating phosphoglycerate transport system,0,1
11,Muramidase (phage lambda lysozyme),0,1
12,"Uncharacterized conserved protein, DUF2225 family",1,0
13,"Predicted transciptional regulator, contains HTH domain",1,0
14,"Uncharacterized conserved protein, DUF2169 domain",0,0
15,"Uncharacterized conserved protein, DUF2251 domain",1,0
16,"Uncharacterized conserved protein, cupin superfamily",1,1
17,"Uncharacterized conserved protein, DUF2274 domain",1,0
18,"Biotin synthase-related protein, radical SAM superfamily",1,0
19,"Uncharacterized conserved protein, DUF2333 domain",2,0
20,"Phage terminase, small subunit",0,1
21,"Predicted DNA-binding transcriptional regulator, ArsR family",0,2
22,"Uncharacterized conserved protein, DUF2164 family",0,1
23,Mu-like prophage DNA circulation protein,1,0
24,"Uncharacterized conserved protein, DUF2264 domain",1,1
25,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",0,1
26,"Predicted methyltransferase MtxX, methanogen marker protein 4",0,1
27,Predicted outer membrane lipoprotein,0,1
28,Predicted dienelactone hydrolase,0,0
29,"Predicted N-acetyltransferase, GNAT superfamily",0,1
30,Predicted small integral membrane protein,1,0
31,"Uncharacterized conserved protein, DUF2096 domain",0,1
32,"Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily",0,1
33,"Uncharacterized conserved protein, DUF1272 domain",0,1
34,Conjugal transfer/entry exclusion protein,0,1
35,Adenine-specific DNA methylase,0,1
36,Predicted ABC-type ATPase or kinase,1,0
37,"Uncharacterized conserved protein, DUF2321 domain",0,0
38,Predicted small metal-binding protein,1,0
39,"Uncharacterized conserved protein, DUF2316 domain",0,1
40,"Uncharacterized conserved protein, contains ACT domain",1,0
41,Uncharacterized Fe-S cluster protein,1,0
42,Prophage antirepressor,1,0
43,"Uncharacterized conserved protein, DUF2256 family",0,0
44,Uncharacterized conserved protein BH1414,0,1
45,"Uncharacterized conserved protein, DUF2093 domain",0,1
46,Phage large terminase packaging protein,1,0
47,Predicted neuraminidase (sialidase),2,0
48,"Uncharacterized conserved protein, DUF2062 family",1,0
49,Predicted archaeal methyltransferase,0,0
50,"Uncharacterized protein, contains DUF1214 domain",0,1
51,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains",0,1
52,"Predicted acyltransferase, LPLAT superfamily",0,1
53,"Uncharacterized conserved protein, DUF1062 domain",0,0
54,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",0,1
55,"Uncharacterized conserved protein, DUF1802 family",1,0
56,Bacteriorhodopsin,0,1
57,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",0,1
58,"Predicted metal-dependent hydrolase, TIM-barrel fold",1,0
59,"Uncharacterized conserved protein, DUF779 family",0,1
60,"Predicted hydrolase, HD superfamily",0,1
61,"DNA replication initiation complex subunit, GINS family",1,0
62,"Uncharacterized conserved protein, contains thioredoxin-like domain",1,0
63,"Predicted acetyltransferase, GNAT superfamily",0,1
64,Uncharacterized integral membrane protein,1,1
65,CBS-domain-containing membrane protein,0,1
66,"Uncharacterized conserved protein, DUF2153 domain",0,0
67,"Predicted transcriptional regulator,contains XRE-type HTH domain",1,0
68,"Uncharacterized conserved protein, DUF2087 family",2,0
69,"Superfamily II helicase, archaea-specific",1,0
70,Uncharacterized radical SAM domain-containing protein,1,0
71,"Uncharacterized membrane protein, DUF2127 domain",0,1
72,"Uncharacterized conserved protein, DUF2126 family",0,1
73,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",1,0
74,"Uncharacterized conserved protein, DUF2171 domain",0,0
75,"Predicted nucleic acid-binding protein, contains PIN domain",0,1
76,Predicted methyltransferase,0,1
77,"Uncharacterized conserved protein, DUF2141 family",1,0
78,"Uncharacterized conserved protein, DUF2325 domain",1,0
79,"Uncharacterized membrane protein, DUF373 family",0,1
80,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",0,1
81,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,0,1
82,"Predicted metal-dependent phosphohydrolase, HD superfamily",1,0
83,Putative component of the toxin-antitoxin plasmid stabilization module,1,0
84,"Uncharacterized conserved protein, DUF2155 domain",1,1
85,Predicted aminopeptidase,0,1
86,"Predicted transcriptional regulator, contains HTH domain",0,2
87,"Uncharacterized conserved protein, DUF2195 domain",0,1
88,"Uncharacterized conserved protein, DUF2193 domain",1,0
89,"Uncharacterized protein, contains DUF3084 domain",0,0
90,Uncharacterized domain associated with phage/plasmid primase,1,0
91,"Uncharacterized conserved protein, DUF2132 family",1,0
92,Predicted periplasmic lipoprotein,0,1
93,"Uncharacterized conserved protein, DUF169 family",0,2
94,"Uncharacterized conserved protein, DUF2255 domain",0,1
95,NAD kinase,1,0
96,Selenophosphate synthetase-related protein,0,0
97,"Predicted NTP pyrophosphohydrolase, NUDIX family",0,1
98,"Beta-xylosidase, GH43 family",0,0
99,"Uncharacterized membrane protein, DUF368 family",1,0
100,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",0,1
101,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",1,0
102,"Predicted DNA binding protein, CopG/RHH family",0,1
103,Esterase/lipase superfamily enzyme,0,2
104,Predicted ATP-dependent Lon-type protease,1,0
105,"ABC-type uncharacterized transport system, periplasmic component",0,0
106,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown),1,0
107,Aminoglycoside phosphotransferase family enzyme,0,1
108,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily,0,1
109,"Predicted butyrate kinase, DUF1464 family",1,1
110,"Uncharacterized conserved protein, contains DUF2130 domain",1,0
111,"Uncharacterized metal-binding protein, DUF2103 family",0,1
112,Uncharacterized membrane-anchored protein,0,1
113,Predicted Ser/Thr protein kinase,1,0
114,"Uncharacterized conserved protein, DUF488 family",1,0
115,Predicted heme/steroid binding protein,0,1
116,Secreted trypsin-like serine protease,0,1
117,Predicted nuclease (RNAse H fold),1,0
118,Phage tail protein,1,1
119,Transposase,0,1
