,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized conserved protein, DUF1802 family",1,0
1,"Uncharacterized conserved protein, UPF0262 family",0,0
2,Glutaredoxin-related protein,1,0
3,"Uncharacterized membrane protein MJ1443, UPF0132 family",1,0
4,"Uncharacterized conserved protein, contains thioredoxin-like domain",1,0
5,Predicted component of the type VI protein secretion system,1,0
6,"Uncharacterized conserved protein, DUF779 family",0,1
7,"Uncharacterized protein, contains Mth938-like domain",0,1
8,Predicted heme/steroid binding protein,0,1
9,Mu-like prophage DNA circulation protein,1,0
10,"Uncharacterized N-terminal domain of tricorn protease, contains WD40 repeats",0,2
11,"Uncharacterized conserved protein, DUF1415 family",0,1
12,"Uncharacterized conserved protein, DUF2193 domain",1,0
13,Predicted aminopeptidase,0,1
14,"Predicted hydrolase, HD superfamily",0,1
15,"Uncharacterized conserved protein, DUF1062 domain",1,0
16,Predicted nuclease (RNAse H fold),0,1
17,"Predicted sugar epimerase, xylose isomerase-like family",0,1
18,Uncharacterized membrane protein YjcL,0,0
19,"Uncharacterized small protein, DUF1192 family",1,1
20,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",0,1
21,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family",0,1
22,Phage-related holin (Lysis protein),0,1
23,"Uncharacterized conserved protein, DUF2126 family",0,2
24,Type 1 glutamine amidotransferase (GATase1)-like domain,1,0
25,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",0,1
26,"Uncharacterized conserved protein, DUF763 domain",0,1
27,Putative component of the toxin-antitoxin plasmid stabilization module,1,0
28,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",1,0
29,"Uncharacterized membrane protein, DUF368 family",1,0
30,"Predicted DNA binding protein, CopG/RHH family",0,0
31,"Uncharacterized protein, contains PD-(D/E)XK nuclease domain",1,0
32,"Uncharacterized conserved protein, DUF2274 domain",2,0
33,"Uncharacterized conserved protein, DUF483 domain",1,0
34,Mannosyltransferase related to Gpi18,1,0
35,Phage large terminase packaging protein,1,0
36,Predicted oxidoreductase,1,0
37,"Uncharacterized conserved protein, DUF2264 domain",1,1
38,Predicted small integral membrane protein,1,0
39,Predicted outer membrane lipoprotein,0,2
40,Selenophosphate synthetase-related protein,1,0
41,"Uncharacterized conserved protein, DUF1272 domain",0,1
42,"Uncharacterized conserved protein, DUF2153 domain",1,0
43,Uncharacterized conserved protein BH1414,0,1
44,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",1,0
45,"Uncharacterized conserved protein, DUF488 family",1,0
46,"Uncharacterized conserved protein, radical SAM superfamily",0,1
47,Uncharacterized archaeal Zn-finger protein,0,0
48,"Uncharacterized conserved protein, DUF697 family",1,0
49,"Uncharacterized conserved protein, PA2063/DUF2235 family",1,0
50,"Uncharacterized conserved protein, DUF362 family",0,1
51,"Predicted nuclease, RecB family",0,2
52,"Uncharacterized conserved protein, DUF2096 domain",0,1
53,"Uncharacterized metal-binding protein, DUF2103 family",0,1
54,"Uncharacterized conserved protein, DUF1330 family",0,0
55,Uncharacterized conserved protein YezD,1,0
56,"Uncharacterized protein, contains DUF3084 domain",1,0
57,"Uncharacterized conserved protein, related to short-chain dehydrogenases",0,1
58,"Uncharacterized conserved protein, DUF2155 domain",1,2
59,Predicted transcriptional regulator,0,1
60,"Predicted nucleic acid-binding protein, contains PIN domain",0,1
61,"Predicted acyltransferase, LPLAT superfamily",0,2
62,"Predicted N-acetyltransferase, GNAT superfamily",0,1
63,Predicted aspartyl protease,0,1
64,Phage head maturation protease,1,0
65,Adenine-specific DNA methylase,0,1
66,"Uncharacterized conserved protein, DUF2252 family",1,1
67,Predicted protein tyrosine phosphatase,0,1
68,Conjugal transfer/entry exclusion protein,0,1
69,"Uncharacterized conserved protein, DUF2255 domain",0,1
70,"Uncharacterized conserved protein, DUF2195 domain",0,1
71,Predicted Ser/Thr protein kinase,1,1
72,"Uncharacterized conserved protein, DUF1499 family",1,0
73,"Uncharacterized conserved protein, DUF1073 domain",1,0
74,"Predicted GntP-related membrane permease AF0261, DUF401 family",0,1
75,NAD kinase,1,0
76,"Phage-related protein, tail protein J",0,2
77,Mu-like prophage I protein,0,1
78,"Adenine-specific DNA methylase, contains a Zn-ribbon domain",1,1
79,Predicted DNA-binding protein with an HTH domain,0,0
80,Aminoglycoside phosphotransferase family enzyme,0,1
81,"Uncharacterized membrane protein, DUF2243 domain",1,1
82,"Predicted metal-dependent phosphohydrolase, HD superfamily",1,0
83,Predicted ABC-type ATPase or kinase,2,0
84,"Uncharacterized conserved protein, DUF2316 domain",0,1
85,Signal transduction histidine kinase regulating phosphoglycerate transport system,1,1
86,Ubiquinone biosynthesis protein COQ9,0,1
87,Uncharacterized integral membrane protein,0,1
88,"Uncharacterized protein, contains DUF1214 domain",0,1
89,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",1,0
90,Predicted archaeal methyltransferase,0,1
91,"Endonuclease, HJR/Mrr/RecB family",0,0
92,Esterase/lipase superfamily enzyme,0,2
93,"Uncharacterized conserved protein, DUF1015 family",0,1
94,Uncharacterized radical SAM domain-containing protein,1,1
95,Phage tail protein,1,0
96,"Superfamily II helicase, archaea-specific",1,0
97,Uncharacterized conserved protein,0,1
98,Prophage antirepressor,0,0
99,Predicted exporter,1,0
100,Prophage pi2 protein 07,1,1
101,CBS-domain-containing membrane protein,0,1
102,Secreted trypsin-like serine protease,0,1
103,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",0,1
104,"Uncharacterized conserved protein, DUF2239 domain",0,1
105,"Predicted transcriptional regulator, contains HTH domain",0,1
106,"Uncharacterized membrane protein, DUF1361 domain",0,2
107,"Predicted metal-dependent hydrolase, TIM-barrel fold",0,0
108,"Uncharacterized conserved protein, DUF1704 domain",0,1
109,Phage capsid portal protein XkdE,2,0
110,"Uncharacterized conserved protein, DUF2093 domain",0,1
111,"Uncharacterized membrane protein, contains DUF996 domain",1,0
112,"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily",1,0
113,Uncharacterized membrane-anchored protein,0,1
114,"Uncharacterized conserved protein, DUF721 domain",1,0
115,"Predicted phage recombinase, RecA/RadA family",0,1
116,"Uncharacterized conserved protein, DUF1152 domain",1,0
117,"Uncharacterized conserved protein, DUF2321 domain",1,0
118,"Phage-related protein, tail assembly protein I",0,2
119,"Uncharacterized conserved protein MTH_811, UPF0305 family",1,0
120,"Predicted transcriptional regulator, contains two HTH domains",1,0
121,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",0,0
122,"Predicted methyltransferase MtxX, methanogen marker protein 4",0,1
123,"Predicted acetyltransferase, GNAT superfamily",0,1
124,"Uncharacterized conserved protein, cupin superfamily",1,0
125,"Uncharacterized conserved protein, DUF2225 family",1,0
126,"Uncharacterized conserved protein, DUF2164 family",0,0
127,Predicted cation transporter,0,0
128,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily,0,1
129,"Uncharacterized membrane protein, DUF373 family",0,1
130,"Predicted transcriptional regulator,contains XRE-type HTH domain",1,0
131,"Uncharacterized conserved protein, DUF2171 domain",0,1
132,"Uncharacterized conserved protein, DUF2062 family",1,0
133,Predicted small secreted protein,1,0
134,"Predicted butyrate kinase, DUF1464 family",0,1
135,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,0,1
136,"ABC-type anion transport system, duplicated permease component",1,0
137,"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily",1,0
138,"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA",1,0
139,"Predicted metal-dependent hydrolase, urease superfamily",1,0
140,"Uncharacterized conserved protein, DUF2132 family",1,0
141,"Uncharacterized conserved protein, UPF0212 family",0,0
142,Predicted choloylglycine hydrolase,1,0
143,Transposase,0,1
144,Hemerythrin domain,0,2
145,Predicted small metal-binding protein,1,0
146,Muramidase (phage lambda lysozyme),0,1
147,"Uncharacterized conserved protein, DUF2236 family",0,1
148,"Uncharacterized conserved protein, DUF2125 domain",1,0
149,Predicted dienelactone hydrolase,0,1
150,"Uncharacterized conserved protein, contains DUF2130 domain",1,0
151,"Uncharacterized conserved protein, contains ACT domain",1,0
152,Predicted RNA methylase,1,0
153,"Predicted regulator of amino acid metabolism, contains ACT domain",0,1
154,"Uncharacterized protein, contains SWIM-type Zn finger domain",0,1
155,"Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily",0,1
156,Predicted deacetylase,0,0
157,Predicted methyltransferase,0,1
158,Uncharacterized Fe-S cluster protein,1,0
159,"Beta-xylosidase, GH43 family",0,1
160,"Uncharacterized membrane protein, DUF4212 domain",0,1
161,"Predicted transciptional regulator, contains HTH domain",1,0
162,"Uncharacterized conserved protein, DUF2336 family",0,2
163,Steroid 5-alpha reductase family enzyme,0,1
164,Predicted ATP-dependent Lon-type protease,1,0
165,"Bacteriophage DNA transposition protein, AAA+ family ATPase",0,1
166,"Uncharacterized conserved protein, DUF2076 domain",1,0
167,"Uncharacterized conserved protein, DUF2111 domain",1,0
168,Uncharacterized domain associated with phage/plasmid primase,1,0
169,Predicted metallopeptidase,0,0
170,"Uncharacterized conserved protein, DUF169 family",0,1
171,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",1,0
172,Predicted neuraminidase (sialidase),1,0
173,"Predicted NTP pyrophosphohydrolase, NUDIX family",0,1
174,"Predicted DNA-binding transcriptional regulator, ArsR family",0,2
175,Predicted metal-dependent hydrolase,1,0
176,"Uncharacterized conserved protein, DUF2141 family",1,0
177,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family",0,0
178,"Uncharacterized conserved protein, DUF2330 domain",1,0
179,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",0,1
180,"Uncharacterized membrane protein, DUF2127 domain",0,1
181,"Phage terminase, small subunit",0,2
182,"Uncharacterized conserved protein, DUF2262 domain",0,1
183,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains",0,1
184,"Uncharacterized conserved protein related to methyl-CoM reductase subunit C, methanogenesis marker protein 7",0,1
185,"Uncharacterized conserved protein, contains Zn-finger domain of CHY type",0,1
186,"Uncharacterized conserved protein, DUF937 domain",0,2
187,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",0,2
188,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",1,0
189,"Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain",0,2
190,"Uncharacterized conserved protein, DUF2087 family",1,0
191,"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain",0,1
192,Bacteriorhodopsin,0,0
193,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,0,1
194,Superfamily I DNA and RNA helicases,1,0
195,"Uncharacterized conserved protein, DUF2169 domain",0,1
196,"ABC-type uncharacterized transport system, periplasmic component",0,1
197,"Uncharacterized conserved protein, DUF2333 domain",1,0
198,"Uncharacterized metal-binding protein, DUF2227 family",0,1
199,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",1,0
200,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown),0,0
201,"Uncharacterized conserved protein, DUF2256 family",1,0
202,Predicted periplasmic lipoprotein,0,1
203,"DNA replication initiation complex subunit, GINS family",1,0
204,"Uncharacterized Zn-finger containing protein, UPF0148 family",0,1
205,"Uncharacterized conserved protein, DUF2251 domain",1,0
206,"Biotin synthase-related protein, radical SAM superfamily",1,0
207,"Uncharacterized conserved protein, DUF2325 domain",1,0
