,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Thiamine biosynthesis,0,1
1,Biotin biosynthesis!!!Ubiquinone biosynthesis,0,1
2,Histidine biosynthesis!!!Pyrimidine salvage,0,1
3,Ribosome 30S subunit!!!Isoprenoid biosynthesis,0,1
4,Translation factors!!!Mureine biosynthesis,0,1
5,NAD biosynthesis,0,1
6,Phospholipid biosynthesis!!!Lysine biosynthesis,0,1
7,Serine biosynthesis!!!Serine biosynthesis,1,1
8,Cysteine biosynthesis!!!Fatty acid biosynthesis,0,1
9,Purine biosynthesis!!!tRNA modification,1,1
10,Heme biosynthesis!!!Menaquinone biosynthesis,2,0
11,Pyrimidine degradation!!!tRNA modification,0,2
12,Gluconeogenesis,1,1
13,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,0,1
14,Pyruvate oxidation!!!NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,0,1
15,Glycine cleavage,1,1
16,tRNA modification!!!Mureine biosynthesis,1,0
17,Isoprenoid biosynthesis!!!Riboflavin/FAD biosynthesis,0,1
18,Ubiquinone biosynthesis!!!NADH dehydrogenase,2,0
19,Pyrimidine salvage!!!RNA polymerase,1,0
20,Pyruvate oxidation!!!Glycine cleavagePyruvate oxidation,0,1
21,Urea cycle!!!RNA polymerase,0,2
22,"Isoleucine, leucine, valine biosynthesis",1,1
23,Mureine biosynthesis!!!Mureine biosynthesis,1,1
24,Glutamine biosynthesis!!!NADH dehydrogenase!!!2Fe2S,0,2
25,Threonine biosynthesis,1,0
26,Urea cycle!!!Proline biosynthesis,0,1
27,Na+-translocating Fd:NADH oxidoreductase,0,1
28,RNA polymerase!!!RNA polymerase,0,0
29,Purine salvage,0,0
30,Cysteine biosynthesis!!!Glutamine biosynthesis!!!Biotin biosynthesis,2,0
31,Pentose phosphate pathway!!!Pentose phosphate pathway,1,0
32,Menaquinone biosynthesis!!!Lipid A biosynthesis!!!Cysteine biosynthesis,0,1
33,Fatty acid biosynthesis!!!Cysteine biosynthesis,0,1
