,feature_name,cultured_feature_counts,uncultured_feature_counts
0,23S rRNA modification!!!tRNA modification,0,1
1,Translation factors!!!Mureine biosynthesis,0,1
2,Glutamine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,1,0
3,Phospholipid biosynthesis!!!NAD biosynthesis,0,1
4,Thymidylate biosynthesis,0,1
5,Pyrimidine salvagetRNA modification,0,1
6,Aminoacyl-tRNA synthetases,1,0
7,Cobalamine/B12 biosynthesis!!!Histidine biosynthesis,1,1
8,Pyruvate oxidation!!!Fatty acid biosynthesis,0,1
9,Entner-Doudoroff pathway,0,0
10,Urea cycle!!!Proline biosynthesis,1,0
11,Menaquinone biosynthesis!!!Lipid A biosynthesis!!!Cysteine biosynthesis,0,3
12,Pyrimidine salvagetRNA modification!!!tRNA modification,0,1
13,NADH dehydrogenase!!!tRNA modification,1,0
14,Menaquinone biosynthesis!!!Menaquinone biosynthesis,2,0
15,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,0,1
16,Cysteine biosynthesis!!!NADH dehydrogenase,0,3
17,Cysteine biosynthesis,0,2
18,Phospholipid biosynthesis!!!Fatty acid biosynthesis,0,2
19,Purine biosynthesis!!!Pyrimidine biosynthesis,0,1
20,FoF1-type ATP synthase,0,0
21,Fatty acid biosynthesis!!!Biotin biosynthesis,0,1
22,NADH dehydrogenase,1,1
23,16S rRNA modification!!!Isoprenoid biosynthesis,1,1
24,Ubiquinone biosynthesis,1,0
25,Arginine biosynthesis!!!Glycolysis,0,1
26,Pyruvate oxidation!!!Pyruvate oxidation!!!Pyruvate oxidation!!!NADH dehydrogenase,1,1
27,Serine biosynthesis!!!Pentose phosphate pathway,0,0
28,Pyrimidine salvage!!!Pyrimidine salvage,0,1
29,Aminoacyl-tRNA synthetases!!!Glycolysis,0,0
30,Proline biosynthesis,1,0
31,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,0,1
32,Folate biosynthesis!!!Folate biosynthesis,0,1
33,Cobalamine/B12 biosynthesis!!!Heme biosynthesis,0,0
