,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Ribosome 30S subunit,3,2
1,Cysteine biosynthesis,2,2
2,Pyruvate oxidation,2,3
3,16S rRNA modification,1,4
4,2Fe2S,4,1
5,Pyrimidine biosynthesis,3,3
6,Non-phosphorylated Entner-Doudoroff pathway,2,3
7,Ubiquinone biosynthesis,3,2
8,Pyridoxal phosphate biosynthesis,2,4
9,Aromatic amino acid biosynthesis,1,5
10,Archaeal ribosomal proteins,1,5
11,NAD biosynthesis,2,3
12,Glycine cleavagePyruvate oxidation,4,2
13,Proline biosynthesis,3,2
14,Lysine biosynthesis,2,3
15,Glycolysis,3,3
16,Serine biosynthesis,4,1
17,cultured_level_species,5,1
18,cultured_level_order,0,1
19,Methionine biosynthesis,3,3
20,Na+-translocating Fd:NADH oxidoreductase,1,3
21,Proline degradation,0,5
22,Aminoacyl-tRNA synthetases,2,3
23,Urea cycle,4,1
24,Gluconeogenesis,1,5
25,Purine biosynthesis,1,5
26,Arginine biosynthesis,1,5
27,Biotin biosynthesis,4,2
28,"Isoleucine, leucine, valine biosynthesis",4,2
29,Lipid A biosynthesis,1,5
30,23S rRNA modification,3,2
31,Folate biosynthesis,2,4
32,RNA polymerase,4,2
33,cultured_level_family,1,4
34,Ribosome 50S subunit,1,1
35,Purine salvage,2,3
36,Menaquinone biosynthesis,3,2
37,Pyrimidine salvage,4,2
38,Thiamine biosynthesis,1,4
39,Riboflavin/FAD biosynthesis,3,3
40,"Histidine biosynthesis, Purine biosynthesis",1,1
41,cultured_level_class,2,1
42,Glutamine biosynthesis,1,5
43,Pyrimidine salvagetRNA modification,4,2
44,tRNA modification,2,1
45,Heme biosynthesis,6,0
46,FoF1-type ATP synthase,3,2
47,Glycine cleavage,5,1
48,Fatty acid biosynthesis,3,1
49,Molybdopterin biosynthesis,2,4
50,Phospholipid biosynthesis,1,5
51,3D,4,2
52,CRISPR-Cas system,3,3
53,Thymidylate biosynthesis,1,5
54,Cobalamine/B12 biosynthesis,2,4
55,Na+-translocating NADH dehydrogenase,3,2
56,Pentose phosphate pathway,3,2
57,"TCA cycle, glyoxylate bypass",3,3
58,Isoprenoid biosynthesis,4,2
59,Photosystem I,4,1
60,Asparagine biosynthesis,3,2
61,cultured_level_genus,4,2
62,Pyrimidine degradation,2,1
63,Lipoate biosynthesis,1,4
64,Histidine biosynthesis,3,3
65,Lysine biosynthesisTCA cycle,0,2
66,Mureine biosynthesis,4,1
67,Entner-Doudoroff pathway,2,4
68,Pantothenate/CoA biosynthesis,1,5
69,Threonine biosynthesis,1,5
70,Translation factors,3,2
71,Photosystem II,5,0
72,A/V-type ATP synthase,4,1
73,TCA cycle,3,2
74,NADH dehydrogenase,2,4
