,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Gamma-glutamylcyclotransferase ChaC2 (glutathione degradation) (ChaC2) (PDB:5HWI) (PUBMED:27913623),4,0
1,Predicted amidohydrolase YtcJ (YtcJ) (PDB:3ICJ),5,1
2,"Hydrogenase maturation factor HypA/HybF, metallochaperone involved in Ni insertion (HybF) (PDB:3A43) (PUBMED:16817932)",5,1
3,Predicted transcriptional regulator (PDB:1R7J),5,0
4,"Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family (AarF) (PDB:4PED)",5,1
5,"Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family (YtfP) (PDB:1V30) (PUBMED:16754964;20110353)",3,0
6,"Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains (YbjD)",4,0
7,UTP:GlnB (protein PII) uridylyltransferase (GlnD),3,1
8,"Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family (GCD2) (PDB:5B04)",5,0
9,DNA polymerase B elongation subunit (PolB) (PDB:6P1H),5,0
10,"Transposase and inactivated derivatives, IS30 family (Tra8)",4,0
11,"CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)",3,0
12,"Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain (YdeE)",4,1
13,Uncharacterized conserved protein MJ0491,6,0
14,"Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain (YcfJ)",3,1
15,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36),5,0
16,"TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism (IolD)",4,0
17,DNA mismatch repair ATPase MutS (MutS) (PDB:1E3M),4,1
18,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G),2,1
19,"Uncharacterized conserved protein, DUF447 domain (PDB:2IML)",5,0
20,"NAD-dependent protein deacetylase, SIR2 family (SIR2) (PDB:1M2N)",3,0
21,"Cell division septum initiation protein DivIVA, interacts with FtsZ and MinD (DivIVA) (PDB:2WUJ)",6,0
22,Lipopolysaccharide biosynthesis protein (RgpF),5,1
23,Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4),3,0
24,Predicted NAD/FAD-dependent oxidoreductase (PDB:4ZCC),4,0
25,Protein thiol-disulfide isomerase DsbC (DsbG) (PDB:2HI7),6,0
26,Nucleoside-specific outer membrane channel protein Tsx (Tsx) (PDB:1TLW),3,0
27,"DNA helicase TIP49, TBP-interacting protein (TIP49) (PDB:2C9O)",6,0
28,Galactose-1-phosphate uridylyltransferase (GalT2),6,0
