,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Uncharacterized membrane protein YgaE, UPF0421/DUF939 family (YgaE)",2,0
1,Spore cortex formation membrane protein YabQ (YabQ) (PUBMED:11283287;15231775),0,2
2,Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla (MlaC) (PDB:2QGU) (PUBMED:19383799),1,0
3,DnaJ domain-containing protein (DjlA) (PUBMED:15489435;11106641),0,2
4,Flagellum-specific peptidoglycan hydrolase FlgJ (FlgJ) (PDB:2ZYC),1,1
5,ACT domain-containing protein (ACTx2),2,0
6,Uncharacterized sporulation membrane protein YtrH/SpoVIGA (YtrH) (PUBMED:12662922;15547282),0,1
7,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit (PorD) (PDB:5C4I)",2,1
8,"Predicted NTPase, NACHT family domain (NACHT)",0,1
9,Regulator of replication initiation timing YabA (YabA) (PDB:5DOL),2,1
10,Poly-beta-hydroxybutyrate synthase (PhaC) (PDB:5XAV),1,0
11,"YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor (YqgF) (PDB:1IV0) (PUBMED:25545592;26817626)",2,1
12,Protoporphyrinogen oxidase HemY/PPOX (HemY) (PDB:3LOV),2,1
13,"Uncharacterized membrane protein YgcG, contains a TPM-fold domain (YgcG) (PDB:2KW7)",0,3
14,"Predicted nucleic-acid-binding protein, contains PIN domain",1,0
15,Beta-mannanase (ManB2) (PDB:1GVY),0,1
16,Lantibiotic modifying enzyme (LcnDR2) (PDB:5DZT),2,1
17,"Heterodisulfide reductase, subunit C (HdrC) (PDB:5ODC)",0,2
18,Ribosomal protein S4E (RPS4A),2,0
19,Virulence-associated protein VagC (function unknown) (VagC),2,0
20,S-adenosylmethionine synthetase (MetK) (PDB:1FUG),1,0
21,Zinc transporter ZupT (ZupT) (PDB:5TSA),0,2
22,"DNA-directed RNA polymerase, subunit H, RpoH/RPB5 (RPB5) (PDB:1DZF)",1,0
23,"PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)",1,0
24,Muramidase (phage lambda lysozyme),0,2
25,"Aminopropyltransferase BpsA, N(4)-bis(aminopropyl)spermidine biosynthesis (BpsA) (PDB:2QM3) (PUBMED:24610711)",0,1
26,"ABC-type uncharacterized transport system, permease component (YpjD)",2,1
27,"Stage III sporulation protein SpoIIIAE, component of the engulfment complex (SpoIIIAE) (PUBMED:18820020)",1,2
28,Cytochrome c556 (CytC556) (PDB:1E83),2,0
29,"Uncharacterized conserved protein, conains N-terminal glutamine amidotransferase (GATase1)-like domain",1,1
30,"Predicted transcriptional regulator, contains XRE-type HTH domain (AF0184)",0,1
31,Ribosomal protein L12E/L44/L45/RPP1/RPP2 (RPP1A),1,1
32,RIO-like serine/threonine protein kinase fused to N-terminal HTH domain (RIO2) (PDB:1TQI),0,1
33,Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO),0,1
34,Uncharacterized N-terminal domain of lipid-A-disaccharide synthase (LABN),1,0
35,"Uncharacterized membrane protein YbjL, putative transporter (YbjL)",0,2
36,"Uncharacterized conserved protein YaiL, DUF2058 family (YaiL)",3,1
37,"Membrane protease YdiL, CAAX protease family (YdiL)",3,0
38,"Fluoride ion exporter CrcB/FEX, affects chromosome condensation (CrcB) (PDB:5A40)",0,2
39,Ribosomal protein S19 (RpsS) (PDB:4V4H),1,0
40,RNA polymerase-binding transcription factor DksA (DksA) (PDB:1TJL),2,0
41,DNA-binding response regulator DpiB of citrate/malate metabolism (CitB),1,1
42,"Uncharacterized conserved protein, DUF1150 family",1,2
43,"Uncharacterized conserved protein, DUF983 family",0,2
44,"ABC-type phosphonate transport system, ATPase component PhnK (PhnK) (PUBMED:19516334)",1,0
45,"Uncharacterized conserved protein, DUF1653 family (PDB:3BE3)",1,0
46,"Tryptophan 2,3-dioxygenase (vermilion) (TDO2) (PDB:2NOX)",4,1
47,"Uncharacterized conserved protein, DUF2066 domain",0,1
48,"Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family (PrsW)",1,0
49,"Uncharacterized conserved protein, DUF2117 domain",1,1
50,Glutamine amidotransferase related to the GATase domain of CobQ (PDB:5N9M),1,1
51,"Predicted RNA-binding protein, associated with RNAse of E/G family, DUF402 domain (PDB:2P12) (PUBMED:15126500)",1,0
52,Predicted membrane GTPase TypA/BipA involved in stress response (TypA) (PDB:5A9V),2,0
53,"Uncharacterized conserved protein, DUF371 domain (PDB:3CBN)",1,1
54,"Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family (NifS) (PDB:4IXO) (PUBMED:22773787;25825430)",0,2
55,Cysteinyl-tRNA synthetase (CysS) (PDB:1LI5),1,0
56,Deoxyinosine 3'-endonuclease (endonuclease V) (Nfi) (PDB:2W35),0,2
57,"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family (CnoX) (PDB:3QDN) (PUBMED:21498507;29754824)",2,1
58,"Succinyl-CoA synthetase, beta subunit (SucC) (PDB:1SCU)",1,3
59,"Stage V sporulation protein SpoVAA, subunit of dipicolinate uptake complex (SpoVAA)",0,1
60,Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L),1,1
61,Tyrosyl-tRNA synthetase (TyrS) (PDB:4OUD),2,2
62,Septum site-determining ATPase MinD (MinD) (PDB:4V02),1,0
63,Extracellular (periplasmic) sensor domain CHASE (specificity unknown) (CHASE4),0,2
64,Uncharacterized conserved protein (PDB:2KPP),1,0
65,Cell wall assembly regulator SMI1 (Killer toxin-resistance protein 4) (SMI1) (PDB:5J1B),2,0
66,"Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family (RarD) (PUBMED:26335199)",2,0
67,"Uncharacterized conserved protein YgfB, UPF0149 family (YgfB) (PDB:1IZM)",0,1
68,dCTP deaminase (Dcd) (PDB:1XS1),0,1
69,"Cold shock protein, CspA family (CspC) (PDB:1C9O)",0,2
70,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G),2,1
71,"Uncharacterized protein, contains ferritin-like DUF455 domain",0,2
72,Uncharacterized membrane protein (PUBMED:15623504),1,0
73,Ribosomal protein S17E (RPS17A) (PDB:1RQ6),1,1
74,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein (GadA) (PDB:1XEY),2,1
75,Chemotaxis protein histidine kinase CheA (CheA) (PDB:1B3Q),1,0
76,"Uncharacterized conserved protein GguC, FAA hydrolase family (GguC)",0,1
77,"Uncharacterized conserved protein, contains a phytase-like domain",0,3
78,"7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily (Maf) (PDB:2P5X) (PUBMED:24210219)",1,0
79,Sporulation sensor histidine kinase B (KinB) (PUBMED:8497199;9274030),0,2
80,"Uncharacterized conserved protein, PKD repeat domain (PDB:2KZW)",1,0
81,"DNA replication initiation complex subunit, GINS family",2,1
82,"DNA/RNA endonuclease G, NUC1 (NUC1) (PDB:1G8T)",0,1
83,"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit (HyuB) (PDB:5L9W)",3,1
84,"ABC-type uncharacterized transport system, periplasmic component",1,0
85,"Uncharacterized conserved protein, DUF934 family",1,0
86,Uncharacterized sporulation protein YtxC (YtxC) (PUBMED:3027671;8969504;9387221),1,0
87,"Uncharacterized membrane protein, YccA/Bax inhibitor family",0,3
88,"Uncharacterized membrane protein YjjP, DUF1212 family (YjjP)",0,1
89,RNA degradosome component RraA (regulator of RNase E activity) (RraA) (PDB:1J3L) (PUBMED:20471400),1,4
90,"Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase) (GCD11) (PDB:1KJZ)",1,0
91,"5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain (YciV) (PDB:3E0F) (PUBMED:25871919)",3,0
92,"Uncharacterized protein, contains DUF2272 domain",1,2
93,Flagellar hook-capping protein FlgD (FlgD) (PDB:6IEF),1,1
94,"Predicted ABC-type sugar transport system, permease component",1,2
95,N-acetylglutamate synthase (arginine biosynthesis) (ARG2),2,1
96,Signal peptidase I (LepB) (PDB:1B12) (PUBMED:1925027),0,1
97,4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase (DapA) (PDB:2R91) (PUBMED:27574185),1,0
98,"NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation (LabA) (PDB:2QIP)",2,2
99,"Gentisate 1,2-dioxygenase (PDB:3BU7)",1,1
100,Rhamnogalacturonyl hydrolase YesR (YesR) (PDB:1NC5),2,1
101,"ABC-type multidrug transport system, permease component (YadH)",1,0
102,Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) (GlgC) (PDB:5MNI) (PUBMED:27545622),2,0
103,"Phage-related lysozyme (muramidase), GH24 family (RrrD) (PDB:4ZPU)",2,0
104,"(p)ppGpp synthase/hydrolase, HD superfamily (SpoT) (PDB:1TDJ)",1,0
105,16S rRNA C1402 N4-methylase RsmH (RmsH) (PDB:1M6Y),0,1
106,"Mlc titration factor MtfA, regulates ptsG expression (MtfA) (PDB:3DL1) (PUBMED:16855233)",0,1
107,"Uncharacterized conserved protein YycO, NlpC/P60 family (YycO)",0,1
108,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3),1,1
109,2-keto-3-deoxy-galactonokinase (DgoK) (PDB:3R1X),1,1
110,Translation elongation factor EF-1beta (EFB1) (PDB:2B7B),0,1
111,"Uncharacterized conserved protein YktB, UPF0637 family (YktB) (PDB:2A8E)",1,0
112,"Acireductone dioxygenase (methionine salvage), cupin superfamily (Adi1) (PDB:1VR3)",2,1
113,Carotenoid cleavage dioxygenase or a related enzyme (PDB:2BIW),1,0
114,tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE (MnmE),0,1
115,Putative heme-binding protein PhuW (PhuW) (PDB:2G5G) (PUBMED:16950397),0,1
116,Ribosomal protein S7 (RpsG) (PDB:4V4H),2,0
117,"ABC-type Fe2+-enterobactin transport system, periplasmic component (FepB) (PDB:2M6K)",2,1
118,"Tetrahydromethanopterin S-methyltransferase, subunit D (MtrD)",0,1
119,"Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)",1,0
120,Phosphotransferase system fructose-specific component IIB (FrwB) (PDB:5DLE),3,0
121,"Uncharacterized sporulation protein YmfJ, contains DUF3243 domain (YmfJ)",1,2
122,5-formyltetrahydrofolate cyclo-ligase (FAU1) (PDB:1SBQ),2,0
123,Predicted esterase (YpfH),1,1
124,Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase (YnbB),0,1
125,"Uncharacterized conserved protein YbbK, DUF523 family (YbbK)",1,1
126,Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX (PiuC) (PDB:3DKQ),3,1
127,Aconitase A (AcnA) (PDB:1ACO),1,0
128,"Uncharacterized conserved protein YlaI, DUF2197 family (YlaI)",1,1
129,Isochorismate hydrolase (EntB1) (PDB:3TB4),0,2
130,Flagellar biosynthesis/type III secretory pathway protein FliH (FliH) (PDB:5B0O),1,1
131,"Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes (SpoIIID) (PDB:2L0K) (PUBMED:16707683)",1,0
132,"Transcription elongation factor Elf1, contains Zn-ribbon domain (Elf1) (PDB:1WII)",1,2
133,"Peptidyl-prolyl isomerase, parvulin family (SurA) (PDB:2ZR5)",0,1
134,"Electron transfer flavoprotein, alpha and beta subunits (FixA) (PDB:5OL2)",0,1
135,"Cyclic di-AMP synthase regulator CdaR, YbbR domain (YbbR) (PDB:2KQ1) (PUBMED:26527648)",1,0
136,Pyruvate/oxaloacetate carboxyltransferase (OadA1) (PDB:2NX9) (PUBMED:18681940),1,0
