,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Esterase/lipase superfamily enzyme,6,0
1,"Uncharacterized metal-binding protein, DUF411 family",6,1
2,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains",6,0
3,"Adenine-specific DNA methylase, contains a Zn-ribbon domain",7,0
4,Predicted lipoprotein involved in lipopolysaccharide assembly,7,0
5,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",5,1
6,"PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)",6,0
7,"Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family",6,0
8,Signal transduction histidine kinase regulating phosphoglycerate transport system,6,0
9,Putative component of the toxin-antitoxin plasmid stabilization module,7,0
10,"Uncharacterized conserved protein, DUF1850 family",7,0
11,Uncharacterized integral membrane protein,6,1
12,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",6,0
13,"Uncharacterized conserved protein, DUF2161 domain",7,0
14,"Predicted acyltransferase, DUF1624 domain",7,0
15,"Uncharacterized conserved protein, DUF2164 family",7,0
16,"Predicted archaeal serine protease, S18 family",5,0
17,"Uncharacterized conserved protein, DUF1801 domain",6,1
18,"Predicted aminopeptidase, Iap family",7,0
19,Predicted ATP-binding protein involved in virulence,7,0
20,"Uncharacterized conserved protein, DUF2073 family",3,3
21,Predicted small integral membrane protein,7,0
22,Uncharacterized Fe-S cluster protein,7,0
23,"DNA primase, phage- or plasmid-associated",7,0
24,"Uncharacterized membrane protein, DUF131 family",4,0
25,"ABC-type anion transport system, duplicated permease component",6,0
26,"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain",4,2
27,Predicted metallopeptidase,6,0
28,"Uncharacterized conserved protein, DUF2332 domain",6,0
29,"Predicted transcriptional regulator, contains an HTH and PUA-like domains",5,1
30,Putative Zn-dependent protease,4,3
31,"Uncharacterized conserved protein, DUF2330 domain",7,0
32,Predicted alpha/beta hydrolase,5,1
33,"Uncharacterized conserved protein, contains thioredoxin-like domain",6,0
34,Glutaredoxin-related protein,6,0
35,"SirA-like two-layered alpha/beta sandwich domain, DUF2249 family",6,0
36,Uncharacterized domain associated with phage/plasmid primase,6,0
37,"Predicted RNA polymerase sigma factor, contains C-terminal TPR domain",3,1
38,"Uncharacterized membrane protein, UPF0182 family",6,0
39,"Uncharacterized conserved protein, radical SAM superfamily",7,0
40,"Uncharacterized conserved protein, DUF1794 domain",5,1
41,Phage protein U,7,0
42,Predicted methyltransferase,4,1
43,"Uncharacterized conserved protein, contains Zn-finger domain of CHY type",6,0
44,"Uncharacterized conserved protein, DUF2155 domain",6,0
45,"Extracellular solute-binding protein, contains Ig-fold domain",5,1
46,"Uncharacterized conserved protein, DUF465 domain",7,0
47,"Uncharacterized protein MTH814, DUF2098 family",7,0
48,"Uncharacterized conserved protein, DUF1430 domain",7,0
49,"Uncharacterized conserved protein, DUF1853 domain",7,0
50,"Uncharacterized conserved protein, DUF2141 family",5,0
51,"Uncharacterized membrane protein, DUF2127 domain",5,0
52,"Uncharacterized conserved protein, DUF983 family",5,2
53,Type 1 glutamine amidotransferase (GATase1)-like domain,6,0
54,"Uncharacterized protein, contains DUF2192 domain",6,0
55,"Uncharacterized conserved protein ECs_4300, contains TPR-like domain",7,0
56,"Uncharacterized protein, contains DUF2185 domain",6,0
57,"Uncharacterized conserved protein, DUF1365 family",7,0
58,Predicted aminopeptidase,6,0
59,"ATPase/GTPase, AAA15 family",6,1
60,"Uncharacterized conserved protein CPn0794, contains PKD-like HAF repeats",5,2
61,Predicted ferric reductase,7,0
62,"ABC-type uncharacterized transport system, periplasmic component",7,0
63,"Uncharacterized conserved protein, DUF2262 domain",5,1
64,"Glycosyltransferase involved in LPS biosynthesis, GR25 family",6,1
65,"Transposase and inactivated derivatives, TnpA family",6,0
66,Adenine-specific DNA methylase,6,0
67,"Uncharacterized small protein, DUF1192 family",7,0
68,"Uncharacterized conserved protein, DUF2184 domain",7,0
69,"Uncharacterized conserved protein, contains DUF2130 domain",7,0
70,"Uncharacterized conserved protein, UPF0262 family",4,2
71,"ABC-type uncharacterized transport system, ATPase component",5,1
72,"Adenine-specific DNA methylase, N12 class",6,0
