,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Arginine biosynthesis,5,1
1,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Biotin biosynthesis,7,0
2,Pentose phosphate pathway!!!Pentose phosphate pathway,4,1
3,Aminoacyl-tRNA synthetases!!!Aminoacyl-tRNA synthetases,7,0
4,Fatty acid biosynthesis!!!Menaquinone biosynthesis,6,1
5,Fatty acid biosynthesis!!!Cysteine biosynthesis,7,0
6,Serine biosynthesis!!!Serine biosynthesis,7,0
7,Lipid A biosynthesis,7,0
8,Heme biosynthesis!!!Menaquinone biosynthesis,6,1
9,Menaquinone biosynthesis,4,1
10,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis,3,1
11,Pyruvate oxidation,7,0
12,16S rRNA modification!!!tRNA modification,7,0
13,NAD biosynthesis,5,1
14,Purine biosynthesis!!!Pyrimidine biosynthesis,6,0
15,Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis,5,2
16,NADH dehydrogenase!!!NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase,6,0
17,Phospholipid biosynthesis!!!Serine biosynthesis,6,1
18,Pyrimidine salvage!!!RNA polymerase,6,1
19,Serine biosynthesis,7,0
20,Glycolysis!!!Glycolysis,6,0
21,Arginine biosynthesis!!!Glycolysis,7,0
22,TCA cycle,7,0
23,Ribosome 50S subunit,7,0
24,Aromatic amino acid biosynthesis,4,2
25,FoF1-type ATP synthase,6,0
26,Glutamine biosynthesis!!!Glycine cleavagePyruvate oxidation,3,2
27,Cobalamine/B12 biosynthesis,5,0
28,Ribosome 30S subunit,7,0
29,Molybdopterin biosynthesis!!!Urea cycle,7,0
30,Cysteine biosynthesis,7,0
31,Phospholipid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,5,2
32,Folate biosynthesis!!!Folate biosynthesis,7,0
33,Cysteine biosynthesis!!!Glutamine biosynthesis!!!Biotin biosynthesis,7,0
34,Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis!!!Isoprenoid biosynthesis,7,0
35,Pyruvate oxidation!!!Glycine cleavagePyruvate oxidation,7,0
36,Menaquinone biosynthesis!!!Fatty acid biosynthesis,7,0
37,Phospholipid biosynthesis!!!Ubiquinone biosynthesis,7,0
38,NADH dehydrogenase!!!NADH dehydrogenase!!!2Fe2S,7,0
39,Cysteine biosynthesis!!!Urea cycle,7,0
40,Serine biosynthesis!!!Pentose phosphate pathway,4,2
41,"Isoleucine, leucine, valine biosynthesis!!!Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis",6,1
42,Heme biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,4,2
43,Molybdopterin biosynthesis!!!Urea cycle!!!Molybdopterin biosynthesis,7,0
44,Biotin biosynthesis!!!Ubiquinone biosynthesis,2,1
45,Aromatic amino acid biosynthesis!!!Pyrimidine salvage,6,0
46,Entner-Doudoroff pathway,6,0
47,Lipoate biosynthesis!!!Lipoate biosynthesis,7,0
48,Glycolysis,7,0
49,Thiamine biosynthesis!!!Menaquinone biosynthesis,6,1
50,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Pyrimidine degradation,7,0
51,Lysine biosynthesis!!!Fatty acid biosynthesis,6,0
52,Urea cycle!!!Glycine cleavagePyruvate oxidation,6,0
53,Pyrimidine salvagetRNA modification!!!tRNA modification,6,0
54,Lysine biosynthesis!!!Lysine biosynthesis,7,0
55,16S rRNA modification,7,0
56,Cysteine biosynthesis!!!Molybdopterin biosynthesis,7,0
57,Ubiquinone biosynthesis!!!NADH dehydrogenase,4,2
58,Histidine biosynthesis!!!Histidine biosynthesis,6,1
59,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Fatty acid biosynthesis,7,0
60,"TCA cycle, glyoxylate bypass",7,0
61,Menaquinone biosynthesis!!!Pantothenate/CoA biosynthesis,7,0
62,Cobalamine/B12 biosynthesis!!!2Fe2S,7,0
63,Cysteine biosynthesis!!!CRISPR-Cas system,7,0
64,Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation!!!Ubiquinone biosynthesis,4,2
65,Heme biosynthesis!!!Aminoacyl-tRNA synthetases,4,1
66,Histidine biosynthesis,3,0
67,Molybdopterin biosynthesis,7,0
68,Archaeal ribosomal proteins,3,2
69,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation,6,0
70,"Isoleucine, leucine, valine biosynthesis",7,0
71,Phospholipid biosynthesis!!!Isoprenoid biosynthesis,7,0
72,Cysteine biosynthesis!!!NADH dehydrogenase,7,0
73,Methionine biosynthesis,6,1
74,Pyrimidine salvagetRNA modification!!!Menaquinone biosynthesis,7,0
75,Fatty acid biosynthesis!!!Lysine biosynthesis,5,0
76,Cysteine biosynthesis!!!Proline biosynthesis,6,1
77,Proline degradation,6,1
78,Heme biosynthesis!!!Cobalamine/B12 biosynthesis,7,0
79,Glutamine biosynthesis!!!NADH dehydrogenase,6,0
80,"Isoleucine, leucine, valine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway",7,0
81,Pyrimidine biosynthesis!!!Pyrimidine biosynthesis,6,0
82,Menaquinone biosynthesis!!!Lipid A biosynthesis,4,1
83,Pyrimidine degradation!!!NADH dehydrogenase,6,0
84,Pyrimidine degradation,7,0
85,Purine biosynthesis!!!Arginine biosynthesis,7,0
86,"Isoleucine, leucine, valine biosynthesis!!!Isoleucine, leucine, valine biosynthesis",6,0
87,Purine biosynthesis,7,0
88,NADH dehydrogenase!!!Na+-translocating Fd:NADH oxidoreductase,6,0
89,Fatty acid biosynthesis!!!Lipid A biosynthesis,6,1
90,Menaquinone biosynthesis!!!Ubiquinone biosynthesis,7,0
91,Thiamine biosynthesis!!!Thiamine biosynthesis,5,1
92,NADH dehydrogenase!!!tRNA modification,7,0
93,tRNA modification,3,1
94,Pyrimidine biosynthesis!!!Purine salvage,7,0
95,Thiamine biosynthesis!!!Urea cycle,7,0
96,Arginine biosynthesis!!!Biotin biosynthesis,4,2
97,Isoprenoid biosynthesis,6,0
98,Purine biosynthesis!!!Purine biosynthesis,6,1
99,Lysine biosynthesis,7,0
100,Menaquinone biosynthesis!!!Menaquinone biosynthesis,5,0
101,Urea cycle!!!RNA polymerase,7,0
102,tRNA modification!!!Pyrimidine salvagetRNA modification,7,0
103,Purine biosynthesis!!!Purine biosynthesis!!!Purine biosynthesis,7,0
104,Mureine biosynthesis!!!tRNA modification,3,1
105,Folate biosynthesis!!!Fatty acid biosynthesis,1,2
106,Lysine biosynthesisTCA cycle,7,0
107,Cobalamine/B12 biosynthesis!!!Heme biosynthesis!!!Cobalamine/B12 biosynthesis,7,0
108,Mureine biosynthesis,4,1
109,Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis,5,1
110,Fatty acid biosynthesis!!!Isoprenoid biosynthesis,3,2
111,Fatty acid biosynthesis!!!Fatty acid biosynthesis!!!Lysine biosynthesis,7,0
