,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Glutamine biosynthesis,7,5
1,Fatty acid biosynthesis,3,7
2,Arginine biosynthesis,4,7
3,Pyrimidine biosynthesis,7,6
4,Isoprenoid biosynthesis,4,7
5,3D,5,3
6,Aminoacyl-tRNA synthetases,2,9
7,Menaquinone biosynthesis,6,5
8,Urea cycle,6,5
9,A/V-type ATP synthase,5,6
10,Threonine biosynthesis,6,2
11,Heme biosynthesis,4,7
12,Lipid A biosynthesis,7,6
13,NAD biosynthesis,5,7
14,Mureine biosynthesis,5,5
15,Pentose phosphate pathway,6,8
16,Ribosome 50S subunit,6,1
17,2Fe2S,6,5
18,Pyrimidine salvagetRNA modification,3,7
19,Proline biosynthesis,10,3
20,Pyridoxal phosphate biosynthesis,5,9
21,Phospholipid biosynthesis,2,9
22,Purine salvage,6,3
23,Thiamine biosynthesis,4,11
24,Na+-translocating Fd:NADH oxidoreductase,4,6
25,Pantothenate/CoA biosynthesis,1,13
26,Methionine biosynthesis,3,8
27,"Histidine biosynthesis, Purine biosynthesis",6,7
28,Lipoate biosynthesis,5,4
29,16S rRNA modification,5,6
30,"TCA cycle, glyoxylate bypass",5,12
31,Glycine cleavage,4,9
32,CRISPR-Cas system,7,5
33,Biotin biosynthesis,9,3
34,Ubiquinone biosynthesis,6,8
35,Lysine biosynthesisTCA cycle,9,7
36,Thymidylate biosynthesis,8,4
37,Ribosome 30S subunit,7,4
38,RNA polymerase,13,4
39,Glycine cleavagePyruvate oxidation,6,6
40,Lysine biosynthesis,8,4
41,Archaeal ribosomal proteins,6,4
42,Translation factors,4,8
43,Riboflavin/FAD biosynthesis,4,7
44,23S rRNA modification,2,8
45,Aromatic amino acid biosynthesis,8,6
46,FoF1-type ATP synthase,3,9
47,Gluconeogenesis,10,5
48,Purine biosynthesis,6,4
49,Unannotated,1,6
50,Pyruvate oxidation,6,7
51,Non-phosphorylated Entner-Doudoroff pathway,6,6
52,"Isoleucine, leucine, valine biosynthesis",5,3
53,Proline degradation,5,10
54,Serine biosynthesis,6,4
55,Molybdopterin biosynthesis,9,3
56,Na+-translocating NADH dehydrogenase,6,5
57,Pyrimidine salvage,5,10
58,Unknown,7,6
59,NADH dehydrogenase,2,8
60,Asparagine biosynthesis,4,4
61,tRNA modification,3,8
62,Folate biosynthesis,4,3
63,Cysteine biosynthesis,5,11
64,TCA cycle,4,7
65,Entner-Doudoroff pathway,5,9
66,Histidine biosynthesis,7,6
67,Pyrimidine degradation,5,7
68,Glycolysis,1,5
69,Cobalamine/B12 biosynthesis,5,8
