,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Methionine biosynthesis,5,7
1,Heme biosynthesis,6,8
2,Pyridoxal phosphate biosynthesis,8,5
3,Thiamine biosynthesis,13,1
4,Urea cycle,10,2
5,Pyrimidine salvagetRNA modification,2,9
6,Fatty acid biosynthesis,3,9
7,Thymidylate biosynthesis,8,6
8,Molybdopterin biosynthesis,8,2
9,CRISPR-Cas system,5,4
10,Serine biosynthesis,5,6
11,Entner-Doudoroff pathway,6,7
12,Glycine cleavage,5,8
13,Cysteine biosynthesis,4,10
14,Pyrimidine degradation,11,3
15,A/V-type ATP synthase,4,5
16,Pyrimidine biosynthesis,7,7
17,16S rRNA modification,6,6
18,tRNA modification,6,5
19,TCA cycle,8,3
20,Unknown,4,4
21,Glycine cleavagePyruvate oxidation,9,3
22,Arginine biosynthesis,7,7
23,Translation factors,5,7
24,Purine biosynthesis,7,5
25,Ubiquinone biosynthesis,7,5
26,Ribosome 50S subunit,4,2
27,Gluconeogenesis,4,9
28,Unannotated,6,10
29,Biotin biosynthesis,7,6
30,"Isoleucine, leucine, valine biosynthesis",6,9
31,Lipoate biosynthesis,5,7
32,"Histidine biosynthesis, Purine biosynthesis",7,8
33,Mureine biosynthesis,7,8
34,Isoprenoid biosynthesis,6,6
35,Non-phosphorylated Entner-Doudoroff pathway,4,8
36,Purine salvage,7,8
37,Na+-translocating Fd:NADH oxidoreductase,6,7
38,Proline biosynthesis,5,8
39,Ribosome 30S subunit,5,5
40,Lysine biosynthesisTCA cycle,5,7
41,Cobalamine/B12 biosynthesis,7,6
42,Threonine biosynthesis,5,8
43,3D,4,9
44,NAD biosynthesis,8,6
45,Lipid A biosynthesis,3,7
46,Proline degradation,8,7
47,Aromatic amino acid biosynthesis,6,7
48,Folate biosynthesis,5,8
49,"TCA cycle, glyoxylate bypass",6,3
50,Riboflavin/FAD biosynthesis,5,8
51,Na+-translocating NADH dehydrogenase,4,10
52,Asparagine biosynthesis,3,10
53,RNA polymerase,4,9
54,Phospholipid biosynthesis,9,4
55,Aminoacyl-tRNA synthetases,4,9
56,Menaquinone biosynthesis,4,8
57,Histidine biosynthesis,6,9
58,Pantothenate/CoA biosynthesis,4,8
59,Archaeal ribosomal proteins,5,4
60,Pyrimidine salvage,12,3
61,FoF1-type ATP synthase,9,5
62,2Fe2S,5,10
63,Pentose phosphate pathway,10,2
64,Pyruvate oxidation,10,5
65,23S rRNA modification,7,5
66,Lysine biosynthesis,7,6
67,Glycolysis,5,6
68,NADH dehydrogenase,4,8
69,Glutamine biosynthesis,4,8
