,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
0,No,Bacteroidota,0.912,0.893,0.806,0.859
1,No,Chloroflexota,0.993,0.935,0.348,1.0
2,No,Proteobacteria,0.792,0.783,0.482,0.737
3,No,Synergistota,0.745,0.774,0.2,0.25
4,No,Verrucomicrobiota,0.996,0.979,0.875,1.0
5,No,Cloacimonadota,1.0,0.958,0.667,1.0
6,No,Campylobacterota,0.928,0.849,0.636,0.824
7,No,Thermotogota,0.689,0.78,0.3,0.6
8,No,Desulfobacterota,0.987,0.954,0.692,0.643
9,No,Firmicutes_C,0.899,0.797,0.712,0.967
10,No,Deinococcota,0.981,0.925,0.933,0.966
11,No,Nitrospirota,1.0,1.0,1.0,1.0
12,No,Firmicutes_A,0.829,0.754,0.47,0.819
13,No,Cyanobacteriota,1.0,0.99,0.667,1.0
14,No,Spirochaetota,0.986,0.898,0.267,1.0
15,No,Actinobacteriota,0.926,0.861,0.61,0.911
16,No,Firmicutes,0.847,0.791,0.698,0.667
17,No,Fusobacteriota,0.771,0.674,0.542,0.812
18,Yes,Firmicutes_C,0.407,0.466,0.408,0.258
19,Yes,Thermotogota,0.597,0.732,0.2,0.4
20,Yes,Proteobacteria,0.496,0.579,0.204,0.361
21,Yes,Fusobacteriota,0.546,0.419,0.333,0.562
22,Yes,Desulfobacterota,0.568,0.731,0.102,0.357
23,Yes,Campylobacterota,0.5,0.616,0.238,0.294
24,Yes,Deinococcota,0.47,0.7,0.73,0.931
25,Yes,Cloacimonadota,0.386,0.875,0.0,0.0
26,Yes,Firmicutes,0.441,0.541,0.265,0.205
27,Yes,Actinobacteriota,0.493,0.428,0.206,0.619
28,Yes,Nitrospirota,0.64,0.294,0.08,0.667
29,Yes,Verrucomicrobiota,0.514,0.649,0.11,0.19
30,Yes,Bacteroidota,0.505,0.634,0.322,0.175
31,Yes,Cyanobacteriota,0.302,0.837,0.0,0.0
32,Yes,Synergistota,0.412,0.774,0.2,0.25
33,Yes,Firmicutes_A,0.503,0.34,0.224,0.796
34,Yes,Chloroflexota,0.558,0.818,0.075,0.375
35,Yes,Spirochaetota,0.543,0.852,0.0,0.0
