,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
0,No,Bacteroidota,0.914,0.955,0.995,0.958
1,No,Bacteroidota,0.916,0.865,0.998,0.864
2,No,Bacteroidota,0.941,0.92,0.997,0.921
3,No,Bacteroidota,0.944,0.939,0.997,0.941
4,No,Bacteroidota,0.907,0.851,0.997,0.85
5,No,Proteobacteria,0.92,0.925,0.996,0.927
6,No,Proteobacteria,0.968,0.923,0.999,0.922
7,No,Proteobacteria,0.948,0.93,0.998,0.93
8,No,Proteobacteria,0.944,0.941,0.998,0.941
9,No,Proteobacteria,0.921,0.928,0.996,0.93
10,No,Verrucomicrobiota,1.0,1.0,1.0,1.0
11,No,Verrucomicrobiota,1.0,1.0,1.0,1.0
12,No,Verrucomicrobiota,0.992,0.984,1.0,0.984
13,No,Verrucomicrobiota,0.992,0.984,1.0,0.984
14,No,Verrucomicrobiota,1.0,1.0,1.0,1.0
15,No,Firmicutes,0.821,0.95,0.995,0.954
16,No,Firmicutes,0.925,0.905,0.998,0.906
17,No,Firmicutes,0.832,0.921,0.996,0.924
18,No,Firmicutes,0.788,0.935,0.995,0.939
19,No,Firmicutes,0.902,0.934,0.996,0.937
20,No,Firmicutes_C,0.88,0.823,0.982,0.831
21,No,Firmicutes_C,0.711,0.928,0.963,0.961
22,No,Firmicutes_C,0.728,0.948,0.964,0.982
23,No,Firmicutes_C,0.834,0.843,0.988,0.846
24,No,Firmicutes_C,0.771,0.92,0.968,0.948
25,No,Firmicutes_A,0.855,0.838,0.958,0.843
26,No,Firmicutes_A,0.807,0.894,0.921,0.955
27,No,Firmicutes_A,0.849,0.84,0.951,0.852
28,No,Firmicutes_A,0.845,0.85,0.94,0.877
29,No,Firmicutes_A,0.833,0.854,0.94,0.882
30,No,Actinobacteriota,0.967,0.959,0.993,0.962
31,No,Actinobacteriota,0.963,0.954,0.993,0.957
32,No,Actinobacteriota,0.962,0.968,0.995,0.971
33,No,Actinobacteriota,0.968,0.943,0.995,0.941
34,No,Actinobacteriota,0.965,0.961,0.993,0.965
35,No,Campylobacterota,0.0,0.0,0.0,0.0
36,No,Campylobacterota,0.0,0.0,0.0,0.0
37,No,Campylobacterota,0.333,0.25,0.5,0.333
38,No,Campylobacterota,0.0,0.25,0.5,0.333
39,No,Campylobacterota,0.667,0.75,0.75,1.0
40,Yes,Bacteroidota,0.513,0.653,0.976,0.662
41,Yes,Bacteroidota,0.552,0.746,0.981,0.755
42,Yes,Bacteroidota,0.482,0.218,0.966,0.208
43,Yes,Bacteroidota,0.445,0.747,0.973,0.763
44,Yes,Bacteroidota,0.57,0.322,0.986,0.312
45,Yes,Verrucomicrobiota,0.385,0.935,0.983,0.951
46,Yes,Verrucomicrobiota,0.713,0.403,1.0,0.393
47,Yes,Verrucomicrobiota,0.393,0.887,0.982,0.902
48,Yes,Verrucomicrobiota,0.344,0.839,0.981,0.852
49,Yes,Verrucomicrobiota,0.451,0.952,0.983,0.967
50,Yes,Campylobacterota,0.0,0.25,0.5,0.333
51,Yes,Campylobacterota,0.0,0.25,0.5,0.333
52,Yes,Campylobacterota,0.333,0.25,0.5,0.333
53,Yes,Campylobacterota,0.333,0.5,0.667,0.667
54,Yes,Campylobacterota,0.0,0.25,0.5,0.333
55,Yes,Firmicutes,0.561,0.756,0.99,0.761
56,Yes,Firmicutes,0.529,0.885,0.988,0.895
57,Yes,Firmicutes,0.54,0.667,0.989,0.67
58,Yes,Firmicutes,0.539,0.638,0.989,0.641
59,Yes,Firmicutes,0.529,0.315,0.991,0.309
60,Yes,Actinobacteriota,0.501,0.643,0.914,0.671
61,Yes,Actinobacteriota,0.424,0.58,0.902,0.605
62,Yes,Actinobacteriota,0.494,0.511,0.907,0.517
63,Yes,Actinobacteriota,0.511,0.557,0.913,0.568
64,Yes,Actinobacteriota,0.504,0.591,0.912,0.61
65,Yes,Firmicutes_A,0.491,0.309,0.842,0.214
66,Yes,Firmicutes_A,0.495,0.265,0.832,0.152
67,Yes,Firmicutes_A,0.481,0.398,0.824,0.356
68,Yes,Firmicutes_A,0.502,0.294,0.809,0.205
69,Yes,Firmicutes_A,0.529,0.46,0.842,0.436
70,Yes,Firmicutes_C,0.511,0.925,0.954,0.969
71,Yes,Firmicutes_C,0.451,0.54,0.946,0.549
72,Yes,Firmicutes_C,0.408,0.41,0.945,0.406
73,Yes,Firmicutes_C,0.465,0.908,0.955,0.948
74,Yes,Firmicutes_C,0.426,0.55,0.947,0.56
75,Yes,Proteobacteria,0.499,0.127,0.957,0.106
76,Yes,Proteobacteria,0.485,0.442,0.969,0.44
77,Yes,Proteobacteria,0.555,0.287,0.983,0.271
78,Yes,Proteobacteria,0.493,0.216,0.968,0.201
79,Yes,Proteobacteria,0.574,0.668,0.974,0.677
