,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
0,No,Firmicutes_C,0.989,0.956,0.922,0.992
1,No,Firmicutes_C,0.999,0.972,0.952,0.992
2,No,Firmicutes_C,0.975,0.964,0.966,0.958
3,No,Firmicutes_C,0.99,0.98,0.975,0.983
4,No,Firmicutes_C,0.982,0.956,0.922,0.992
5,No,Campylobacterota,0.959,0.89,0.696,0.941
6,No,Campylobacterota,0.925,0.904,0.727,0.941
7,No,Campylobacterota,0.965,0.918,0.824,0.824
8,No,Campylobacterota,0.971,0.932,0.833,0.882
9,No,Campylobacterota,0.974,0.932,0.833,0.882
10,No,Cloacimonadota,0.977,0.917,0.5,0.5
11,No,Cloacimonadota,1.0,1.0,1.0,1.0
12,No,Cloacimonadota,1.0,0.958,1.0,0.5
13,No,Cloacimonadota,1.0,0.958,0.667,1.0
14,No,Cloacimonadota,0.977,0.917,0.5,0.5
15,No,Desulfuromonadota,1.0,1.0,1.0,1.0
16,No,Desulfuromonadota,1.0,0.941,0.0,0.0
17,No,Desulfuromonadota,0.969,0.941,0.5,1.0
18,No,Desulfuromonadota,1.0,1.0,1.0,1.0
19,No,Desulfuromonadota,0.969,0.941,0.5,1.0
20,No,Planctomycetota,0.994,0.989,0.5,0.5
21,No,Planctomycetota,0.996,0.994,0.667,1.0
22,No,Planctomycetota,0.74,0.989,0.5,0.5
23,No,Planctomycetota,0.492,0.983,0.0,0.0
24,No,Planctomycetota,0.74,0.989,0.5,0.5
25,No,Coprothermobacterota,0.667,0.5,0.667,0.667
26,No,Coprothermobacterota,1.0,0.75,1.0,0.667
27,No,Coprothermobacterota,0.0,0.75,0.75,1.0
28,No,Coprothermobacterota,1.0,1.0,1.0,1.0
29,No,Coprothermobacterota,0.625,0.75,0.667,1.0
30,No,Deinococcota,0.998,0.95,1.0,0.931
31,No,Deinococcota,0.981,0.95,1.0,0.931
32,No,Deinococcota,0.959,0.925,1.0,0.897
33,No,Deinococcota,0.97,0.925,1.0,0.897
34,No,Deinococcota,1.0,0.95,1.0,0.931
35,No,Proteobacteria,0.954,0.923,0.784,0.861
36,No,Proteobacteria,0.962,0.893,0.679,0.916
37,No,Proteobacteria,0.956,0.921,0.787,0.842
38,No,Proteobacteria,0.95,0.921,0.785,0.849
39,No,Proteobacteria,0.94,0.915,0.776,0.822
40,No,Fusobacteriota,0.926,0.837,0.765,0.812
41,No,Fusobacteriota,0.86,0.744,0.619,0.812
42,No,Fusobacteriota,0.955,0.907,0.833,0.938
43,No,Fusobacteriota,0.961,0.837,0.8,0.75
44,No,Fusobacteriota,0.919,0.86,0.778,0.875
45,No,Aquificota,1.0,1.0,1.0,1.0
46,No,Aquificota,1.0,1.0,1.0,1.0
47,No,Aquificota,1.0,1.0,1.0,1.0
48,No,Aquificota,1.0,1.0,1.0,1.0
49,No,Aquificota,1.0,1.0,1.0,1.0
50,No,Dictyoglomota,1.0,1.0,1.0,1.0
51,No,Dictyoglomota,1.0,1.0,1.0,1.0
52,No,Dictyoglomota,1.0,1.0,1.0,1.0
53,No,Dictyoglomota,1.0,1.0,1.0,1.0
54,No,Dictyoglomota,1.0,1.0,1.0,1.0
55,No,Verrucomicrobiota,0.988,0.993,0.976,0.976
56,No,Verrucomicrobiota,1.0,0.996,0.977,1.0
57,No,Verrucomicrobiota,1.0,0.996,0.977,1.0
58,No,Verrucomicrobiota,0.986,0.993,0.976,0.976
59,No,Verrucomicrobiota,0.988,0.996,1.0,0.976
60,No,Acidobacteriota,1.0,1.0,1.0,1.0
61,No,Acidobacteriota,1.0,1.0,1.0,1.0
62,No,Acidobacteriota,1.0,1.0,1.0,1.0
63,No,Acidobacteriota,1.0,1.0,1.0,1.0
64,No,Acidobacteriota,1.0,0.987,0.333,1.0
65,No,Thermotogota,0.833,0.902,0.6,0.6
66,No,Thermotogota,1.0,1.0,1.0,1.0
67,No,Thermotogota,0.708,0.902,0.667,0.4
68,No,Thermotogota,0.864,0.976,1.0,0.8
69,No,Thermotogota,0.858,0.927,1.0,0.4
70,No,Actinobacteriota,0.988,0.967,0.89,0.958
71,No,Actinobacteriota,0.984,0.947,0.849,0.905
72,No,Actinobacteriota,0.987,0.956,0.844,0.964
73,No,Actinobacteriota,0.987,0.957,0.856,0.952
74,No,Actinobacteriota,0.99,0.975,0.93,0.952
75,No,Firmicutes_A,0.981,0.961,0.911,0.913
76,No,Firmicutes_A,0.986,0.961,0.88,0.954
77,No,Firmicutes_A,0.988,0.968,0.924,0.934
78,No,Firmicutes_A,0.979,0.965,0.937,0.903
79,No,Firmicutes_A,0.987,0.962,0.899,0.934
80,No,Chloroflexota,0.998,0.978,0.615,1.0
81,No,Chloroflexota,0.994,0.97,0.533,1.0
82,No,Chloroflexota,0.859,0.965,0.5,0.625
83,No,Chloroflexota,0.926,0.952,0.412,0.875
84,No,Chloroflexota,0.867,0.991,1.0,0.75
85,No,Nitrospirota,1.0,1.0,1.0,1.0
86,No,Nitrospirota,1.0,1.0,1.0,1.0
87,No,Nitrospirota,1.0,1.0,1.0,1.0
88,No,Nitrospirota,1.0,1.0,1.0,1.0
89,No,Nitrospirota,1.0,1.0,1.0,1.0
90,No,Desulfobacterota,0.883,0.97,0.786,0.786
91,No,Desulfobacterota,0.924,0.98,0.857,0.857
92,No,Desulfobacterota,0.853,0.97,0.9,0.643
93,No,Desulfobacterota,0.957,0.97,0.75,0.857
94,No,Desulfobacterota,0.962,0.985,0.923,0.857
95,No,Synergistota,0.843,0.935,0.75,0.75
96,No,Synergistota,0.773,0.839,0.429,0.75
97,No,Synergistota,0.611,0.839,0.333,0.25
98,No,Synergistota,0.926,0.871,0.5,0.5
99,No,Synergistota,0.898,0.839,0.429,0.75
100,No,Firmicutes,0.944,0.86,0.733,0.917
101,No,Firmicutes,0.948,0.908,0.838,0.902
102,No,Firmicutes,0.945,0.901,0.816,0.909
103,No,Firmicutes,0.954,0.865,0.797,0.803
104,No,Firmicutes,0.958,0.921,0.869,0.902
105,No,Firmicutes_F,0.857,0.875,0.0,0.0
106,No,Firmicutes_F,1.0,0.75,0.333,1.0
107,No,Firmicutes_F,1.0,1.0,1.0,1.0
108,No,Firmicutes_F,1.0,1.0,1.0,1.0
109,No,Firmicutes_F,1.0,0.875,0.0,0.0
110,No,Spirochaetota,1.0,1.0,1.0,1.0
111,No,Spirochaetota,1.0,0.972,0.571,1.0
112,No,Spirochaetota,0.743,0.981,1.0,0.5
113,No,Spirochaetota,1.0,1.0,1.0,1.0
114,No,Spirochaetota,0.738,0.972,0.667,0.5
115,No,Bacteroidota,0.986,0.952,0.885,0.969
116,No,Bacteroidota,0.987,0.968,0.941,0.955
117,No,Bacteroidota,0.986,0.961,0.92,0.955
118,No,Bacteroidota,0.984,0.959,0.914,0.955
119,No,Bacteroidota,0.987,0.967,0.97,0.921
120,No,Cyanobacteriota,1.0,0.98,0.5,1.0
121,No,Cyanobacteriota,0.74,0.98,0.5,0.5
122,No,Cyanobacteriota,0.979,0.98,0.0,0.0
123,No,Cyanobacteriota,1.0,0.99,0.667,1.0
124,No,Cyanobacteriota,0.992,0.969,0.4,1.0
125,Yes,Firmicutes_A,0.504,0.606,0.233,0.337
126,Yes,Firmicutes_A,0.495,0.66,0.233,0.232
127,Yes,Firmicutes_A,0.482,0.596,0.204,0.281
128,Yes,Firmicutes_A,0.501,0.468,0.221,0.554
129,Yes,Firmicutes_A,0.492,0.466,0.215,0.528
130,Yes,Cloacimonadota,0.955,0.917,0.5,0.5
131,Yes,Cloacimonadota,0.591,0.833,0.25,0.5
132,Yes,Cloacimonadota,0.955,0.875,0.4,1.0
133,Yes,Cloacimonadota,0.784,0.833,0.0,0.0
134,Yes,Cloacimonadota,0.602,0.75,0.167,0.5
135,Yes,Spirochaetota,0.56,0.926,0.0,0.0
136,Yes,Spirochaetota,0.739,0.907,0.125,0.25
137,Yes,Spirochaetota,0.496,0.926,0.0,0.0
138,Yes,Spirochaetota,0.667,0.907,0.0,0.0
139,Yes,Spirochaetota,0.394,0.917,0.0,0.0
140,Yes,Firmicutes_C,0.514,0.51,0.481,0.308
141,Yes,Firmicutes_C,0.496,0.518,0.494,0.325
142,Yes,Firmicutes_C,0.497,0.51,0.487,0.475
143,Yes,Firmicutes_C,0.522,0.522,0.5,0.292
144,Yes,Firmicutes_C,0.484,0.47,0.458,0.592
145,Yes,Planctomycetota,0.455,0.978,0.0,0.0
146,Yes,Planctomycetota,0.464,0.967,0.0,0.0
147,Yes,Planctomycetota,0.469,0.978,0.0,0.0
148,Yes,Planctomycetota,0.478,0.972,0.0,0.0
149,Yes,Planctomycetota,0.48,0.961,0.0,0.0
150,Yes,Dictyoglomota,0.0,0.0,0.0,0.0
151,Yes,Dictyoglomota,1.0,0.667,0.5,1.0
152,Yes,Dictyoglomota,0.5,0.333,0.0,0.0
153,Yes,Dictyoglomota,0.5,0.333,0.0,0.0
154,Yes,Dictyoglomota,1.0,1.0,1.0,1.0
155,Yes,Acidobacteriota,0.486,0.987,0.0,0.0
156,Yes,Acidobacteriota,0.48,0.993,0.0,0.0
157,Yes,Acidobacteriota,0.486,0.993,0.0,0.0
158,Yes,Acidobacteriota,0.486,0.993,0.0,0.0
159,Yes,Acidobacteriota,0.486,0.987,0.0,0.0
160,Yes,Desulfobacterota,0.457,0.772,0.081,0.214
161,Yes,Desulfobacterota,0.378,0.822,0.0,0.0
162,Yes,Desulfobacterota,0.537,0.853,0.059,0.071
163,Yes,Desulfobacterota,0.394,0.863,0.067,0.071
164,Yes,Desulfobacterota,0.621,0.878,0.222,0.286
165,Yes,Fusobacteriota,0.562,0.581,0.333,0.125
166,Yes,Fusobacteriota,0.515,0.512,0.391,0.562
167,Yes,Fusobacteriota,0.558,0.535,0.417,0.625
168,Yes,Fusobacteriota,0.708,0.674,0.6,0.375
169,Yes,Fusobacteriota,0.414,0.372,0.238,0.312
170,Yes,Cyanobacteriota,0.479,0.98,0.0,0.0
171,Yes,Cyanobacteriota,0.406,0.949,0.0,0.0
172,Yes,Cyanobacteriota,0.427,0.969,0.0,0.0
173,Yes,Cyanobacteriota,0.354,0.949,0.0,0.0
174,Yes,Cyanobacteriota,0.266,0.908,0.0,0.0
175,Yes,Firmicutes_F,1.0,1.0,1.0,1.0
176,Yes,Firmicutes_F,0.857,0.75,0.0,0.0
177,Yes,Firmicutes_F,0.857,0.875,0.0,0.0
178,Yes,Firmicutes_F,1.0,1.0,1.0,1.0
