,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
0,No,Verrucomicrobiota,0.983,0.982,0.911,0.976
1,No,Verrucomicrobiota,0.998,0.989,0.933,1.0
2,No,Verrucomicrobiota,1.0,0.996,0.977,1.0
3,No,Verrucomicrobiota,0.977,0.972,0.854,0.976
4,No,Verrucomicrobiota,0.999,0.986,0.932,0.976
5,No,Aquificota,1.0,0.909,0.667,1.0
6,No,Aquificota,1.0,1.0,1.0,1.0
7,No,Aquificota,0.944,0.909,0.667,1.0
8,No,Aquificota,1.0,1.0,1.0,1.0
9,No,Aquificota,1.0,1.0,1.0,1.0
10,No,Firmicutes_F,1.0,0.875,0.5,1.0
11,No,Firmicutes_F,0.929,0.625,0.25,1.0
12,No,Firmicutes_F,1.0,1.0,1.0,1.0
13,No,Firmicutes_F,1.0,0.75,0.333,1.0
14,No,Firmicutes_F,1.0,1.0,1.0,1.0
15,No,Cloacimonadota,1.0,1.0,1.0,1.0
16,No,Cloacimonadota,1.0,0.958,0.667,1.0
17,No,Cloacimonadota,0.932,0.708,0.222,1.0
18,No,Cloacimonadota,0.955,0.917,0.5,1.0
19,No,Cloacimonadota,1.0,0.958,0.667,1.0
20,No,Nitrospirota,0.952,0.912,0.5,1.0
21,No,Nitrospirota,1.0,0.941,0.6,1.0
22,No,Nitrospirota,1.0,1.0,1.0,1.0
23,No,Nitrospirota,0.973,0.824,0.333,1.0
24,No,Nitrospirota,1.0,0.912,0.5,1.0
25,No,Cyanobacteriota,0.995,0.98,0.0,0.0
26,No,Cyanobacteriota,0.708,0.969,0.333,0.5
27,No,Cyanobacteriota,0.724,0.98,0.5,0.5
28,No,Cyanobacteriota,0.995,0.98,0.5,1.0
29,No,Cyanobacteriota,0.992,0.99,0.667,1.0
30,No,Acidobacteriota,1.0,0.96,0.143,1.0
31,No,Acidobacteriota,0.493,0.987,0.0,0.0
32,No,Acidobacteriota,0.497,0.993,0.0,0.0
33,No,Acidobacteriota,0.966,0.846,0.042,1.0
34,No,Acidobacteriota,0.993,0.96,0.143,1.0
35,No,Synergistota,0.731,0.806,0.333,0.5
36,No,Synergistota,0.833,0.806,0.375,0.75
37,No,Synergistota,0.741,0.742,0.167,0.25
38,No,Synergistota,0.852,0.774,0.333,0.75
39,No,Synergistota,0.741,0.742,0.25,0.5
40,No,Thermotogota,0.908,0.854,0.429,0.6
41,No,Thermotogota,0.844,0.805,0.286,0.4
42,No,Thermotogota,0.894,0.854,0.455,1.0
43,No,Thermotogota,0.806,0.902,0.571,0.8
44,No,Thermotogota,0.864,0.707,0.267,0.8
45,No,Actinobacteriota,0.919,0.908,0.769,0.792
46,No,Actinobacteriota,0.857,0.883,0.787,0.595
47,No,Actinobacteriota,0.928,0.838,0.565,0.952
48,No,Actinobacteriota,0.903,0.904,0.781,0.744
49,No,Actinobacteriota,0.929,0.874,0.645,0.875
50,No,Campylobacterota,0.902,0.836,0.6,0.882
51,No,Campylobacterota,0.921,0.808,0.565,0.765
52,No,Campylobacterota,0.82,0.795,0.55,0.647
53,No,Campylobacterota,0.878,0.822,0.591,0.765
54,No,Campylobacterota,0.916,0.904,0.778,0.824
