,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Short chain fatty acids transporter,17,0
1,"Ribonucleotide reductase beta subunit, ferritin-like domain",13,2
2,Co-chaperonin GroES (HSP10),18,0
3,"Predicted nucleic-acid-binding protein, contains PIN domain",21,0
4,"Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component",20,1
5,UDP-N-acetylmuramyl tripeptide synthase,19,0
6,"Uncharacterized membrane protein YjjP, DUF1212 family",15,3
7,Molybdopterin synthase sulfur carrier subunit MoaD,18,0
8,Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase),20,0
9,4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH,13,1
10,"Predicted secreted protein YlbL, contains PDZ domain",15,1
11,"Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain",18,2
12,"ABC-type antimicrobial peptide export system, ATPase component SapF",14,3
13,GTPase,15,3
14,Predicted secreted (periplasmic) protein,20,0
15,UTP:GlnB (protein PII) uridylyltransferase,19,0
16,"Small heat shock protein IbpA, HSP20 family",13,3
17,Ribosomal protein S27AE,20,0
18,"Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing",16,1
19,"Uncharacterized conserved protein, DUF1415 family",18,0
20,"Phosphoenolpyruvate carboxykinase, ATP-dependent",19,0
21,"Uncharacterized conserved protein, DUF2281 domain",15,1
22,"Sugar isomerase-related protein YecE, UPF0759/DUF72 family",12,3
23,Na+/proline symporter,21,0
24,Uroporphyrinogen-III synthase,20,0
25,Mu-like prophage protein gpG,13,2
26,"Uncharacterized conserved protein, DUF1737 domain",19,1
27,UDP-glucose 4-epimerase,15,1
28,Mu-like prophage DNA circulation protein,14,5
29,Flagellar motor switch protein FliM,14,2
30,"Presenilin-like membrane protease, A22 family",20,1
31,Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis),16,2
32,"CRISPR/Cas system CMR subunit Cmr6, Cas7 group, RAMP superfamily",15,2
33,"Predicted DNA-binding protein, potential antitoxin AbrB/MazE fold",12,3
34,"Tetrahydromethanopterin S-methyltransferase, subunit B",21,0
35,D-tyrosyl-tRNA(Tyr) deacylase,19,0
36,"Uncharacterized conserved protein YccT, UPF0319 family",11,6
37,"ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family",20,1
38,5-methylcytosine-specific restriction endonuclease McrA,19,1
39,CRISPR/Cas system-associated endonuclease Cas3-HD,15,4
40,Nitroreductase,18,1
41,Membrane-bound lytic murein transglycosylase,18,2
42,"Bacteriophage DNA transposition protein, AAA+ family ATPase",17,3
43,Predicted esterase of the alpha/beta hydrolase fold,20,0
44,"Ribosomal 50S subunit-associated protein YjgA, DUF615 family",15,0
45,Uncharacterized membrane protein YhdT,13,1
46,Peptodoglycan polymerase FtsW/RodA/SpoVE,15,2
47,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase,18,2
48,"Uncharacterized conserved protein, conains N-terminal glutamine amidotransferase (GATase1)-like domain",16,1
49,"Uncharacterized conserved protein, DUF2126 family",13,3
50,"Uncharacterized membrane protein, DUF1616 domain",20,0
51,Flagellar basal body L-ring protein FlgH,17,2
52,Mitochondrial DNA-directed RNA polymerase,15,3
53,Low temperature requirement protein LtrA (function unknown),17,1
54,"ABC-type Mn2+/Zn2+ transport system, ATPase component",20,0
55,"DNA-binding transcriptional regulator YhcF, GntR family",11,1
56,Alpha-galactosidase,20,0
57,"Predicted DNA-binding protein YlxM, UPF0122 family",16,3
58,Dolichyl-phosphate-mannose--protein O-mannosyl transferase,17,1
59,Plasmid maintenance system killer protein,20,0
60,Mu-like prophage I protein,12,3
61,NAD(P)H-dependent FMN reductase,15,2
62,"Uncharacterized conserved protein YlbG, UPF0298 family",18,1
63,rRNA maturation endonuclease Nob1,20,0
64,"DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains",17,1
65,"CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group",12,2
66,"Uncharacterized conserved protein, DUF1150 family",15,1
