,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Na+/melibiose symporter or related transporter,1,1
1,"S-layer protein MJ0795, predicted component of type IV pili-like system",1,1
2,Flavin-binding protein dodecin,2,1
3,"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family",1,1
4,"Type III secretory pathway, EscS/YscS component",0,1
5,Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O),2,2
6,"Heme/copper-type cytochrome/quinol oxidase, subunit 2",1,0
7,2-hydroxychromene-2-carboxylate isomerase,0,1
8,Phosphotransferase system sorbitol-specific IIC component,2,2
9,Wobble nucleotide-excising tRNase,2,1
10,Molecular chaperone DnaK (HSP70),1,3
11,Predicted dienelactone hydrolase,1,1
12,"Predicted epimerase YddE/YHI9, PhzF superfamily",2,3
13,5-carboxymethyl-2-hydroxymuconate isomerase,0,1
14,Mu-like prophage protein gp36,1,0
15,Oligoribonuclease (3'-5' exoribonuclease),2,0
16,Nitroreductase,1,1
17,Purine nucleoside permease,0,1
18,"MbtH family protein, regulates adenylation domains of NRPSs",1,1
19,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains",4,0
20,Uncharacterized conserved protein with an alpha/beta hydrolase fold,0,2
21,23S rRNA pseudoU1915 N3-methylase RlmH,5,1
22,Zn-dependent protease with chaperone function,1,1
23,"Rps3 or RNA methylase involved in ribosome biogenesis, SPOUT family",3,3
24,Predicted SAM-depedendent methyltransferase,3,3
25,Acetyl-CoA carboxylase alpha subunit,0,4
26,Class II terpene cyclase family protein AF1543,2,2
27,Aspartate oxidase,2,3
28,"Glutathionylspermidine synthase, CHAP domain",0,2
29,"Predicted GntP-related membrane permease AF0261, DUF401 family",1,4
30,Alanine racemase,1,0
31,Predicted oxidoreductase YdhF,2,2
32,D-alanine-D-alanine ligase or related ATP-grasp enzyme,0,1
33,Nitrogen fixation protein NifT,1,0
34,"Uncharacterized conserved protein, DUF1800 family",1,4
35,DNA mismatch repair protein MutH,0,1
36,"Phosphosulfolactate synthase, CoM biosynthesis protein A",2,2
37,Molybdopterin Mo-transferase (molybdopterin biosynthesis),2,1
38,Phosphoribosyl-dephospho-CoA transferase (holo-ACP synthetase),0,3
39,"Uncharacterized CoxE-like protein,  contains von Willebrand factor type A (vWA) domain",1,1
40,Ubiquitin,0,1
41,"Uncharacterized short protein YbdD, DUF466 family",1,0
42,Pantothenate kinase,2,1
43,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family",1,1
44,RNA polymerase-binding transcription factor DksA,0,3
45,Tryptophan synthase beta chain,1,3
46,GTP-sensing pleiotropic transcriptional regulator CodY,3,2
47,FMN-dependent NADH-azoreductase,1,1
48,"AIM24 protein, required for mitochondrial respiration",1,1
49,GTPase,3,0
50,Formyltetrahydrofolate hydrolase,3,7
51,Methylglyoxal synthase,3,2
