,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Pyruvate oxidation,5,5
1,Thymidylate biosynthesis,8,2
2,Glycine cleavage,5,2
3,Threonine biosynthesis,5,4
4,23S rRNA modification,5,4
5,Serine biosynthesis,5,2
6,Pyrimidine salvagetRNA modification,9,1
7,Folate biosynthesis,3,2
8,Aminoacyl-tRNA synthetases,4,1
9,Lipoate biosynthesis,5,3
10,FoF1-type ATP synthase,11,2
11,Purine salvage,7,1
12,Na+-translocating NADH dehydrogenase,5,0
13,Thiamine biosynthesis,9,2
14,Mureine biosynthesis,8,1
15,Pentose phosphate pathway,7,4
16,RNA polymerase,10,1
17,Translation factors,6,1
18,Non-phosphorylated Entner-Doudoroff pathway,6,1
19,tRNA modification,10,0
20,TCA cycle,10,2
21,Menaquinone biosynthesis,10,2
22,Methionine biosynthesis,7,1
23,Unannotated,8,0
24,Lipid A biosynthesis,8,3
25,Isoprenoid biosynthesis,9,2
26,Asparagine biosynthesis,11,2
27,16S rRNA modification,8,5
28,NADH dehydrogenase,6,2
29,Urea cycle,9,3
30,Biotin biosynthesis,11,3
31,Ubiquinone biosynthesis,10,2
32,Pyrimidine degradation,13,0
33,Pyridoxal phosphate biosynthesis,9,2
34,Phospholipid biosynthesis,5,2
35,Aromatic amino acid biosynthesis,7,4
36,NAD biosynthesis,5,4
37,Purine biosynthesis,11,1
38,2Fe2S,4,3
39,Lysine biosynthesis,10,3
40,Glycolysis,5,1
41,Ribosome 30S subunit,8,3
42,Cysteine biosynthesis,7,1
43,Proline degradation,5,3
44,Glycine cleavagePyruvate oxidation,10,1
45,3D,11,3
46,"TCA cycle, glyoxylate bypass",10,1
47,Fatty acid biosynthesis,7,1
48,Proline biosynthesis,6,1
49,Cobalamine/B12 biosynthesis,15,1
50,A/V-type ATP synthase,6,1
51,Entner-Doudoroff pathway,7,4
52,Ribosome 50S subunit,8,3
53,Histidine biosynthesis,7,2
54,Arginine biosynthesis,11,0
55,Unknown,5,2
56,"Isoleucine, leucine, valine biosynthesis",8,2
57,Pantothenate/CoA biosynthesis,8,2
58,Riboflavin/FAD biosynthesis,6,5
59,Pyrimidine salvage,8,0
60,Lysine biosynthesisTCA cycle,6,4
61,Archaeal ribosomal proteins,10,0
62,Molybdopterin biosynthesis,5,5
63,CRISPR-Cas system,3,2
64,Gluconeogenesis,9,3
65,Pyrimidine biosynthesis,8,2
66,Heme biosynthesis,8,3
67,"Histidine biosynthesis, Purine biosynthesis",9,3
68,Na+-translocating Fd:NADH oxidoreductase,13,0
69,Glutamine biosynthesis,8,2
