,genome_id,Actual,Predicted,Category
0,3300029491_24,Uncultured,Uncultured,TN
1,3300027317_3,Cultured,Uncultured,FN
2,3300027863_107,Uncultured,Uncultured,TN
3,3300025665_46,Uncultured,Uncultured,TN
4,3300009826_148,Uncultured,Uncultured,TN
5,3300022177_37,Uncultured,Uncultured,TN
6,3300008635_10,Uncultured,Uncultured,TN
7,3300008521_6,Uncultured,Cultured,FP
8,3300020186_60,Uncultured,Uncultured,TN
9,3300008299_20,Uncultured,Uncultured,TN
10,3300029094_5,Cultured,Cultured,TP
11,3300027506_10,Uncultured,Uncultured,TN
12,3300029439_34,Cultured,Cultured,TP
13,3300028627_15,Uncultured,Uncultured,TN
14,3300025351_4,Uncultured,Uncultured,TN
15,3300013183_1,Uncultured,Uncultured,TN
16,3300029589_11,Cultured,Cultured,TP
17,3300027592_4,Uncultured,Uncultured,TN
18,3300007204_18,Cultured,Uncultured,FN
19,3300012813_5,Uncultured,Uncultured,TN
20,3300029564_22,Uncultured,Uncultured,TN
21,3300006499_9,Uncultured,Uncultured,TN
22,3300029252_14,Uncultured,Uncultured,TN
23,3300025546_92,Uncultured,Uncultured,TN
24,3300029405_8,Uncultured,Uncultured,TN
25,3300024490_1,Cultured,Cultured,TP
26,3300027759_63,Uncultured,Uncultured,TN
27,2051774008_1,Uncultured,Uncultured,TN
28,3300007519_65,Uncultured,Uncultured,TN
29,3300014063_1,Cultured,Cultured,TP
30,3300025877_47,Uncultured,Uncultured,TN
31,3300020717_7,Uncultured,Uncultured,TN
32,3300011859_5,Uncultured,Cultured,FP
33,3300025659_12,Uncultured,Uncultured,TN
34,3300026288_10,Cultured,Cultured,TP
35,3300029470_14,Uncultured,Uncultured,TN
36,3300008155_16,Uncultured,Uncultured,TN
37,3300007517_33,Uncultured,Uncultured,TN
38,3300029779_14,Uncultured,Uncultured,TN
39,3300014789_10,Uncultured,Uncultured,TN
40,3300017513_27,Uncultured,Uncultured,TN
41,3300026522_34,Cultured,Uncultured,FN
42,3300011891_2,Uncultured,Uncultured,TN
43,3300029342_30,Uncultured,Uncultured,TN
44,3300029374_21,Cultured,Cultured,TP
45,3300029791_26,Uncultured,Uncultured,TN
46,3300008725_38,Uncultured,Uncultured,TN
47,3300028574_6,Uncultured,Uncultured,TN
48,3300014919_9,Cultured,Cultured,TP
49,3300025528_22,Cultured,Cultured,TP
50,3300009393_8,Uncultured,Cultured,FP
51,3300006177_7,Uncultured,Uncultured,TN
52,3300006414_9,Uncultured,Uncultured,TN
53,3300008103_23,Uncultured,Uncultured,TN
54,3300019754_6,Uncultured,Uncultured,TN
55,3300020079_12,Uncultured,Uncultured,TN
56,3300006249_27,Uncultured,Uncultured,TN
57,3300019371_20,Uncultured,Uncultured,TN
58,3300014573_8,Uncultured,Uncultured,TN
59,3300001598_37,Uncultured,Uncultured,TN
60,3300007728_15,Cultured,Uncultured,FN
61,3300013271_2,Uncultured,Uncultured,TN
62,3300017533_10,Uncultured,Uncultured,TN
63,3300029686_25,Uncultured,Uncultured,TN
64,3300005460_8,Cultured,Cultured,TP
65,3300029729_9,Uncultured,Uncultured,TN
66,3300008493_28,Uncultured,Uncultured,TN
67,3300000150_5,Uncultured,Uncultured,TN
68,3300027983_58,Uncultured,Uncultured,TN
69,3300013016_3,Uncultured,Uncultured,TN
70,3300017992_51,Uncultured,Uncultured,TN
71,3300012804_4,Uncultured,Uncultured,TN
72,3300007925_18,Uncultured,Cultured,FP
73,3300025295_14,Uncultured,Uncultured,TN
74,3300008481_11,Cultured,Cultured,TP
75,3300011559_2,Cultured,Cultured,TP
76,3300028189_10,Uncultured,Uncultured,TN
77,3300012952_13,Uncultured,Uncultured,TN
78,3300026549_121,Uncultured,Uncultured,TN
79,3300027253_5,Uncultured,Uncultured,TN
80,3300008096_20,Uncultured,Uncultured,TN
81,3300029137_3,Cultured,Cultured,TP
82,3300020707_3,Uncultured,Uncultured,TN
83,3300000208_14,Uncultured,Uncultured,TN
84,3300008140_23,Uncultured,Uncultured,TN
85,3300013127_110,Uncultured,Uncultured,TN
86,3300012843_3,Uncultured,Uncultured,TN
87,3300013145_2,Uncultured,Uncultured,TN
88,3300028559_52,Uncultured,Uncultured,TN
89,3300029534_10,Cultured,Uncultured,FN
90,3300017963_73,Uncultured,Uncultured,TN
91,3300025091_5,Uncultured,Uncultured,TN
92,3300026825_8,Uncultured,Uncultured,TN
93,3300000979_14,Uncultured,Uncultured,TN
94,3300020731_6,Uncultured,Uncultured,TN
95,3300008214_5,Uncultured,Uncultured,TN
96,3300014935_8,Uncultured,Uncultured,TN
97,3300020402_6,Uncultured,Uncultured,TN
98,3300013753_8,Cultured,Cultured,TP
99,3300012149_6,Uncultured,Uncultured,TN
100,3300029028_6,Uncultured,Uncultured,TN
101,3300029491_13,Cultured,Cultured,TP
102,3300012919_10,Uncultured,Uncultured,TN
103,3300011527_2,Cultured,Cultured,TP
104,3300008575_29,Uncultured,Uncultured,TN
105,3300028630_29,Uncultured,Uncultured,TN
106,3300029850_15,Uncultured,Uncultured,TN
107,3300029564_27,Uncultured,Uncultured,TN
108,3300021469_13,Uncultured,Uncultured,TN
109,3300020180_19,Uncultured,Uncultured,TN
110,3300027760_9,Uncultured,Uncultured,TN
111,3300018043_15,Uncultured,Uncultured,TN
112,3300024233_2,Uncultured,Uncultured,TN
113,3300000976_18,Uncultured,Uncultured,TN
114,3300014137_5,Cultured,Uncultured,FN
115,3300022470_23,Uncultured,Uncultured,TN
116,3300029427_13,Cultured,Cultured,TP
117,3300029844_28,Uncultured,Uncultured,TN
118,3300028299_15,Uncultured,Uncultured,TN
119,3300024960_7,Cultured,Uncultured,FN
120,3300000563_49,Uncultured,Uncultured,TN
121,3300009760_26,Uncultured,Uncultured,TN
122,3300011485_3,Uncultured,Uncultured,TN
123,3300002462_17,Uncultured,Uncultured,TN
124,3300029616_21,Uncultured,Uncultured,TN
125,3300028567_41,Uncultured,Uncultured,TN
126,3300008731_2,Uncultured,Uncultured,TN
127,3300025420_4,Uncultured,Uncultured,TN
128,3300027863_205,Uncultured,Uncultured,TN
129,3300018878_156,Uncultured,Uncultured,TN
130,3300005962_5,Uncultured,Uncultured,TN
131,3300025924_18,Cultured,Uncultured,FN
132,3300010297_4,Uncultured,Uncultured,TN
133,3300029426_28,Uncultured,Uncultured,TN
134,3300029527_8,Cultured,Cultured,TP
135,3300026290_55,Uncultured,Uncultured,TN
136,3300029821_23,Uncultured,Uncultured,TN
137,3300007638_41,Uncultured,Uncultured,TN
138,3300029760_8,Cultured,Cultured,TP
139,3300029348_8,Uncultured,Uncultured,TN
140,3300025348_3,Uncultured,Uncultured,TN
141,3300021498_7,Uncultured,Uncultured,TN
142,3300007650_4,Cultured,Cultured,TP
143,3300027327_34,Uncultured,Uncultured,TN
144,3300027746_18,Uncultured,Uncultured,TN
145,3300011974_13,Uncultured,Uncultured,TN
146,3300027876_10,Uncultured,Uncultured,TN
147,3300009084_40,Uncultured,Uncultured,TN
148,3300012016_32,Uncultured,Uncultured,TN
149,3300025408_15,Uncultured,Uncultured,TN
150,3300027353_4,Uncultured,Uncultured,TN
151,3300017971_42,Uncultured,Uncultured,TN
152,3300029769_19,Cultured,Cultured,TP
153,3300000216_22,Uncultured,Uncultured,TN
154,3300029437_26,Uncultured,Uncultured,TN
155,3300022871_11,Uncultured,Uncultured,TN
156,3300011118_116,Uncultured,Uncultured,TN
157,3300006307_18,Cultured,Uncultured,FN
158,3300029181_6,Uncultured,Uncultured,TN
159,3300012886_15,Uncultured,Uncultured,TN
160,3300007638_10,Uncultured,Uncultured,TN
161,3300020346_6,Uncultured,Uncultured,TN
162,3300011118_58,Uncultured,Uncultured,TN
163,3300013137_194,Uncultured,Uncultured,TN
