,genome_id,Actual,Predicted,Category
0,3300020417_16,Uncultured,Uncultured,TN
1,3300014206_117,Uncultured,Uncultured,TN
2,3300011814_2,Cultured,Uncultured,FN
3,3300008413_5,Uncultured,Uncultured,TN
4,3300015360_71,Uncultured,Uncultured,TN
5,3300028626_17,Uncultured,Uncultured,TN
6,3300029688_27,Uncultured,Uncultured,TN
7,3300000839_59,Uncultured,Uncultured,TN
8,3300008485_4,Uncultured,Uncultured,TN
9,3300027834_55,Uncultured,Uncultured,TN
10,3300008639_19,Cultured,Uncultured,FN
11,3300025762_29,Uncultured,Uncultured,TN
12,3300010294_11,Uncultured,Uncultured,TN
13,3300026268_9,Uncultured,Uncultured,TN
14,3300027996_12,Uncultured,Uncultured,TN
15,3300029358_18,Uncultured,Uncultured,TN
16,3300029330_14,Uncultured,Uncultured,TN
17,3300008496_3,Cultured,Uncultured,FN
18,3300029512_6,Cultured,Uncultured,FN
19,3300029297_9,Uncultured,Uncultured,TN
20,3300029782_37,Uncultured,Uncultured,TN
21,3300029647_11,Uncultured,Uncultured,TN
22,3300007969_2,Cultured,Uncultured,FN
23,3300028602_33,Uncultured,Uncultured,TN
24,3300009083_71,Uncultured,Uncultured,TN
25,3300007120_17,Uncultured,Uncultured,TN
26,3300026534_37,Uncultured,Uncultured,TN
27,3300006832_6,Cultured,Uncultured,FN
28,3300006289_20,Uncultured,Uncultured,TN
29,3300007352_36,Uncultured,Uncultured,TN
30,3300029489_14,Uncultured,Uncultured,TN
31,3300024900_2,Uncultured,Uncultured,TN
32,3300007979_72,Uncultured,Uncultured,TN
33,3300026382_4,Uncultured,Uncultured,TN
34,3300017398_45,Uncultured,Uncultured,TN
35,3300026964_2,Uncultured,Uncultured,TN
36,3300021490_8,Uncultured,Uncultured,TN
37,3300026252_21,Uncultured,Uncultured,TN
38,3300027323_11,Uncultured,Uncultured,TN
39,3300006298_11,Cultured,Uncultured,FN
40,3300029011_3,Cultured,Uncultured,FN
41,3300024278_10,Uncultured,Uncultured,TN
42,3300029777_20,Uncultured,Uncultured,TN
43,3300028601_42,Uncultured,Uncultured,TN
44,3300017419_33,Uncultured,Uncultured,TN
45,3300010038_14,Uncultured,Uncultured,TN
46,3300027832_76,Uncultured,Uncultured,TN
47,3300025520_10,Uncultured,Uncultured,TN
48,3300011765_3,Uncultured,Uncultured,TN
49,3300013122_11,Uncultured,Uncultured,TN
50,3300008275_42,Uncultured,Uncultured,TN
51,3300019372_9,Cultured,Uncultured,FN
52,3300025592_35,Uncultured,Uncultured,TN
53,3300025138_4,Uncultured,Uncultured,TN
54,3300027262_15,Uncultured,Uncultured,TN
55,3300006340_26,Uncultured,Uncultured,TN
56,3300019487_13,Uncultured,Uncultured,TN
