,feature_name,cultured_feature_counts,uncultured_feature_counts
0,Trans-2-enoyl-CoA reductase,0,1
1,"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit",0,1
2,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC",0,1
3,tRNA(Ile2) C34 agmatinyltransferase TiaS,0,1
4,Mu-like prophage protein gpG,1,1
5,"Uncharacterized conserved protein YjaG, DUF416 family",1,0
6,Methenyltetrahydromethanopterin cyclohydrolase,2,0
7,Ribosomal protein L20A (L18A),0,2
8,"tRNA G26 N,N-dimethylase Trm1",0,1
9,Threonine/homoserine/homoserine lactone efflux protein,1,0
10,"Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain",0,1
11,"Uncharacterized conserved protein, DUF937 domain",2,1
12,Transposase InsE and inactivated derivatives,0,1
13,sRNA-binding regulator protein Hfq,0,0
14,"Predicted restriction endonuclease, Mrr-cat superfamily",2,1
15,"ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain",1,0
16,Cytochrome c-type biogenesis protein CcmH/NrfF,1,1
17,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,1,1
18,Stage III sporulation protein SpoIIIAA,3,1
19,Na+-NQR maturation protein NqrM,2,0
20,"Uncharacterized conserved protein, DUF2277 domain",0,1
21,"Uncharacterized conserved protein YbgA, DUF1722 family",2,1
22,"Restriction endonuclease, type III RM system",0,1
23,Protein-L-isoaspartate O-methyltransferase,0,3
24,D-serine dehydratase,0,2
25,"Uncharacterized conserved protein, DUF2236 family",1,0
26,"Methyl coenzyme M reductase, gamma subunit",0,2
27,"Flp pilus assembly protein, secretin CpaC",0,3
28,UDP-glucose 4-epimerase,1,0
29,DNA modification methylase,2,0
30,Flagellar biosynthesis regulator FlaF,2,0
31,Pantothenate kinase,0,1
32,"Uncharacterized TerC-related membrane protein, DUF475 domain",0,0
33,Na+/phosphate symporter,0,2
34,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase),0,1
35,Heme-degrading monooxygenase HmoA and related ABM domain proteins,1,0
36,Regulatory P domain of the subtilisin-like proprotein convertases and other proteases,1,0
37,"ABC-type sulfate transport system, permease component",1,1
38,"Uncharacterized conserved protein YpuA, DUF1002 family",0,2
39,"Predicted histidine transporter YuiF, NhaC family",0,3
40,Mn-containing catalase (includes spore coat protein CotJC),0,1
41,Serine/threonine-protein kinase RIO1,0,2
42,Nitrate reductase alpha subunit,0,4
43,IMP dehydrogenase/GMP reductase,1,0
44,"Uncharacterized conserved protein YhaN, contains AAA domain",1,1
45,"Predicted phosphohydrolase YqeG, HAD superfamily",1,0
46,Molybdopterin synthase catalytic subunit MoaE,1,1
47,"Tetrahydromethanopterin S-methyltransferase, subunit F",1,0
48,"Uncharacterized conserved protein, DUF1284 domain",1,0
49,Ribonuclease G or E,2,2
50,Guanylate kinase,1,0
51,Recombinational DNA repair protein RecR,1,1
52,"Ribonucleotide reductase beta subunit, ferritin-like domain",1,1
53,Ribosomal protein S19,1,1
54,"Cobalamin biosynthesis protein CbiK, Co2+ chelatase",1,0
55,Ribonuclease P protein subunit RPR2,1,0
56,Arginine/lysine/ornithine decarboxylase,0,1
57,"L-fucose mutarotase/ribose pyranase, RbsD/FucU family",1,0
58,Uncharacterized Fe-S cluster protein,0,1
59,Acyl carrier protein phosphodiesterase,1,0
60,Mannose-1-phosphate guanylyltransferase,0,3
61,"ACT domain, ACT-7 family",1,0
62,"Predicted nuclease, contains PIN domain",2,0
63,Uncharacterized conserved protein MJ0498,1,0
64,Twin-arginine protein secretion pathway component TatC,1,1
65,16S rRNA G966 N2-methylase RsmD,4,0
66,"Uncharacterized conserved protein, DUF2193 domain",0,1
67,"Uncharacterized conserved protein YsxB, DUF464 family",1,0
68,Predicted regulatory domain of a methyltransferase,0,1
69,CBS domain,1,1
70,Intermembrane transporter PqiABC lipoprotein subunit PqiC,1,0
71,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis)",0,1
72,Uncharacterized membrane protein YwzB,2,0
73,Primosomal replication protein N,1,1
74,"Negative regulator MecA of genetic competence, sporulation and motility",0,1
75,Flagellar basal body-associated protein FliL,0,0
76,Mitochondrial fission protein ELM1,0,0
77,Ribosomal protein S16,2,0
78,"Predicted dioxygenase, 2-oxoglutarate and Fe-dependent (2OG-Fe) dioxygenase superfamily",2,0
79,Archaeal histone H3/H4,2,1
80,Diaminopimelate decarboxylase,1,1
81,"Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits",1,3
82,P2-like prophage tail protein X,0,1
83,Predicted enzyme involved in methoxymalonyl-ACP biosynthesis,0,1
84,"Archaeal fructose 1,6-bisphosphatase",1,1
85,Primase-polymerase (Primpol) domain protein,1,1
86,UDP-N-acetylglucosamine pyrophosphorylase,2,1
87,5-(aminomethyl)-3-furanmethanol-phosphate kinase MfnE (methanofuran biosynthesis),0,1
88,Outer membrane usher protein FimD/PapC,0,1
89,Tellurite resistance protein TehA and related permeases,0,1
90,Formylmethanofuran dehydrogenase subunit E,2,1
91,Energy-coupling factor transporter ATP-binding protein EcfA2,0,2
92,Fatty acid-binding protein DegV (function unknown),0,1
93,Archaellum component ArlD/FlaD/FlaE,2,1
94,Carbohydrate-binding DOMON domain,1,1
95,CO dehydrogenase/acetyl-CoA synthase epsilon subunit,1,2
96,"Uncharacterized membrane protein YjjB, DUF3815 family",0,1
97,C4-dicarboxylate transporter DcuC,2,0
98,Ribosomal protein L20,1,0
99,High-affinity nickel/cobalt permease,0,1
100,"Cytochrome bd-type quinol oxidase, subunit 1",5,1
101,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component",0,1
102,"Uncharacterized conserved protein YdgA, DUF945 family",1,0
103,Succinylarginine dihydrolase,0,2
104,"Uncharacterized conserved protein, DUF2384 family",0,1
105,"Uncharacterized conserved protein ECs_4300, contains TPR-like domain",1,0
106,"Pheromone shutdown protein TraB, contains GTxH motif (function unknown)",0,2
107,"Uncharacterized 2Fe-2S and 4Fe-4S clusters-containing protein, contains DUF4445 domain",0,1
108,Nitrate reductase beta subunit,0,1
109,"Ca2+-binding protein, EF-hand superfamily",1,1
110,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming),2,1
111,3-oxoacyl-[acyl-carrier-protein] synthase III,1,0
112,Spermidine/putrescine-binding periplasmic protein,0,1
113,23S rRNA C2498 (ribose-2'-O)-methylase RlmM,1,0
114,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase),1,0
115,"Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family",1,0
116,"Fermentation-respiration switch esterase FrsA, DUF1100 family",0,1
117,"Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family",0,0
118,Outer membrane protease,0,1
119,"Predicted methyltransferase MtxX, methanogen marker protein 4",0,1
120,"Uncharacterized conserved protein YaiL, DUF2058 family",1,1
121,Glutamine cyclotransferase,0,1
122,"Propanediol dehydratase, large subunit",0,1
123,UTP-glucose-1-phosphate uridylyltransferase,0,1
124,Chaperonin GroEL (HSP60 family),0,1
125,Cell division ATPase FtsE,1,0
126,Extracellular (periplasmic) sensor domain CHASE (specificity unknown),0,0
127,Lipopolysaccharide biosynthesis protein,2,2
128,Lysine/ornithine N-monooxygenase,0,1
129,"Eukaryotic-type DNA primase, large subunit",4,0
130,"Uncharacterized conserved protein, contains N-terminal Zn-finger domain",1,0
131,"Uncharacterized membrane protein YhgE, phage infection protein (PIP) family",1,0
132,Phosphoribosyl-AMP cyclohydrolase,0,2
133,Fe-S-cluster-containing hydrogenase component 2,1,2
134,"Queuosine precursor transporter YhhQ, DUF165 family",1,0
135,Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid,0,1
136,Rieske Fe-S protein,0,1
137,"DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family",0,1
