,feature_name,cultured_feature_counts,uncultured_feature_counts
0,"Cell fate regulator YmcA, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development) (YmcA) (PDB:6PRH) (PUBMED:23490197)",6,0
1,"Glycogen debranching enzyme (alpha-1,6-glucosidase) (GDB1) (PDB:5D06)",6,0
2,Predicted NAD/FAD-dependent oxidoreductase (PDB:4ZCC),6,0
3,"Heterodisulfide reductase, subunit C (HdrC) (PDB:5ODC)",6,0
4,CRISPR-Cas system type I-C effector complex large subunit Cas8c (Cas8c),6,0
5,Cysteine synthase (CysK) (PDB:1FCJ),6,0
6,"Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)",6,0
7,"Cobalamin biosynthesis protein CbiK, Co2+ chelatase (CbiK) (PDB:1QGO)",6,0
8,N-formylglutamate amidohydrolase (HutG),6,0
9,Uncharacterized radical SAM domain-containing protein,6,0
10,"Beta-glucanase, GH16 family (BglS) (PDB:1AJK)",6,0
11,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R),6,0
12,"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)",6,0
13,"ABC-type Na+ efflux pump, permease component NatB (NatB)",6,0
14,HAMP domain (HAMP),6,0
15,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),6,0
16,3-keto-L-gulonate-6-phosphate decarboxylase (UlaD) (PDB:3F4W),6,0
17,"Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)",6,0
18,"Cell division protein ZipA, interacts with FtsZ (ZipA) (PDB:1F46)",6,0
19,Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG),6,0
20,Cobalamin biosynthesis protein CobD/CbiB (CbiB),6,0
21,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein (GadA) (PDB:1XEY),6,0
22,Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z),6,0
23,Spore coat protein YuzC (inner spore coat) (YuzC),6,0
24,"Uncharacterized conserved protein, DUF1284 domain",5,1
25,"Uncharacterized conserved protein, DUF362 family",6,0
26,"Membrane-bound metal-dependent hydrolase YbcI, DUF457 family (YbcI)",6,0
27,Phosphoglycerate mutase (BPG-dependent) (GpmA) (PDB:1E58),4,1
28,Phage tail protein,6,0
29,"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog (RpoN) (PDB:5BYH)",6,0
30,"Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing (RimM) (PDB:2QGG)",6,0
31,"Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains (YjcC) (PUBMED:29514851)",6,0
32,"Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family (PDB:3CGX)",6,0
33,Putative heme iron utilization protein (HugX) (PDB:2HQV),6,0
34,Glutamine phosphoribosylpyrophosphate amidotransferase (PurF) (PDB:1ECB),6,0
